security_code,report_date,eps_diluted,eps_weighted,eps_deducted,bps_before_adj,bps_after_adj,roe,roe_weighted,gross_margin,total_assets,op_cashflow_ps,revenue_yoy,netprofit_yoy,source,retrieved_at_utc
000018,2022-09-30,-0.0087,-0.0087,,-2.8353,-2.8354,,0,,1160217596.51,-0.0014,-99.9146,,sina vFD_FinancialGuideLine,2026-08-11T16:55:13+00:00
000040,2022-09-30,-0.1128,-0.1127,,7.6771,7.6793,-1.47,-1.46,,26580790211.07,0.2447,-2.8399,,sina vFD_FinancialGuideLine,2026-08-11T16:56:26+00:00
000511,2022-09-30,-0.2046,-0.2,,-0.1891,-0.1639,,,,2218231748.7,0.0004,-83.4666,,sina vFD_FinancialGuideLine,2026-08-11T16:59:47+00:00
000540,2022-09-30,-0.815,-0.6517,,0.7046,1.0407,-62.4,-47.4,,158303524001.75,0.5727,-44.231,,sina vFD_FinancialGuideLine,2026-08-11T17:00:31+00:00
000606,2022-09-30,-0.1043,-0.1026,,-0.388,-0.4271,,0,,373532245.68,-0.0633,-74.2544,-554.0783,sina vFD_FinancialGuideLine,2026-08-11T17:03:41+00:00
000701,2022-09-30,0.1701,-0.1659,,6.3367,4.4798,0.29,-16.28,,21457452898.51,-3.2433,-10.744,-21.8687,sina vFD_FinancialGuideLine,2026-08-11T17:09:39+00:00
000711,2022-09-30,-0.4722,-0.42,,0.6642,0.4785,-88.7,-61.45,,8754198290.48,0.0429,-70.0246,,sina vFD_FinancialGuideLine,2026-08-11T17:10:04+00:00
000712,2022-09-30,-0.3042,-0.255,,5.8539,3.3902,-7.53,-7.21,,22357638153.44,-0.6342,,-543.7928,sina vFD_FinancialGuideLine,2026-08-11T17:10:12+00:00
000767,2022-09-30,0.0088,-0.0076,,3.7748,3.7458,0.41,-0.3,,63711585022.02,0.3103,53.3913,,sina vFD_FinancialGuideLine,2026-08-11T17:12:23+00:00
000796,2022-09-30,-0.3337,-0.3237,,0.3593,0.0283,-1141.85,-271.83,,3272097061.66,-0.5567,-63.413,,sina vFD_FinancialGuideLine,2026-08-11T17:13:39+00:00
000820,2022-09-30,-0.0101,-0.0065,,0.2034,0.8846,-5.1,-4.97,,275814890.71,-0.0393,3807.3173,-100.3238,sina vFD_FinancialGuideLine,2026-08-11T17:16:07+00:00
000892,2022-09-30,0.0861,0.0894,,1.6085,1.6175,5.47,5.62,,2449827995.67,-0.023,76.3693,49.3904,sina vFD_FinancialGuideLine,2026-08-11T17:17:43+00:00
