effective_from,effective_to,screen_year,security_code,security_name,avg_roe_3y,rank
2003-04-30,2004-04-30,2003,600000,浦发银行,,1
2003-04-30,2004-04-30,2003,600016,民生银行,,2
2003-04-30,2004-04-30,2003,600036,招商银行,,3
2004-04-30,2005-04-30,2004,600000,浦发银行,,1
2004-04-30,2005-04-30,2004,600016,民生银行,,2
2004-04-30,2005-04-30,2004,600036,招商银行,,3
2005-04-30,2006-04-30,2005,600000,浦发银行,,1
2005-04-30,2006-04-30,2005,600016,民生银行,,2
2005-04-30,2006-04-30,2005,600036,招商银行,,3
2006-04-30,2007-04-30,2006,600000,浦发银行,,1
2006-04-30,2007-04-30,2006,600015,华夏银行,,2
2006-04-30,2007-04-30,2006,600016,民生银行,,3
2006-04-30,2007-04-30,2006,600036,招商银行,,4
2007-04-30,2008-04-30,2007,600000,浦发银行,,1
2007-04-30,2008-04-30,2007,600015,华夏银行,,2
2007-04-30,2008-04-30,2007,600016,民生银行,,3
2007-04-30,2008-04-30,2007,600036,招商银行,,4
2007-04-30,2008-04-30,2007,601988,中国银行,,5
2008-04-30,2009-04-30,2008,000001,平安银行,,1
2008-04-30,2009-04-30,2008,002142,宁波银行,,2
2008-04-30,2009-04-30,2008,600000,浦发银行,,3
2008-04-30,2009-04-30,2008,600015,华夏银行,,4
2008-04-30,2009-04-30,2008,600016,民生银行,,5
2008-04-30,2009-04-30,2008,600036,招商银行,,6
2008-04-30,2009-04-30,2008,601009,南京银行,,7
2008-04-30,2009-04-30,2008,601166,兴业银行,,8
2008-04-30,2009-04-30,2008,601169,北京银行,,9
2008-04-30,2009-04-30,2008,601328,交通银行,,10
2008-04-30,2009-04-30,2008,601398,工商银行,,11
2008-04-30,2009-04-30,2008,601939,建设银行,,12
2008-04-30,2009-04-30,2008,601988,中国银行,,13
2008-04-30,2009-04-30,2008,601998,中信银行,,14
2009-04-30,2010-04-30,2009,000001,平安银行,,1
2009-04-30,2010-04-30,2009,000022,,,2
2009-04-30,2010-04-30,2009,000423,东阿阿胶,,3
2009-04-30,2010-04-30,2009,000538,云南白药,,4
2009-04-30,2010-04-30,2009,000568,泸州老窖,,5
2009-04-30,2010-04-30,2009,000651,格力电器,,6
2009-04-30,2010-04-30,2009,000858,五 粮 液,,7
2009-04-30,2010-04-30,2009,000869,张  裕Ａ,,8
2009-04-30,2010-04-30,2009,000895,双汇发展,,9
2009-04-30,2010-04-30,2009,001872,招商港口,,10
2009-04-30,2010-04-30,2009,002024,ST易购,,11
