effective_date,security_code,cumulative_size
2003-04-30,000778,1
2003-04-30,600000,2
2003-04-30,600006,3
2003-04-30,600009,4
2003-04-30,600016,5
2003-04-30,600036,6
2003-04-30,600085,7
2003-04-30,600188,8
2003-04-30,600276,9
2003-04-30,600519,10
2003-04-30,600717,11
2004-04-30,600028,12
2004-04-30,600585,13
2004-04-30,600660,14
2005-04-30,000792,15
2005-04-30,000933,16
2006-04-30,600015,17
2006-04-30,600900,18
2007-04-30,601988,19
2008-04-30,002142,20
2008-04-30,601001,21
2008-04-30,601009,22
2008-04-30,601166,23
2008-04-30,601169,24
2008-04-30,601318,25
2008-04-30,601328,26
2008-04-30,601398,27
2008-04-30,601628,28
2008-04-30,601857,29
2008-04-30,601939,30
2008-04-30,601998,31
2009-04-30,002152,32
2009-04-30,600897,33
2009-04-30,601088,34
2010-04-30,002022,35
2010-04-30,002275,36
2010-04-30,002304,37
2011-03-19,002415,38
2011-04-12,601818,39
2012-03-23,601288,40
2012-04-05,002223,41
2012-04-07,002063,42
2012-04-14,600436,43
2012-04-24,000887,44
2012-04-30,002252,45
2013-03-18,002236,46
2013-03-30,002153,47
2013-04-09,601515,48
2014-03-29,000333,49
2015-03-10,603288,50
2016-03-31,002739,51
2017-03-15,002807,52
2017-03-20,600919,53
2017-03-30,600908,54
2017-03-30,603868,55
2017-03-31,601128,56
2017-04-15,601997,57
2017-04-19,600926,58
2017-04-24,601229,59
2018-04-16,002841,60
2018-04-18,002833,61
2018-04-25,300628,62
2019-01-17,603323,63
2019-03-23,601319,64
2019-03-25,601577,65
2019-03-28,300357,66
2019-03-29,002936,67
2019-04-25,600901,68
2019-04-25,601838,69
2020-03-21,002948,70
2020-03-25,601860,71
2020-03-26,601658,72
2020-03-27,601077,73
2020-03-30,601916,74
2020-03-31,002966,75
2020-04-02,300760,76
2020-04-10,300595,77
2020-04-22,600928,78
2020-04-27,002958,79
2021-04-27,601187,80
2022-03-31,601528,81
2022-04-01,601963,82
2022-04-12,603195,83
2022-04-29,601665,84
2022-04-30,601825,85
2023-03-28,002839,86
2023-03-30,600938,87
2023-04-22,605499,88
2023-04-26,301004,89
2024-04-10,600925,90
2025-04-01,001389,91
