security_code,security_name,effective_from,effective_to
000001,平安银行,2008-04-30,2009-04-30
000001,平安银行,2011-02-26,2011-04-30
000333,美的集团,2015-03-10,2016-04-30
000333,美的集团,2017-03-27,2017-03-31
000408,藏格矿业,2023-03-25,2025-03-31
000408,藏格矿业,2026-03-25,9999-12-31
000513,丽珠集团,2018-03-24,2019-01-17
000538,云南白药,2014-03-26,2015-03-10
000568,泸州老窖,2011-02-26,2017-04-19
000568,泸州老窖,2021-04-30,9999-12-31
000596,古井贡酒,2020-03-21,2021-04-01
000596,古井贡酒,2024-04-30,2026-03-25
000651,格力电器,2011-03-30,2012-04-30
000651,格力电器,2013-04-09,2013-04-30
000651,格力电器,2014-03-26,2021-04-27
000651,格力电器,2024-04-30,2025-04-29
000651,格力电器,2025-04-30,2026-03-25
000651,格力电器,2026-04-18,2026-04-24
000661,长春高新,2011-03-30,2011-04-30
000661,长春高新,2013-03-30,2014-04-29
000661,长春高新,2020-03-27,2022-03-18
000661,长春高新,2022-03-29,2023-03-25
000708,中信特钢,2020-04-30,2021-04-01
000733,振华科技,2022-04-30,2024-04-30
000792,盐湖股份,2008-04-30,2011-03-19
000792,盐湖股份,2012-02-02,2012-03-29
000858,五 粮 液,2012-04-24,2012-04-30
000858,五 粮 液,2013-03-15,2014-03-26
000869,张  裕Ａ,2009-04-30,2010-04-30
000869,张  裕Ａ,2011-02-26,2014-04-29
000869,张  裕Ａ,2014-04-30,2016-04-30
000885,城发环境,2021-04-30,2022-03-18
000885,城发环境,2022-03-29,2022-03-31
000895,双汇发展,2010-04-30,2011-03-19
000895,双汇发展,2011-04-30,2012-02-02
000895,双汇发展,2014-03-29,2015-04-30
000895,双汇发展,2017-03-31,2017-04-12
000895,双汇发展,2017-04-19,2017-04-20
000895,双汇发展,2017-04-30,2022-03-29
000895,双汇发展,2024-03-29,2026-03-25
000895,双汇发展,2026-04-30,9999-12-31
000933,神火股份,2008-04-30,2010-04-30
000933,神火股份,2023-03-28,2025-03-31
000933,神火股份,2026-04-18,2026-04-23
000963,华东医药,2011-04-30,2012-03-29
000963,华东医药,2015-03-25,2017-03-15
002001,新 和 成,2018-04-28,2019-04-30
002001,新 和 成,2025-04-29,2026-04-18
002024,ST易购,2009-04-30,2010-04-30
002027,分众传媒,2018-04-30,9999-12-31
002032,苏 泊 尔,2020-03-21,2020-03-27
002032,苏 泊 尔,2020-03-28,2021-04-01
002032,苏 泊 尔,2024-03-29,9999-12-31
002038,双鹭药业,2012-02-02,2013-03-15
002041,登海种业,2014-03-26,2014-04-29
002041,登海种业,2015-04-30,2016-03-17
002049,紫光国微,2022-03-18,2024-03-29
002049,紫光国微,2024-04-23,2025-03-31
002063,远光软件,2011-03-19,2012-02-02
002128,电投能源,2009-04-30,2010-04-30
002128,电投能源,2011-03-19,2013-03-30
002128,电投能源,2014-04-29,2015-03-31
002152,广电运通,2010-04-30,2011-03-30
002223,鱼跃医疗,2012-02-02,2012-04-05
002236,大华股份,2010-04-30,2011-02-26
002236,大华股份,2013-03-15,2015-03-25
002275,桂林三金,2010-04-30,2011-02-26
002287,奇正藏药,2022-03-18,2022-04-29
002294,信立泰,2010-04-30,2011-03-30
002294,信立泰,2011-04-30,2012-02-02
002294,信立泰,2014-04-30,2018-03-24
002304,洋河股份,2010-04-30,2017-04-28
002311,海大集团,2021-04-27,2021-04-30
002371,北方华创,2025-03-31,2025-04-29
002372,伟星新材,2017-03-15,2019-04-18
002372,伟星新材,2024-04-30,2025-04-24
002410,广联达,2012-04-30,2013-03-30
002410,广联达,2015-03-31,2016-03-17
002415,海康威视,2011-03-19,2013-04-09
002415,海康威视,2014-03-26,2018-04-28
002415,海康威视,2019-01-17,2019-04-20
002415,海康威视,2019-04-30,2021-04-27
002466,天齐锂业,2017-03-15,2019-04-30
002466,天齐锂业,2022-04-30,2024-03-29
002475,立讯精密,2020-04-30,2022-03-18
002507,涪陵榨菜,2018-03-24,2020-03-21
002508,老板电器,2015-04-30,2019-01-17
002568,百润股份,2024-03-29,2024-04-26
002607,中公教育,2018-04-30,9999-12-31
002677,浙江美大,2018-03-24,2018-04-25
002677,浙江美大,2019-01-17,2023-04-22
002677,浙江美大,2025-04-15,2025-04-25
002677,浙江美大,2025-04-30,2026-03-25
002677,浙江美大,2026-03-28,2026-04-30
002690,美亚光电,2023-03-31,9999-12-31
002714,牧原股份,2016-04-30,2018-03-24
002714,牧原股份,2020-03-21,2022-03-18
