effective_from,effective_to,screen_year,security_code,security_name,avg_roe_3y,rank
2010-05-01,2011-04-30,2009,000538,云南白药,,
2010-05-01,2011-04-30,2009,000568,泸州老窖,,
2010-05-01,2011-04-30,2009,000858,五粮液,,
2010-05-01,2011-04-30,2009,600161,天坛生物,,
2010-05-01,2011-04-30,2009,600519,贵州茅台,,
2010-05-01,2011-04-30,2009,600660,福耀玻璃,,
2010-05-01,2011-04-30,2009,600809,山西汾酒,,
2010-05-01,2011-04-30,2009,600900,长江电力,,
2010-05-01,2011-04-30,2009,601088,中国神华,,
2011-05-01,2012-04-30,2010,000538,云南白药,,
2011-05-01,2012-04-30,2010,000568,泸州老窖,,
2011-05-01,2012-04-30,2010,000858,五粮液,,
2011-05-01,2012-04-30,2010,600161,天坛生物,,
2011-05-01,2012-04-30,2010,600519,贵州茅台,,
2011-05-01,2012-04-30,2010,600660,福耀玻璃,,
2011-05-01,2012-04-30,2010,600809,山西汾酒,,
2011-05-01,2012-04-30,2010,600900,长江电力,,
2011-05-01,2012-04-30,2010,601088,中国神华,,
2012-05-01,2013-04-30,2011,000538,云南白药,,
2012-05-01,2013-04-30,2011,000568,泸州老窖,,
2012-05-01,2013-04-30,2011,000858,五粮液,,
2012-05-01,2013-04-30,2011,600161,天坛生物,,
2012-05-01,2013-04-30,2011,600436,片仔癀,,
2012-05-01,2013-04-30,2011,600519,贵州茅台,,
2012-05-01,2013-04-30,2011,600660,福耀玻璃,,
2012-05-01,2013-04-30,2011,600809,山西汾酒,,
2012-05-01,2013-04-30,2011,600900,长江电力,,
2012-05-01,2013-04-30,2011,601088,中国神华,,
2013-05-01,2014-04-30,2012,000538,云南白药,,
2013-05-01,2014-04-30,2012,000568,泸州老窖,,
2013-05-01,2014-04-30,2012,000858,五粮液,,
2013-05-01,2014-04-30,2012,600161,天坛生物,,
2013-05-01,2014-04-30,2012,600436,片仔癀,,
2013-05-01,2014-04-30,2012,600519,贵州茅台,,
2013-05-01,2014-04-30,2012,600660,福耀玻璃,,
2013-05-01,2014-04-30,2012,600809,山西汾酒,,
2013-05-01,2014-04-30,2012,600900,长江电力,,
2013-05-01,2014-04-30,2012,601088,中国神华,,
2014-05-01,2015-04-30,2013,000538,云南白药,,
2014-05-01,2015-04-30,2013,000568,泸州老窖,,
2014-05-01,2015-04-30,2013,000858,五粮液,,
2014-05-01,2015-04-30,2013,600161,天坛生物,,
2014-05-01,2015-04-30,2013,600436,片仔癀,,
2014-05-01,2015-04-30,2013,600519,贵州茅台,,
2014-05-01,2015-04-30,2013,600660,福耀玻璃,,
2014-05-01,2015-04-30,2013,600809,山西汾酒,,
2014-05-01,2015-04-30,2013,600900,长江电力,,
2014-05-01,2015-04-30,2013,601088,中国神华,,
2015-05-01,2016-04-30,2014,000538,云南白药,,
2015-05-01,2016-04-30,2014,000568,泸州老窖,,
2015-05-01,2016-04-30,2014,000858,五粮液,,
2015-05-01,2016-04-30,2014,600436,片仔癀,,
2015-05-01,2016-04-30,2014,600519,贵州茅台,,
2015-05-01,2016-04-30,2014,600660,福耀玻璃,,
2015-05-01,2016-04-30,2014,600809,山西汾酒,,
2015-05-01,2016-04-30,2014,600900,长江电力,,
2015-05-01,2016-04-30,2014,601088,中国神华,,
2016-05-01,2017-04-30,2015,000538,云南白药,,
2016-05-01,2017-04-30,2015,000568,泸州老窖,,
2016-05-01,2017-04-30,2015,000858,五粮液,,
2016-05-01,2017-04-30,2015,600436,片仔癀,,
2016-05-01,2017-04-30,2015,600519,贵州茅台,,
2016-05-01,2017-04-30,2015,600660,福耀玻璃,,
2016-05-01,2017-04-30,2015,600809,山西汾酒,,
2016-05-01,2017-04-30,2015,600900,长江电力,,
2016-05-01,2017-04-30,2015,601088,中国神华,,
2017-05-01,2018-04-30,2016,000538,云南白药,,
2017-05-01,2018-04-30,2016,000568,泸州老窖,,
2017-05-01,2018-04-30,2016,000858,五粮液,,
2017-05-01,2018-04-30,2016,600436,片仔癀,,
2017-05-01,2018-04-30,2016,600519,贵州茅台,,
2017-05-01,2018-04-30,2016,600660,福耀玻璃,,
2017-05-01,2018-04-30,2016,600809,山西汾酒,,
2017-05-01,2018-04-30,2016,600900,长江电力,,
2017-05-01,2018-04-30,2016,601088,中国神华,,
2018-05-01,2019-04-30,2017,000538,云南白药,,
2018-05-01,2019-04-30,2017,000568,泸州老窖,,
2018-05-01,2019-04-30,2017,000858,五粮液,,
2018-05-01,2019-04-30,2017,600436,片仔癀,,
2018-05-01,2019-04-30,2017,600519,贵州茅台,,
2018-05-01,2019-04-30,2017,600660,福耀玻璃,,
2018-05-01,2019-04-30,2017,600809,山西汾酒,,
2018-05-01,2019-04-30,2017,600862,中航高科,,
2018-05-01,2019-04-30,2017,600900,长江电力,,
2018-05-01,2019-04-30,2017,601088,中国神华,,
2019-05-01,2020-04-30,2018,000538,云南白药,,
2019-05-01,2020-04-30,2018,000568,泸州老窖,,
2019-05-01,2020-04-30,2018,000858,五粮液,,
2019-05-01,2020-04-30,2018,600161,天坛生物,,
2019-05-01,2020-04-30,2018,600436,片仔癀,,
2019-05-01,2020-04-30,2018,600519,贵州茅台,,
2019-05-01,2020-04-30,2018,600660,福耀玻璃,,
2019-05-01,2020-04-30,2018,600809,山西汾酒,,
2019-05-01,2020-04-30,2018,600862,中航高科,,
2019-05-01,2020-04-30,2018,600900,长江电力,,
2019-05-01,2020-04-30,2018,601088,中国神华,,
2020-05-01,2021-04-30,2019,000538,云南白药,,
2020-05-01,2021-04-30,2019,000568,泸州老窖,,
2020-05-01,2021-04-30,2019,000858,五粮液,,
2020-05-01,2021-04-30,2019,002049,紫光国微,,
2020-05-01,2021-04-30,2019,300750,宁德时代,,
2020-05-01,2021-04-30,2019,600161,天坛生物,,
2020-05-01,2021-04-30,2019,600436,片仔癀,,
2020-05-01,2021-04-30,2019,600519,贵州茅台,,
2020-05-01,2021-04-30,2019,600660,福耀玻璃,,
2020-05-01,2021-04-30,2019,600809,山西汾酒,,
2020-05-01,2021-04-30,2019,600862,中航高科,,
2020-05-01,2021-04-30,2019,600900,长江电力,,
2020-05-01,2021-04-30,2019,601088,中国神华,,
2021-05-01,2022-04-30,2020,000538,云南白药,,
2021-05-01,2022-04-30,2020,000568,泸州老窖,,
2021-05-01,2022-04-30,2020,000858,五粮液,,
2021-05-01,2022-04-30,2020,002049,紫光国微,,
2021-05-01,2022-04-30,2020,002371,北方华创,,
2021-05-01,2022-04-30,2020,300750,宁德时代,,
2021-05-01,2022-04-30,2020,600161,天坛生物,,
2021-05-01,2022-04-30,2020,600415,小商品城,,
2021-05-01,2022-04-30,2020,600436,片仔癀,,
2021-05-01,2022-04-30,2020,600519,贵州茅台,,
2021-05-01,2022-04-30,2020,600660,福耀玻璃,,
2021-05-01,2022-04-30,2020,600809,山西汾酒,,
2021-05-01,2022-04-30,2020,600862,中航高科,,
2021-05-01,2022-04-30,2020,600900,长江电力,,
2021-05-01,2022-04-30,2020,601088,中国神华,,
2021-05-01,2022-04-30,2020,603505,金石资源,,
2021-05-01,2022-04-30,2020,688008,澜起科技,,
2021-05-01,2022-04-30,2020,688111,金山办公,,
2022-05-01,2023-04-30,2021,000538,云南白药,,
2022-05-01,2023-04-30,2021,000568,泸州老窖,,
2022-05-01,2023-04-30,2021,000858,五粮液,,
2022-05-01,2023-04-30,2021,002049,紫光国微,,
2022-05-01,2023-04-30,2021,002371,北方华创,,
