signal,H,N,days,dw_mean,dw_excess,mean,median,win,p_ge_2,p_ge_5,mean_excess,excess_win,mkt_mean,mfe_ge_2,mfe_ge_3,mfe_ge_5,mfe_ge_10,mfe_mean
"breakout(n=120,k=1.5)",3,145788,4788,-0.005380839109420776,-0.007477182894945145,-0.0029433241579681635,-0.007782101631164551,0.43450078195736275,0.30928471479134084,0.18074875847120475,-0.005795957054942846,0.40101380086152494,0.002852632896974683,0.6823469695722556,0.5770502373309189,0.4036066068537877,0.1655829011990013,0.05426738038659096
"breakout(n=120,k=1.5)",5,145788,4788,-0.006637538783252239,-0.010308030992746353,-0.00180585659109056,-0.008588075637817383,0.4436510549565122,0.34019946772025134,0.21988092298405904,-0.007535879034548998,0.39637007161083215,0.005730022676289082,0.7426605756303674,0.653208768897303,0.49596674623425796,0.24309270996241117,0.07136712968349457
"breakout(n=120,k=1.5)",10,145788,4788,-0.004632898606359959,-0.012837538495659828,0.004315087106078863,-0.008003562688827515,0.4608609762120339,0.382185090679617,0.2829176612615579,-0.00863838754594326,0.3927758114522457,0.01295347511768341,0.8091955442148874,0.7416522621889319,0.6162509945948912,0.3765399072626005,0.10496514290571213
"breakout(n=120,k=1.5)",20,145788,4788,-0.0015657419571653008,-0.017578236758708954,0.011032980866730213,-0.011738330125808716,0.4639613685625703,0.41065108239361264,0.33611133975361485,-0.011458219960331917,0.38590281779021596,0.022491201758384705,0.856702883639257,0.8076041923889483,0.7133646116278431,0.5123192581008039,0.15479591488838196
"breakout(n=120,k=1.5)",60,145788,4788,0.02244764380156994,-0.025236401706933975,0.03734584525227547,-0.032146960496902466,0.44026943232639176,0.4086824704365243,0.36416577496090213,-0.016187375411391258,0.37174527395944795,0.053533218801021576,0.8986816473235109,0.867712020193706,0.8075150218124949,0.6710017285373282,0.29319503903388977
"breakout(n=240,k=1.5)",3,94782,4500,-0.004906236659735441,-0.007238723803311586,-0.0014914741041138768,-0.0069131553173065186,0.4456225865670697,0.32717182587411114,0.1988352218775717,-0.005649064667522907,0.40799940917051764,0.004157590679824352,0.7016416619189297,0.6006414720094533,0.4292165179042434,0.18322044270009075,0.05758211389183998
"breakout(n=240,k=1.5)",5,94782,4500,-0.00594260822981596,-0.009855993092060089,0.0005476607475429773,-0.006651878356933594,0.45826211727965227,0.36024772636154545,0.24097402460382772,-0.007228017784655094,0.4047287459644236,0.007775678299367428,0.7605663522609778,0.6760566352260978,0.524065750880969,0.2677301597349708,0.07598565518856049
"breakout(n=240,k=1.5)",10,94782,4500,-0.003513950854539871,-0.01169935055077076,0.0076222834177315235,-0.005908608436584473,0.4728007427570636,0.3998649532611677,0.30517397818151126,-0.008034777827560902,0.4012892743347893,0.015657061710953712,0.8237112531915343,0.7608301154227596,0.6429912852651347,0.4084636323352535,0.11230626702308655
"breakout(n=240,k=1.5)",20,94782,4500,-8.972507202997804e-05,-0.015685195103287697,0.014102444052696228,-0.010305792093276978,0.47093329957164864,0.421683442003756,0.35287290835812707,-0.01110465731471777,0.3931653689519107,0.025207102298736572,0.8670211643561013,0.8213268342090271,0.7335042518621679,0.5430566985292566,0.16569393873214722
"breakout(n=240,k=1.5)",60,94782,4500,0.02347474917769432,-0.02337176539003849,0.043750911951065063,-0.03187215328216553,0.44673039184655317,0.4180857124770526,0.37675930028908444,-0.01752459444105625,0.37305606549766834,0.061275504529476166,0.9005085353759152,0.871874406532886,0.8161043236057479,0.6887278175180942,0.3166540861129761
"breakout(n=120,k=0)",3,225872,4870,-0.004902218002825975,-0.00709747988730669,-0.0015046056360006332,-0.0065717995166778564,0.4442029113834384,0.31844584543458243,0.18822607494510166,-0.00478476844727993,0.4105599631649784,0.003280162811279297,0.6845381454983354,0.5781416023234398,0.4047026634554084,0.16898951618615854,0.054623983800411224
"breakout(n=120,k=0)",5,225872,4870,-0.005896093789488077,-0.009745258837938309,0.00023099924146663398,-0.006802678108215332,0.4547044343699086,0.3510085358078912,0.23016575759722321,-0.006200728472322226,0.40746971736204574,0.006431727670133114,0.7469584543458242,0.6569915704469789,0.49957940780619114,0.24990702698873699,0.07235082983970642
"breakout(n=120,k=0)",10,225872,4870,-0.003399667562916875,-0.01176533941179514,0.007210330571979284,-0.0050505101680755615,0.4748131685202238,0.3976278600269179,0.2985407664517957,-0.006953098811209202,0.40643815966565133,0.014163428917527199,0.8150766805978608,0.7479324573209606,0.6230032939009704,0.38744510165049234,0.10735879838466644
"breakout(n=120,k=0)",20,225872,4870,-0.00017169427883345634,-0.01655633933842182,0.013278733007609844,-0.008498579263687134,0.4740561025713679,0.42202663455408373,0.3490383934263654,-0.009678472764790058,0.3979067790607069,0.022957205772399902,0.8626611532195225,0.8141513777714812,0.7205983920096338,0.524628993412198,0.1595710664987564
"breakout(n=120,k=0)",60,225872,4870,0.023142704740166664,-0.025784647092223167,0.03975394740700722,-0.03030306100845337,0.44577902528865904,0.4148411489693278,0.3713164978394843,-0.016070827841758728,0.37912623078557767,0.055824775248765945,0.8998149394347241,0.8696562654955019,0.8107689310760077,0.6783620811787207,0.3055146336555481
"breakout(n=240,k=0)",3,158899,4642,-0.004419628530740738,-0.006614576559513807,-3.487080175545998e-05,-0.005675911903381348,0.4544396125840943,0.3350367214394049,0.20531910207112694,-0.004499481525272131,0.41707625598650716,0.004464610945433378,0.7025343142499324,0.6000981755706455,0.4282783403293916,0.18560217496648815,0.057733822613954544
"breakout(n=240,k=0)",5,158899,4642,-0.005289439577609301,-0.00912855751812458,0.0025653913617134094,-0.004903674125671387,0.4683792849545938,0.3700526749696348,0.2504358114273847,-0.005712124984711409,0.41525119730143045,0.008277516812086105,0.7634472211908193,0.6783239667965185,0.5256231946078955,0.27319240523854776,0.07678114622831345
"breakout(n=240,k=0)",10,158899,4642,-0.002479473128914833,-0.010585058480501175,0.01065332256257534,-0.0024691224098205566,0.48723402916317915,0.4155029295338548,0.32078867708418557,-0.006230940110981464,0.4145148805215892,0.01688426360487938,0.8287025091410267,0.7661722226068132,0.6481601520462684,0.41770558656756807,0.11451166123151779
"breakout(n=240,k=0)",20,158899,4642,0.000724010169506073,-0.014760729856789112,0.015926256775856018,-0.006664574146270752,0.48087149698865317,0.43284098704208335,0.36547744164532187,-0.009467042051255703,0.4038477271726065,0.025393299758434296,0.8727115966746172,0.8274690212021473,0.7400298302695423,0.5540122971195539,0.17040516436100006
"breakout(n=240,k=0)",60,158899,4642,0.022749077528715134,-0.02469983510673046,0.0426759235560894,-0.03194534778594971,0.4479008678468713,0.4196250448398039,0.37911503533691215,-0.01811901479959488,0.37852346459071484,0.06079493835568428,0.9011069924920861,0.8732276477510872,0.8185262336452716,0.6945669890937011,0.32798025012016296
"breakout(n=240,k=2.5)",3,36221,3996,-0.00757425045594573,-0.00975388940423727,-0.007399613969027996,-0.012247860431671143,0.41393114491593275,0.30228320587504487,0.18378841003837554,-0.009613923728466034,0.3892217222053505,0.002214309759438038,0.6839954722398609,0.5880566522183264,0.42414621352254217,0.18607989840147982,0.056872062385082245
"breakout(n=240,k=2.5)",5,36221,3996,-0.009002010338008404,-0.012676233425736427,-0.007678876165300608,-0.013720095157623291,0.4233179647166009,0.3284558681427901,0.21628337152480606,-0.012170219793915749,0.3846939620662047,0.004491343628615141,0.7378040363325142,0.6552828469672289,0.5095938820021535,0.2629137792993015,0.07425272464752197
"breakout(n=240,k=2.5)",10,36221,3996,-0.007733548525720835,-0.015780849382281303,-0.004277355968952179,-0.017241358757019043,0.4272935589851191,0.35628502802241796,0.2644598437370586,-0.015255351550877094,0.3698130918527926,0.010977995581924915,0.7971894757185058,0.7341321332928412,0.6161066784462053,0.3885039065735347,0.10753820091485977
"breakout(n=240,k=2.5)",20,36221,3996,-0.0049552652053534985,-0.020856644958257675,0.0021628765389323235,-0.024071574211120605,0.43240109328842385,0.38215399906131803,0.3129952237652191,-0.01908252201974392,0.359073465669087,0.021245397627353668,0.8417768697716794,0.7943458214847741,0.7026034620800088,0.510808646917534,0.15505599975585938
"breakout(n=240,k=2.5)",60,36221,3996,0.02086491696536541,-0.027126632630825043,0.032811395823955536,-0.040540993213653564,0.4279285497363408,0.39888462494133237,0.35526352116175697,-0.02572026476264,0.34791971508241076,0.058531660586595535,0.8875238121531708,0.8572375141492504,0.7963060103255017,0.6623229618177301,0.29011064767837524
any,3,14243884,5244,0.002118027303367853,0.0,0.0017092846101149917,0.0,0.4909128015925993,0.2988947396651082,0.1292343436663764,6.088728410347244e-10,0.4413960405743265,0.0017092840280383825,0.579174051122573,0.4443545033082269,0.2632841576075739,0.08022734529430316,0.03837156295776367
any,5,14243884,5244,0.0037770841736346483,0.0,0.0030687530525028706,0.0,0.49533420800113226,0.3435065183063833,0.1818716720804522,1.3280512245472664e-09,0.4376237548691073,0.0030687516555190086,0.6664498250617599,0.5481855931991583,0.36812782243944137,0.14169611322305067,0.051821570843458176
any,10,14243884,5244,0.0077959513291716576,0.0,0.006354828830808401,0.00043463706970214844,0.5003810056302059,0.3919491340985366,0.25539192821283857,1.0187606314104869e-09,0.43306369245916354,0.0063548278994858265,0.7614420336475641,0.6708101526241017,0.515014935533033,0.2620548580710149,0.07785603404045105
