扫描标签,策略,期末资产,滚动3年Calmar中位,滚动3年Calmar_P10,滚动3年Calmar_P90,滚动3年回撤中位,滚动3年年化中位,滚动3年为负的窗口占比,滚动窗口数,滚动5年年化中位,滚动5年年化P10,滚动5年回撤中位,滚动5年Calmar中位,滚动5年为负的窗口占比,滚动5年窗口数,滚动10年年化中位,滚动10年年化P10,滚动10年回撤中位,滚动10年为负的窗口占比,滚动10年窗口数,逐年收益中位,逐年收益均值,逐年最差,逐年最好,逐年为正比例,完整自然年数,总收益,年化,年化波动,最大回撤,回撤区间,Calmar,Sharpe,平均仓位,周期数,胜率,盈亏比,平均持有天数,买入笔数,卖出笔数,年均换手,累计手续费,手续费占初始本金,基准年化,强平次数,最低担保比例,滚动3年Sharpe中位,滚动3年年化P25,滚动5年年化P25,滚动5年年化最差,滚动5年Sharpe中位,持仓数中位,持仓数P25,单票权重中位,单票权重P90,单票权重最大,前三权重中位,前三权重P90,前三权重最大,单票超60%天数占比,单票超100%天数占比,前五赢家,前五赢家盈亏,前五赢家占正贡献,互不重叠5年块中位,互不重叠5年块数,前五赢家贡献,计量版本,首个净值日,末次净值日,滚动5年年化最差窗口末日,年化_交易日口径,最大回撤起日,最大回撤止日,rf覆盖率,最低担保比例日,最低股票同跌缓冲,最低股票同跌缓冲日,最低总资产冲击缓冲,最低总资产冲击缓冲日
BASE20091101,trend_x5_w-0.0454_x1c_dtax_sma20_swap_corr1_tranche_slmin_gs1.1u_ma60stop_addma_swk20_cap0.6_sp_gso_lot100_lrc2_BASE20091101,308634126.93630266,0.842964638194336,0.061578350540405,1.4027503981288156,0.4282931651282402,0.339321394418133,0.07878787878787878,165,0.36073123221410053,0.10271672521174424,0.4762924060769427,0.7225146670866909,0.028368794326241134,141,0.3304824503724204,0.20584233625914128,0.6752545571565589,0.0,81,0.29530869649259883,0.4048604870780764,-0.27897692271610874,1.9388991681524828,0.75,16,101.87804231210089,0.3171902906642554,0.45807028242610837,0.6752545571565589,2015-06-12~2016-06-13,0.46973439468504663,0.7667856812544028,1.6253453441726435,254,0.3543307086614173,9.908778015449343,151.46850393700788,1951,581,5.90547956369238,1460447.8083419998,0.4868159361139999,1.96%（同期超额 +29.76%）,0,1.8066572304941029,0.8369721954287334,0.17810666784475715,0.2273046616723462,-0.028114119354730627,0.8199752299683013,6,5,0.6534750853229798,0.9825177743851595,1.3483526028676984,1.4504040354474665,1.621824002454764,2.097749333872732,0.7808389178456192,0.08860759493670886,002128/000651/601088/000933/000338,,0.5834127322104995,0.43903075591465623,3,4.307720579870257,m2,2009-11-02,2026-08-28,2016-02-29,0.3184993081972738,2015-06-12,2016-06-13,0.9845890410958904,2015-08-24,0.2804390461800754,2015-08-24,0.2804390461800754,2015-08-24
BASE20091101ex5,trend_x5_w-0.0454_x1c_dtax_sma20_swap_corr1_tranche_slmin_gs1.1u_ma60stop_addma_swk20_cap0.6_sp_gso_ex5_lot100_lrc2_BASE20091101ex5,340213515.496312,0.8964590678273181,-0.2550085707119122,2.150707409878973,0.48435165239031663,0.4012696442367971,0.15151515151515152,165,0.3987877403029503,0.011962543121359248,0.48435165239031663,0.7227205965754256,0.09929078014184398,141,0.3745388395000231,0.15100246962911767,0.6548350383683272,0.0,81,0.36031643651795575,0.3890340303735357,-0.3478893093227511,1.5880911311790555,0.625,16,112.40450516543734,0.32484186578832164,0.42767534045101124,0.7283832305792164,2011-03-28~2012-11-15,0.44597658505949495,0.803476415623411,1.5225734383493814,260,0.3230769230769231,12.697892423341504,144.86923076923077,2205,596,6.317164326058551,1308326.8381331996,0.43610894604439987,1.96%（同期超额 +30.53%）,0,1.6067502216767489,0.9403384687901855,0.23091341947874833,0.22766498780972522,-0.15428167240463875,0.8903808474195893,7,5.0,0.6267440451746449,0.731338453109875,0.9236066617328066,1.3818852894661668,1.6144967503202263,2.3173100033600544,0.7426192278576835,0.0,601225/600585/688516/600309/002466,,0.4775507154019474,0.5512482188722037,3,3.4924893883864496,m2,2009-11-02,2026-08-28,2016-02-29,0.32618618246937037,2011-03-28,2012-11-15,0.9845890410958904,2015-08-25,0.19091344599699817,2015-08-25,0.1909134459969981,2015-08-25
BASE20100501,trend_x5_w-0.0454_x1c_dtax_sma20_swap_corr1_tranche_slmin_gs1.1u_ma60stop_addma_swk20_cap0.6_sp_gso_lot100_lrc2_BASE20100501,932424220.4654763,0.9968300621640648,0.08265752204596116,1.98378519404795,0.4653606786002831,0.4556823025440868,0.07547169811320754,159,0.49136714094226663,0.10257192243416968,0.4653606786002831,1.0143608186963344,0.022222222222222223,135,0.4581619521750946,0.3145485875224088,0.6442094082409834,0.0,75,0.3852419375207048,0.5384524071287324,-0.27875936765926945,2.1136026575030553,0.8,15,309.8080734884921,0.42150631552147355,0.48082404603227547,0.6442094082409834,2015-06-12~2016-01-28,0.6543001547779291,0.9114264060853421,1.6555312858102489,254,0.38976377952755903,7.907294034425084,156.3228346456693,1965,602,6.920246682741897,4432518.134764001,1.4775060449213335,2.75%（同期超额 +39.40%）,0,1.7911437842468685,0.9653265816890629,0.25290711563521473,0.32904218947777286,-0.022959951326944283,0.9810371682006389,7.0,5.0,0.6706583581074399,0.9728754302565952,1.3486481514880821,1.4689935162723085,1.6657891385004124,2.1841747561678586,0.7876151484135108,0.086489252814739,000651/002128/601088/000933/688516,,0.5045744552239181,0.6818644879917632,3,4.282749308937362,m2,2010-05-04,2026-08-28,2016-02-29,0.42346065059957927,2015-06-12,2016-01-28,1.0,2015-08-25,0.2742067881799798,2015-08-25,0.2742067881799798,2015-08-25
BASE20100501ex5,trend_x5_w-0.0454_x1c_dtax_sma20_swap_corr1_tranche_slmin_gs1.1u_ma60stop_addma_swk20_cap0.6_sp_gso_ex5_lot100_lrc2_BASE20100501ex5,441181869.06378406,0.8512718217109326,-0.20984011965618293,2.430905448360798,0.5581310415914893,0.42803760601632956,0.11949685534591195,159,0.4421513650284694,0.032866933378973506,0.5581310415914893,0.7352530877790954,0.08148148148148149,135,0.40212388347761774,0.17844332922619932,0.6219062632822969,0.0,75,0.3868593935218483,0.4492640996859818,-0.3477407285077234,1.7585405420257887,0.6666666666666666,15,146.06062302126136,0.3577877601083479,0.4310098890053794,0.734892282283886,2011-03-28~2014-03-20,0.48685741942536265,0.8573111334596274,1.545533372076012,247,0.3117408906882591,14.777511350310343,146.02024291497975,2139,586,6.085638517207243,1607864.6365908002,0.5359548788636,2.75%（同期超额 +33.03%）,0,1.7066753804020884,0.9483527701238205,0.27845156542994687,0.30383633295552914,-0.13724399740714543,0.952304247575218,6.0,4.0,0.6219685487731121,0.7897046895389331,1.0528310269778882,1.3619765750910537,1.6687530323752322,2.2396663070765475,0.6991150442477876,0.008849557522123894,600309/601225/688516/600585/002466,,0.4653070241695995,0.5921067691932138,3,3.4660812947702375,m2,2010-05-04,2026-08-28,2016-02-29,0.35941094419362374,2011-03-28,2014-03-20,1.0,2020-03-23,0.2382851390908778,2020-03-23,0.23828513909087778,2020-03-23
BASE20101101,trend_x5_w-0.0454_x1c_dtax_sma20_swap_corr1_tranche_slmin_gs1.1u_ma60stop_addma_swk20_cap0.6_sp_gso_lot100_lrc2_BASE20101101,336635442.07222795,0.9640431441414017,0.06782159210892791,1.6162667038748149,0.43971848010982684,0.4156895020207201,0.0784313725490196,153,0.45853666606529053,0.06406977181233087,0.43971848010982684,1.0427959860835587,0.06976744186046512,129,0.3875083627946607,0.2328108373943092,0.6503252141799137,0.0,69,0.31528052355101743,0.43201123861083046,-0.3002073815887645,1.6869901436215988,0.6666666666666666,15,111.21181402407599,0.34762338931737813,0.4687613101975199,0.6503252141799137,2015-06-12~2016-06-13,0.5345377693155342,0.8080840299614258,1.6100962759142545,267,0.3857677902621723,8.156513557848697,133.12359550561797,2058,566,6.6808963952094755,1577714.4099179988,0.5259048033059996,1.93%（同期超额 +32.83%）,0,1.7485485086990133,0.9171873697333582,0.22421258604963024,0.2609378480932334,-0.05122065202256021,0.9352441110858875,6,5,0.6691136407522232,0.8532884017860091,1.0359602260681164,1.4539101197798714,1.6532106794334525,2.335918765956815,0.8201627723812024,0.012076660540824364,002128/601088/000933/000338/688516,,0.5259275728428513,0.5496622769790913,3,3.877877212895122,m2,2010-11-01,2026-08-28,2016-06-30,0.34893819408306803,2015-06-12,2016-06-13,1.0,2015-08-25,0.25652620242875074,2015-08-25,0.2565262024287507,2015-08-25
BASE20101101ex5,trend_x5_w-0.0454_x1c_dtax_sma20_swap_corr1_tranche_slmin_gs1.1u_ma60stop_addma_swk20_cap0.6_sp_gso_ex5_lot100_lrc2_BASE20101101ex5,573946013.7907586,1.0352785630988253,0.14722437756314782,2.4233864933664795,0.4234996853811267,0.428114041121346,0.06535947712418301,153,0.435209954561687,0.10905015424595499,0.4847334113202737,0.8789228097351812,0.007751937984496124,129,0.4101135730032657,0.3087194967506435,0.6518026130967678,0.0,69,0.43340402022863755,0.45190129313069183,-0.2549911368777308,1.5890899004850083,0.6666666666666666,15,190.31533793025287,0.39384145779326096,0.4136709743782302,0.6518026130967678,2015-06-15~2016-02-29,0.6042342419004548,0.9386667261243812,1.480764151064665,232,0.3275862068965517,14.065210074487918,151.64655172413794,2055,563,5.776023103881609,1990013.078672402,0.6633376928908007,1.93%（同期超额 +37.45%）,0,1.619038195132637,1.01742115838916,0.30300591865346127,0.338792224133887,-0.014068741126592177,0.9628413172707213,7,5,0.6181580225445125,0.7040892204332488,0.89837767013614,1.3805260437165379,1.6087652843079912,2.2971492477244664,0.6699355561782012,0.0,601225/600585/688516/600309/002466,,0.4760021238671066,0.5640301395464031,3,3.571844422204128,m2,2010-11-01,2026-08-28,2016-02-29,0.39535514461524945,2015-06-15,2016-02-29,1.0,2015-08-25,0.19705414985994216,2015-08-25,0.19705414985994218,2015-08-25
BASE20110501,trend_x5_w-0.0454_x1c_dtax_sma20_swap_corr1_tranche_slmin_gs1.1u_ma60stop_addma_swk20_cap0.6_sp_gso_lot100_lrc2_BASE20110501,195134910.73620552,0.8883198204718654,0.06255256688327648,1.4929170538977412,0.4607817091930404,0.36922575925908374,0.06802721088435375,147,0.3887489228219414,0.10738913728765098,0.4607817091930404,0.8648441896189882,0.024390243902439025,123,0.33316482419683213,0.25349256585974955,0.7164817616605357,0.0,63,0.30027324991759363,0.43125329736823514,-0.27295657870381174,1.9155036275114976,0.7142857142857143,14,64.04497024540184,0.31325227361749697,0.46268645170748907,0.7164817616605357,2015-06-09~2016-02-03,0.43720899872105023,0.7572846284781233,1.6015637129428757,257,0.36186770428015563,9.925093691570655,139.92996108949416,1859,510,5.945008905919013,910595.5718399996,0.3035318572799999,2.52%（同期超额 +28.81%）,0,1.8532989301389355,0.8788142867370223,0.20340810658243913,0.24092850056032455,-0.04927734855866295,0.8687307947757065,6,5,0.6536679536533039,0.9765589322913116,1.1769864963934236,1.4565329847755129,1.6289876573185913,1.9845943395137413,0.7998886724185917,0.07319788477595324,002128/601088/000933/000651/000338,,0.5624382313362711,0.44023653328218826,3,3.7225254822177876,m2,2011-05-03,2026-08-28,2016-05-31,0.3144367919839015,2015-06-09,2016-02-03,1.0,2015-08-24,0.2985481301159854,2015-08-24,0.29854813011598547,2015-08-24
BASE20110501ex5,trend_x5_w-0.0454_x1c_dtax_sma20_swap_corr1_tranche_slmin_gs1.1u_ma60stop_addma_swk20_cap0.6_sp_gso_ex5_lot100_lrc2_BASE20110501ex5,984200213.2403066,1.0996840627993323,0.2937553098502399,3.0383029299819513,0.4686972248046778,0.4786461387328802,0.04081632653061224,147,0.5474533792571239,0.16051513999074518,0.5653784364208294,0.9682954707696646,0.0,123,0.4888708064692968,0.37370570829305727,0.6625219564609381,0.0,63,0.41910705249479796,0.5571262635487544,-0.24303035400684148,1.753519338965706,0.7142857142857143,14,327.06673774676887,0.4595414701476832,0.42531174654250836,0.6625219564609381,2015-06-15~2016-02-29,0.6936245141254839,1.0347153964657656,1.5103503675277532,238,0.28991596638655465,17.46925252610295,139.65546218487395,2081,598,6.0477920436850265,3339830.9798148,1.1132769932716,2.52%（同期超额 +43.43%）,0,1.634079516011179,1.1138363554187451,0.30171419949996725,0.37101676222893976,0.03132324874246306,1.1270495247299324,6.0,5.0,0.6154974226965264,0.7486548198951419,1.0474054245388429,1.3553654527628352,1.6115929771580417,2.1913345655399343,0.646875,0.004829545454545454,600309/002466/688516/601225/600585,,0.4928269247683451,0.6914309527527251,3,3.9857563791955832,m2,2011-05-03,2026-08-28,2016-05-31,0.4613684808094387,2015-06-15,2016-02-29,1.0,2015-08-25,0.20444507916400165,2015-08-25,0.20444507916400156,2015-08-25
BASE20111101,trend_x5_w-0.0454_x1c_dtax_sma20_swap_corr1_tranche_slmin_gs1.1u_ma60stop_addma_swk20_cap0.6_sp_gso_lot100_lrc2_BASE20111101,211046532.97595394,0.8606052939373129,0.14871012294597222,1.3580519632962227,0.4519307367270885,0.37507808648812846,0.02127659574468085,141,0.3956040082304788,0.1661304794770071,0.4741916781444697,0.859470962422634,0.0,117,0.3397323673381689,0.2744623340991956,0.71431234384065,0.0,57,0.31257976655741326,0.43497279658310145,-0.2729581569834503,2.0169757132894097,0.7142857142857143,14,69.34884432531798,0.3323652934000796,0.4726345197098476,0.71431234384065,2015-06-09~2016-02-03,0.46529406395673906,0.7829236965823234,1.6484516511777747,251,0.35856573705179284,9.775495216607423,141.5418326693227,1834,516,5.913399472824013,1016089.4367499992,0.3386964789166664,3.82%（同期超额 +29.41%）,0,1.8520536925173137,0.8914064559739153,0.23918650329734148,0.27000191304728816,0.032933730411252915,0.8820137536662724,6,5,0.6495852422570648,0.9652981045317055,1.1534639616915525,1.4522924017825776,1.6279268209483915,1.9882782777273946,0.8103011539544047,0.0638896707008162,002128/601088/000933/000651/000338,,0.5793676187340939,0.5384282605668599,2,3.8594211879322753,m2,2011-11-01,2026-08-28,2016-12-30,0.3338246010939918,2015-06-09,2016-02-03,1.0,2015-08-24,0.2980765054208345,2015-08-24,0.2980765054208345,2015-08-24
BASE20111101ex5,trend_x5_w-0.0454_x1c_dtax_sma20_swap_corr1_tranche_slmin_gs1.1u_ma60stop_addma_swk20_cap0.6_sp_gso_ex5_lot100_lrc2_BASE20111101ex5,630012618.8773466,1.0770869414234836,0.3841694221792437,2.2094662453975378,0.43707889050301374,0.4429610468115328,0.0,141,0.45655978937266806,0.24327367113952447,0.4847044725324019,0.9391966329014152,0.0,117,0.43393808822064694,0.3650559092126675,0.6522482767560946,0.0,57,0.4531770457642005,0.49190072200431917,-0.255541509004126,1.586402897842941,0.7142857142857143,14,209.00420629244888,0.4343883464327476,0.43043047567589865,0.6522482767560946,2015-06-15~2015-08-25,0.6659861925479417,0.987438409723757,1.5799182891000343,215,0.32558139534883723,14.51889002758384,171.92093023255813,2004,541,6.104034170709014,2293820.774447201,0.7646069248157336,3.82%（同期超额 +39.62%）,0,1.5749403967066156,1.0553729405588859,0.33953532134574305,0.3809710661676484,0.09465321979312491,0.9858079183742117,7.0,6.0,0.6174725755088231,0.702062125832422,0.9337221833274978,1.3811163570841218,1.5527816848939726,2.471048456871912,0.6766211604095563,0.0,601225/600585/688516/600309/600660,,0.46235045240711514,0.6307178432954695,2,3.5200033628696503,m2,2011-11-01,2026-08-28,2016-12-30,0.43636362787671557,2015-06-15,2015-08-25,1.0,2015-08-25,0.17457193763113066,2015-08-25,0.17457193763113066,2015-08-25
BASE20120501,trend_x5_w-0.0454_x1c_dtax_sma20_swap_corr1_tranche_slmin_gs1.1u_ma60stop_addma_swk20_cap0.6_sp_gso_lot100_lrc2_BASE20120501,365731753.99769837,1.0033312121594127,0.17574370237549342,1.7210970387979523,0.44742061409683864,0.43175437318601806,0.022222222222222223,135,0.5013701848779584,0.2374812886470603,0.44742061409683864,1.1205790906394022,0.0,111,0.42186173962885265,0.3400786572530172,0.7043032910902614,0.0,51,0.41830657111042613,0.5175675347353248,-0.23838885936818632,1.99542702914811,0.7692307692307693,13,120.91058466589945,0.39847921911522177,0.49024990002420865,0.7043032910902614,2015-06-09~2016-02-01,0.5657778746119104,0.8712710170663757,1.6706219358060035,263,0.3726235741444867,8.517028692341192,128.70722433460077,1851,530,6.54101698557143,1710333.5600260014,0.5701111866753338,4.00%（同期超额 +35.85%）,0,1.7480377435332108,0.9460371941622119,0.303387772733529,0.35922111424156955,0.10259153524112641,0.9948432986675304,6.0,5.0,0.6715266669321907,0.9084417134610585,1.1059737133141183,1.4834322706301593,1.6509607827101163,2.1579324741145474,0.8199079401611047,0.03711162255466053,601088/000933/000651/002128/688516,,0.5145129690762256,0.6286983094837142,2,3.7583715516477567,m2,2012-05-02,2026-08-28,2017-05-31,0.3998927000965484,2015-06-09,2016-02-01,1.0,2015-08-26,0.25630896426047256,2015-08-26,0.25630896426047256,2015-08-26
