date,open,close,high,low,volume,turnover_pct,amount_10k_cny
2012-04-10,20.51,21.80,21.80,20.51,82199.45,61.39,17280.74
2012-04-11,21.30,21.03,21.68,20.68,67512.20,50.42,14260.81
2012-04-12,21.26,20.71,21.44,20.10,54192.34,40.47,11225.83
2012-04-13,20.62,21.04,21.49,20.50,51264.17,38.29,10766.69
2012-04-16,20.50,20.19,20.59,19.81,37780.58,28.22,7604.92
2012-04-17,20.09,19.97,20.32,19.72,23068.77,17.23,4625.26
2012-04-18,20.09,20.34,20.39,19.85,30733.77,22.95,6199.04
2012-04-19,20.21,20.37,20.95,20.20,24001.13,17.92,4924.45
2012-04-20,20.28,20.53,20.64,20.17,20153.19,15.05,4112.16
2012-04-23,20.30,18.98,20.33,18.95,34285.39,25.61,6677.61
2012-04-24,18.96,18.68,19.19,18.28,16533.73,12.35,3095.12
2012-04-25,19.00,19.18,19.34,18.81,13286.79,9.92,2541.52
2012-04-26,19.12,19.18,19.48,19.04,11340.78,8.47,2182.81
2012-04-27,19.13,19.35,19.61,19.13,11634.70,8.69,2258.75
2012-05-02,19.77,19.62,19.95,19.43,11907.12,8.89,2346.00
2012-05-03,19.53,19.68,19.86,19.50,8495.67,6.34,1673.17
2012-05-04,19.68,20.00,20.01,19.62,14134.33,10.56,2803.30
2012-05-07,20.13,20.00,20.13,19.76,11433.24,8.54,2273.87
2012-05-08,20.02,20.15,20.45,19.94,15571.23,11.63,3143.27
2012-05-09,20.03,19.65,20.10,19.62,9741.53,7.28,1930.00
2012-05-10,19.68,19.80,19.89,19.64,5765.79,4.31,1139.59
2012-05-11,19.74,19.35,19.84,19.33,8136.50,6.08,1588.85
2012-05-14,19.48,19.16,19.56,19.15,5345.38,3.99,1034.46
2012-05-15,18.92,19.30,19.33,18.90,3918.06,2.93,747.33
2012-05-16,19.26,19.18,19.44,19.14,3858.56,2.88,744.17
2012-05-17,19.29,19.48,19.56,19.29,7559.28,5.65,1470.03
2012-05-18,19.30,19.45,19.75,19.24,8370.87,6.25,1633.67
2012-05-21,19.45,19.60,19.75,19.40,5734.04,4.28,1122.82
2012-05-22,19.58,19.72,19.85,19.51,6876.27,5.14,1354.74
2012-05-23,19.68,19.28,19.73,19.15,8001.40,5.98,1552.41
2012-05-24,19.18,19.18,19.46,19.16,4581.61,3.42,882.89
2012-05-25,19.23,18.80,19.35,18.77,4790.28,3.58,910.54
2012-05-28,18.70,18.79,18.80,18.20,5421.40,4.05,1005.75
2012-05-29,18.71,19.05,19.12,18.70,5261.02,3.93,999.37
2012-05-30,19.14,19.00,19.22,18.93,5181.97,3.87,986.58
2012-05-31,18.95,19.11,19.22,18.90,5546.19,4.14,1058.59
2012-06-01,19.18,19.12,19.21,18.91,3462.96,2.59,660.89
2012-06-04,18.78,18.42,18.93,18.41,5389.89,4.03,1004.35
2012-06-05,18.50,18.42,18.59,18.31,3436.32,2.57,633.50
2012-06-06,18.49,18.51,18.70,18.36,2853.76,2.13,529.02
2012-06-07,18.78,18.41,18.80,18.39,2641.42,1.97,491.34
2012-06-08,18.55,18.52,18.76,18.41,2996.60,2.24,556.48
2012-06-11,18.50,18.81,18.86,18.50,3629.74,2.71,680.17
2012-06-12,18.66,18.63,18.85,18.60,2698.00,2.01,505.26
2012-06-13,18.64,19.03,19.08,18.64,5168.21,3.86,977.63
2012-06-14,18.90,19.05,19.40,18.80,9042.79,6.75,1734.90
2012-06-15,19.16,19.38,19.55,19.16,10222.02,7.63,1978.17
2012-06-18,19.45,19.55,19.65,19.30,8346.75,6.23,1625.24
2012-06-19,19.49,19.35,19.62,19.33,4429.30,3.31,860.62
2012-06-20,19.40,19.45,19.58,19.26,4743.22,3.54,921.46
2012-06-21,19.35,19.24,19.45,19.08,4977.94,3.72,957.35
2012-06-25,19.13,18.78,19.25,18.73,3522.10,2.63,669.40
2012-06-26,18.85,19.06,19.12,18.57,3877.10,2.90,731.71
2012-06-27,18.95,19.98,20.59,18.94,21973.13,16.41,4378.20
