code,months,sampling,year,bin,signals,complete,unmatured,missing_execution,missing_terminal,median_return
000300,3,daily,2010,0,6,6,0,0,0,0.18900703313441308
000300,3,daily,2010,1,171,171,0,0,0,0.0382310112786081
000300,3,daily,2010,2,57,57,0,0,0,-0.033492252326389
000300,3,daily,2010,3,8,8,0,0,0,-0.11957382039934045
000300,3,daily,2011,0,103,103,0,0,0,-0.0700153777535166
000300,3,daily,2011,1,93,93,0,0,0,-0.0613668447421595
000300,3,daily,2011,2,48,48,0,0,0,-0.0682480541870476
000300,3,daily,2012,0,28,28,0,0,0,0.04341041539955165
000300,3,daily,2012,1,186,186,0,0,0,-0.018527357649663748
000300,3,daily,2012,2,29,29,0,0,0,-0.0832352525775622
000300,3,daily,2013,1,52,52,0,0,0,-0.01482012190140905
000300,3,daily,2013,2,165,165,0,0,0,-0.0547029013967428
000300,3,daily,2013,3,21,21,0,0,0,-0.0411271475765222
000300,3,daily,2014,0,33,33,0,0,0,0.1446581019477828
000300,3,daily,2014,1,104,104,0,0,0,0.0125518424986592
000300,3,daily,2014,2,6,6,0,0,0,0.06709864107854965
000300,3,daily,2014,3,102,102,0,0,0,0.29659222385009565
000300,3,daily,2015,1,20,20,0,0,0,-0.0857980572702622
000300,3,daily,2015,2,68,68,0,0,0,-0.16294004208272733
000300,3,daily,2015,3,21,21,0,0,0,-0.0158396482221496
000300,3,daily,2015,4,135,135,0,0,0,-0.0938012360397518
000300,3,daily,2016,0,11,11,0,0,0,0.0522218900649835
000300,3,daily,2016,1,111,111,0,0,0,0.0360290926308313
000300,3,daily,2016,2,82,82,0,0,0,0.02240968415548045
000300,3,daily,2016,3,40,40,0,0,0,0.0133024150620483
000300,3,daily,2017,2,20,20,0,0,0,0.026284860183892797
000300,3,daily,2017,3,206,206,0,0,0,0.0614470075940801
000300,3,daily,2017,4,18,18,0,0,0,0.012860660828386699
000300,3,daily,2018,0,8,8,0,0,0,0.2457750906346705
000300,3,daily,2018,1,121,121,0,0,0,-0.0126468898776203
000300,3,daily,2018,2,56,56,0,0,0,-0.1065218978124266
000300,3,daily,2018,3,38,38,0,0,0,-0.07441853322950226
