tag,rank,peak,trough,indicator,signal_day,already_active_at_peak,earliest_execution_close,drawdown_at_execution,remaining_base_decline,episode_active_fraction
BASE20091101,1,2011-07-13,2013-06-25,vol20_gt40_3d,2012-11-14,False,2012-11-15,0.3887305071379136,0.12127777237478776,0.2148936170212766
BASE20091101,1,2011-07-13,2013-06-25,held_below_ma60_gt50_3d,2011-08-05,False,2011-08-08,0.16542627562838919,0.35639467819150306,0.3702127659574468
BASE20091101,1,2011-07-13,2013-06-25,account_dd_gt10_3d,2011-08-09,False,2011-08-10,0.1491183670631886,0.3687299506123016,0.9297872340425531
BASE20091101,1,2011-07-13,2013-06-25,index_below_ma120_3d,2011-07-13,True,2011-07-14,0.0040463983962828465,0.46068161249460593,0.597872340425532
BASE20091101,2,2015-04-27,2016-06-13,vol20_gt40_3d,2015-04-27,True,2015-04-28,0.04566767553110962,0.43087038594198435,0.296028880866426
BASE20091101,2,2015-04-27,2016-06-13,held_below_ma60_gt50_3d,2015-06-30,False,2015-07-01,0.07295557562565114,0.4141178424382128,0.41155234657039713
BASE20091101,2,2015-04-27,2016-06-13,account_dd_gt10_3d,2015-08-25,False,2015-08-26,0.14093879262058318,0.3677530974016111,0.6064981949458483
BASE20091101,2,2015-04-27,2016-06-13,index_below_ma120_3d,2015-07-06,False,2015-07-07,0.06836906433510104,0.41700219827883467,0.779783393501805
BASE20091101,3,2021-09-22,2021-11-16,vol20_gt40_3d,2021-09-22,True,2021-09-23,0.009756514816096962,0.425644922946554,1.0
BASE20091101,3,2021-09-22,2021-11-16,held_below_ma60_gt50_3d,2021-11-01,False,2021-11-02,0.376398809624936,0.08795656260309759,0.34285714285714286
BASE20091101,3,2021-09-22,2021-11-16,account_dd_gt10_3d,2021-09-28,False,2021-09-29,0.2057830960881667,0.2838840744472355,0.8857142857142857
BASE20091101,3,2021-09-22,2021-11-16,index_below_ma120_3d,2021-09-22,True,2021-09-23,0.009756514816096962,0.425644922946554,1.0
BASE20091101,4,2020-01-02,2020-03-23,vol20_gt40_3d,2020-02-04,False,2020-02-05,0.239535174926227,0.24899409928057215,0.6730769230769231
BASE20091101,4,2020-01-02,2020-03-23,held_below_ma60_gt50_3d,2020-02-04,False,2020-02-05,0.239535174926227,0.24899409928057215,0.17307692307692307
BASE20091101,4,2020-01-02,2020-03-23,account_dd_gt10_3d,2020-02-04,False,2020-02-05,0.239535174926227,0.24899409928057215,0.2692307692307692
BASE20091101,4,2020-01-02,2020-03-23,index_below_ma120_3d,2020-02-05,False,2020-02-06,0.22661153943539913,0.2615437130998334,0.19230769230769232
BASE20091101,5,2024-05-29,2024-09-11,vol20_gt40_3d,,False,,,,0.0
BASE20091101,5,2024-05-29,2024-09-11,held_below_ma60_gt50_3d,2024-07-04,False,2024-07-05,0.07961638724014497,0.3231916942838089,0.24
BASE20091101,5,2024-05-29,2024-09-11,account_dd_gt10_3d,2024-07-18,False,2024-07-19,0.13547324268720196,0.27946328058466097,0.5333333333333333
BASE20091101,5,2024-05-29,2024-09-11,index_below_ma120_3d,2024-06-26,False,2024-06-27,0.09941159528539434,0.30831524112466524,0.68
BASE20091101,6,2026-03-12,2026-06-30,vol20_gt40_3d,2026-03-12,True,2026-03-13,0.03204741669286415,0.32864099393374224,0.36486486486486486
BASE20091101,6,2026-03-12,2026-06-30,held_below_ma60_gt50_3d,2026-03-24,False,2026-03-25,0.24022337644468772,0.14469113144406154,0.17567567567567569
BASE20091101,6,2026-03-12,2026-06-30,account_dd_gt10_3d,2026-03-19,False,2026-03-20,0.22247401539368283,0.16421611995722685,0.9324324324324325
BASE20091101,6,2026-03-12,2026-06-30,index_below_ma120_3d,2026-03-23,False,2026-03-24,0.25103409384295794,0.1323454393502299,0.17567567567567569
BASE20091101,7,2018-06-12,2019-01-03,vol20_gt40_3d,2018-06-19,False,2018-06-20,0.08346864364544071,0.2770950174126229,0.7122302158273381
BASE20091101,7,2018-06-12,2019-01-03,held_below_ma60_gt50_3d,2018-06-28,False,2018-06-29,0.10894323611449341,0.2564277484218592,0.7338129496402878
BASE20091101,7,2018-06-12,2019-01-03,account_dd_gt10_3d,2018-06-28,False,2018-06-29,0.10894323611449341,0.2564277484218592,0.7482014388489209
BASE20091101,7,2018-06-12,2019-01-03,index_below_ma120_3d,2018-06-12,True,2018-06-13,0.0005162915784967526,0.3370926623179531,1.0
BASE20111101,1,2024-05-29,2024-09-11,vol20_gt40_3d,2024-06-03,False,2024-06-04,0.05196397450751855,0.4462255986328335,0.5866666666666667
BASE20111101,1,2024-05-29,2024-09-11,held_below_ma60_gt50_3d,2024-07-16,False,2024-07-17,0.19797496532772707,0.34540935781869475,0.56
BASE20111101,1,2024-05-29,2024-09-11,account_dd_gt10_3d,2024-06-19,False,2024-06-20,0.10298890174998276,0.41472509814446246,0.68
BASE20111101,1,2024-05-29,2024-09-11,index_below_ma120_3d,2024-06-26,False,2024-06-27,0.15102363312264455,0.38161048649373197,0.68
BASE20111101,2,2013-02-08,2013-06-25,vol20_gt40_3d,2013-02-08,True,2013-02-18,0.022404887778051386,0.4594613514547682,0.9294117647058824
BASE20111101,2,2013-02-08,2013-06-25,held_below_ma60_gt50_3d,2013-03-06,False,2013-03-07,0.20461205174722186,0.3356349666277074,0.7529411764705882
BASE20111101,2,2013-02-08,2013-06-25,account_dd_gt10_3d,2013-02-25,False,2013-02-26,0.18869619608318433,0.3486682322531587,0.8941176470588236
BASE20111101,2,2013-02-08,2013-06-25,index_below_ma120_3d,2013-06-13,False,2013-06-14,0.3981712741311674,0.12196291391374003,0.10588235294117647
BASE20111101,3,2015-04-27,2016-06-13,vol20_gt40_3d,2015-04-27,True,2015-04-28,0.0447747994631309,0.4299036316665983,0.3212996389891697
BASE20111101,3,2015-04-27,2016-06-13,held_below_ma60_gt50_3d,2015-06-30,False,2015-07-01,0.06909697618401711,0.41500843392440956,0.4620938628158845
BASE20111101,3,2015-04-27,2016-06-13,account_dd_gt10_3d,2015-08-25,False,2015-08-26,0.14120596568668942,0.36588937974860114,0.6173285198555957
BASE20111101,3,2015-04-27,2016-06-13,index_below_ma120_3d,2015-07-06,False,2015-07-07,0.06949473015750784,0.41475837330959486,0.779783393501805
BASE20111101,4,2021-09-22,2021-11-16,vol20_gt40_3d,2021-09-22,True,2021-09-23,0.0024340018395180296,0.3731162317582266,1.0
BASE20111101,4,2021-09-22,2021-11-16,held_below_ma60_gt50_3d,2021-11-01,False,2021-11-02,0.336302117956201,0.0577671725108202,0.34285714285714286
BASE20111101,4,2021-09-22,2021-11-16,account_dd_gt10_3d,2021-09-28,False,2021-09-29,0.18619623635738702,0.23156175980609162,0.8857142857142857
BASE20111101,4,2021-09-22,2021-11-16,index_below_ma120_3d,2021-09-22,True,2021-09-23,0.0024340018395180296,0.3731162317582266,1.0
BASE20111101,5,2020-01-03,2020-03-23,vol20_gt40_3d,2020-02-04,False,2020-02-05,0.23455240241965303,0.13989397605796539,0.6862745098039216
BASE20111101,5,2020-01-03,2020-03-23,held_below_ma60_gt50_3d,2020-02-04,False,2020-02-05,0.23455240241965303,0.13989397605796539,0.27450980392156865
BASE20111101,5,2020-01-03,2020-03-23,account_dd_gt10_3d,2020-02-04,False,2020-02-05,0.23455240241965303,0.13989397605796539,0.2549019607843137
BASE20111101,5,2020-01-03,2020-03-23,index_below_ma120_3d,2020-02-05,False,2020-02-06,0.2216988044870627,0.15409857586442433,0.19607843137254902
BASE20111101,6,2020-07-20,2021-02-05,vol20_gt40_3d,2020-07-20,True,2020-07-21,0.07556596289240647,0.28763920959614775,0.855072463768116
BASE20111101,6,2020-07-20,2021-02-05,held_below_ma60_gt50_3d,2020-09-04,False,2020-09-07,0.2712052752196237,0.09641145996406753,0.2898550724637681
BASE20111101,6,2020-07-20,2021-02-05,account_dd_gt10_3d,2020-08-10,False,2020-08-11,0.15459116639819948,0.22105076836662596,0.8913043478260869
BASE20111101,6,2020-07-20,2021-02-05,index_below_ma120_3d,,False,,,,0.0
BASE20111101,7,2018-06-12,2019-01-03,vol20_gt40_3d,2018-06-19,False,2018-06-20,0.0835909499862304,0.2783083956669431,0.7050359712230215
BASE20111101,7,2018-06-12,2019-01-03,held_below_ma60_gt50_3d,2018-06-28,False,2018-06-29,0.107816404694559,0.2587123087559682,0.6187050359712231
BASE20111101,7,2018-06-12,2019-01-03,account_dd_gt10_3d,2018-06-28,False,2018-06-29,0.107816404694559,0.2587123087559682,0.7482014388489209
BASE20111101,7,2018-06-12,2019-01-03,index_below_ma120_3d,2018-06-12,True,2018-06-13,0.0006513693803367193,0.3382042089559082,1.0
