date,signal_day,observed_on,spread,percentile,cap,exposure,debt,cash,equity,constraint_equity,active_sells,unresolved
2015-05-05,2015-05-04,2015-04-30,0.02681063088057902,0.06666666666666667,1.0,0.049706938450950935,0.0,2850863.5968,2999983.5968,2999983.5968,0,False
2015-05-06,2015-05-05,2015-04-30,0.02681063088057902,0.06666666666666667,1.0,0.0983504898330631,0.0,2702322.25905,2997087.25905,2997087.25905,0,False
2015-05-07,2015-05-06,2015-04-30,0.02681063088057902,0.06666666666666667,1.0,0.14773262995287226,0.0,2553975.94275,2996683.94275,2996683.94275,0,False
2015-05-08,2015-05-07,2015-04-30,0.02681063088057902,0.06666666666666667,1.0,0.19914372578413833,0.0,2403939.44055,3001711.44055,3001711.44055,0,False
2015-05-11,2015-05-08,2015-04-30,0.02681063088057902,0.06666666666666667,1.0,0.2558124429883704,0.0,2254254.97707,3029148.97707,3029148.97707,0,False
2015-05-12,2015-05-11,2015-04-30,0.02681063088057902,0.06666666666666667,1.0,0.3048468202887002,0.0,2104818.54087,3027848.54087,3027848.54087,0,False
2015-05-13,2015-05-12,2015-04-30,0.02681063088057902,0.06666666666666667,1.0,0.34890646266188113,0.0,1956689.2484400002,3005235.24844,3005235.24844,0,False
2015-05-14,2015-05-13,2015-04-30,0.02681063088057902,0.06666666666666667,1.0,0.39564630187723066,0.0,1808128.9086000002,2991838.9086,2991838.9086,0,False
2015-05-15,2015-05-14,2015-04-30,0.02681063088057902,0.06666666666666667,1.0,0.4449504387974937,0.0,1659760.58988,2990292.58988,2990292.58988,0,False
2015-05-18,2015-05-15,2015-04-30,0.02681063088057902,0.06666666666666667,1.0,0.493377808638219,0.0,1512032.34156,2984536.34156,2984536.34156,0,False
2015-05-19,2015-05-18,2015-04-30,0.02681063088057902,0.06666666666666667,1.0,0.548418258356797,0.0,1361295.76236,3014505.76236,3014505.76236,0,False
2015-05-20,2015-05-19,2015-04-30,0.02681063088057902,0.06666666666666667,1.0,0.5971543004102378,0.0,1211263.2606000002,3006767.2606,3006767.2606,0,False
2015-05-21,2015-05-20,2015-04-30,0.02681063088057902,0.06666666666666667,1.0,0.6072629192502458,0.0,1189892.0469400003,3029742.04694,3029742.04694,0,False
2015-05-22,2015-05-21,2015-04-30,0.02681063088057902,0.06666666666666667,1.0,0.6660336045899004,0.0,1028907.0730100003,3080870.0730100004,3080870.0730100004,0,False
2015-05-25,2015-05-22,2015-04-30,0.02681063088057902,0.06666666666666667,1.0,0.6711510978278856,0.0,1028907.0730100003,3128814.0730100004,3128814.0730100004,0,False
2015-05-26,2015-05-25,2015-04-30,0.02681063088057902,0.06666666666666667,1.0,0.6761050492316227,0.0,1028907.0730100003,3176669.07301,3176669.07301,0,False
2015-05-27,2015-05-26,2015-04-30,0.02681063088057902,0.06666666666666667,1.0,0.6817950699517644,0.0,1028907.0730100003,3233473.0730100004,3233473.0730100004,0,False
2015-05-28,2015-05-27,2015-04-30,0.02681063088057902,0.06666666666666667,1.0,0.6708768648458914,0.0,1028907.0730100003,3126207.07301,3126207.07301,0,False
2015-05-29,2015-05-28,2015-04-30,0.02681063088057902,0.06666666666666667,1.0,0.7243721297998923,0.0,871809.7942100003,3162995.7942100004,3162995.7942100004,0,False
2015-06-01,2015-05-29,2015-05-29,0.025245510403916767,0.0,1.0,0.7813052899951815,0.0,710742.0787100003,3249928.0787100005,3249928.0787100005,0,False
2015-06-02,2015-06-01,2015-05-29,0.025245510403916767,0.0,1.0,0.7826712149192254,0.0,710742.0787100003,3270354.07871,3270354.07871,0,False
2015-06-03,2015-06-02,2015-05-29,0.025245510403916767,0.0,1.0,0.780628530911345,0.0,710742.0787100003,3239902.07871,3239902.07871,0,False
2015-06-04,2015-06-03,2015-05-29,0.025245510403916767,0.0,1.0,0.8262650439243778,0.0,554071.8468800003,3189178.84688,3189178.84688,0,False
2015-06-05,2015-06-04,2015-05-29,0.025245510403916767,0.0,1.0,0.8913582180922661,0.0,361285.5942500003,3325475.59425,3325475.59425,0,False
2015-06-08,2015-06-05,2015-05-29,0.025245510403916767,0.0,1.0,0.9414192510371969,0.0,196267.44425000032,3350374.44425,3350374.44425,0,False
2015-06-09,2015-06-08,2015-05-29,0.025245510403916767,0.0,1.0,0.9912926152787033,0.0,29433.09449000031,3380245.0944900005,3380245.0944900005,0,False
2015-06-10,2015-06-09,2015-05-29,0.025245510403916767,0.0,1.0,0.9990443443508538,0.0,3211.8323300003067,3360867.83233,3360867.83233,0,False
2015-06-11,2015-06-10,2015-05-29,0.025245510403916767,0.0,1.0,0.999041691719934,0.0,3211.8323300003067,3351564.83233,3351564.83233,0,False
2015-06-12,2015-06-11,2015-05-29,0.025245510403916767,0.0,1.0,0.999055038218683,0.0,3211.8323300003067,3398901.83233,3398901.83233,0,False
2015-06-15,2015-06-12,2015-05-29,0.025245510403916767,0.0,1.0,0.9990766223531078,0.0,3211.8323300003067,3478351.83233,3478351.83233,0,False
2015-06-16,2015-06-15,2015-05-29,0.025245510403916767,0.0,1.0,0.9990238306270955,0.0,3211.8323300003067,3290240.8323300006,3290240.8323300006,0,False
2015-06-17,2015-06-16,2015-05-29,0.025245510403916767,0.0,1.0,0.9990290236423901,0.0,3211.8323300003067,3307837.83233,3307837.83233,0,False
2015-06-18,2015-06-17,2015-05-29,0.025245510403916767,0.0,1.0,0.9989801265125041,0.0,3211.8323300003067,3149245.83233,3149245.83233,0,False
2015-06-19,2015-06-18,2015-05-29,0.025245510403916767,0.0,1.0,0.9997908669744131,0.0,617.906300000308,2954608.9063000004,2954608.9063000004,0,False
2015-06-23,2015-06-19,2015-05-29,0.025245510403916767,0.0,1.0,0.9999216242228657,0.0,237.483110000308,3030057.4831100004,3030057.4831100004,0,False
2015-06-24,2015-06-23,2015-05-29,0.025245510403916767,0.0,1.0,0.9999224655706132,0.0,237.483110000308,3062937.4831100004,3062937.4831100004,0,False
2015-06-25,2015-06-24,2015-05-29,0.025245510403916767,0.0,1.0,0.9999186439077083,0.0,237.483110000308,2919057.4831100004,2919057.4831100004,0,False
2015-06-26,2015-06-25,2015-05-29,0.025245510403916767,0.0,1.0,0.0,0.0,2655920.39655,2655920.39655,2655920.39655,0,False
2015-06-29,2015-06-26,2015-05-29,0.025245510403916767,0.0,1.0,0.0,0.0,2655920.39655,2655920.39655,2655920.39655,0,False
2015-06-30,2015-06-29,2015-05-29,0.025245510403916767,0.0,1.0,0.0,0.0,2655920.39655,2655920.39655,2655920.39655,0,False
2015-07-01,2015-06-30,2015-06-30,0.026097246430788333,0.05,1.0,0.0,0.0,2655920.39655,2655920.39655,2655920.39655,0,False
2015-07-02,2015-07-01,2015-06-30,0.026097246430788333,0.05,1.0,0.0,0.0,2655920.39655,2655920.39655,2655920.39655,0,False
2015-07-03,2015-07-02,2015-06-30,0.026097246430788333,0.05,1.0,0.0,0.0,2655920.39655,2655920.39655,2655920.39655,0,False
2015-07-06,2015-07-03,2015-06-30,0.026097246430788333,0.05,1.0,0.0,0.0,2655920.39655,2655920.39655,2655920.39655,0,False
2015-07-07,2015-07-06,2015-06-30,0.026097246430788333,0.05,1.0,0.0,0.0,2655920.39655,2655920.39655,2655920.39655,0,False
2015-07-08,2015-07-07,2015-06-30,0.026097246430788333,0.05,1.0,0.0,0.0,2655920.39655,2655920.39655,2655920.39655,0,False
2015-07-09,2015-07-08,2015-06-30,0.026097246430788333,0.05,1.0,0.0,0.0,2655920.39655,2655920.39655,2655920.39655,0,False
2015-07-10,2015-07-09,2015-06-30,0.026097246430788333,0.05,1.0,0.0,0.0,2655920.39655,2655920.39655,2655920.39655,0,False
2015-07-13,2015-07-10,2015-06-30,0.026097246430788333,0.05,1.0,0.0,0.0,2655920.39655,2655920.39655,2655920.39655,0,False
2015-07-14,2015-07-13,2015-06-30,0.026097246430788333,0.05,1.0,0.0,0.0,2655920.39655,2655920.39655,2655920.39655,0,False
