date,signal_day,observed_on,spread,percentile,cap,exposure,debt,cash,equity,constraint_equity,active_sells,unresolved
2011-11-02,2011-11-01,2011-10-31,0.05151955971479501,0.9666666666666667,,0.0,0.0,3000000.0,3000000.0,3000000.0,0,False
2011-11-03,2011-11-02,2011-10-31,0.05151955971479501,0.9666666666666667,,0.0,0.0,3000000.0,3000000.0,3000000.0,0,False
2011-11-04,2011-11-03,2011-10-31,0.05151955971479501,0.9666666666666667,,0.0,0.0,3000000.0,3000000.0,3000000.0,0,False
2011-11-07,2011-11-04,2011-10-31,0.05151955971479501,0.9666666666666667,,0.049509622875615805,0.0,2851032.09733302,2999538.09733302,2999538.09733302,0,False
2011-11-08,2011-11-07,2011-10-31,0.05151955971479501,0.9666666666666667,,0.09889394610171193,0.0,2701624.8323415,2998120.8323415,2998120.8323415,0,False
2011-11-09,2011-11-08,2011-10-31,0.05151955971479501,0.9666666666666667,,0.14956852495670545,0.0,2552018.9515046403,3000851.9515046403,3000851.9515046403,0,False
2011-11-10,2011-11-09,2011-10-31,0.05151955971479501,0.9666666666666667,,0.24827819647806268,0.0,2254152.3607834503,2998652.3607834503,2998652.3607834503,0,False
2011-11-11,2011-11-10,2011-10-31,0.05151955971479501,0.9666666666666667,,0.3475861599447395,0.0,1955840.3890757405,2997852.3890757402,2997852.3890757402,0,False
2011-11-14,2011-11-11,2011-10-31,0.05151955971479501,0.9666666666666667,,0.45162501188858833,0.0,1656248.4485869505,3020284.4485869505,3020284.4485869505,0,False
2011-11-15,2011-11-14,2011-10-31,0.05151955971479501,0.9666666666666667,,0.551978868823231,0.0,1355062.5657837905,3024550.5657837903,3024550.5657837903,0,False
2011-11-16,2011-11-15,2011-10-31,0.05151955971479501,0.9666666666666667,,0.6434665733436096,0.0,1058468.9220713708,2968778.9220713708,2968778.9220713708,0,False
2011-11-17,2011-11-16,2011-10-31,0.05151955971479501,0.9666666666666667,,0.7436457242573614,0.0,761554.2830533508,2970710.2830533506,2970710.2830533506,0,False
2011-11-18,2011-11-17,2011-10-31,0.05151955971479501,0.9666666666666667,,0.3457524682672259,0.0,1904757.8407991407,2911371.8407991407,2911371.8407991407,0,False
2011-11-21,2011-11-18,2011-10-31,0.05151955971479501,0.9666666666666667,,0.39211027131555787,0.0,1760099.3001098407,2895425.300109841,2895425.300109841,0,False
2011-11-22,2011-11-21,2011-10-31,0.05151955971479501,0.9666666666666667,,0.0,0.0,2884425.848298181,2884425.848298181,2884425.848298181,0,False
2011-11-23,2011-11-22,2011-10-31,0.05151955971479501,0.9666666666666667,,0.0,0.0,2884425.848298181,2884425.848298181,2884425.848298181,0,False
2011-11-24,2011-11-23,2011-10-31,0.05151955971479501,0.9666666666666667,,0.0,0.0,2884425.848298181,2884425.848298181,2884425.848298181,0,False
2011-11-25,2011-11-24,2011-10-31,0.05151955971479501,0.9666666666666667,,0.0,0.0,2884425.848298181,2884425.848298181,2884425.848298181,0,False
2011-11-28,2011-11-25,2011-10-31,0.05151955971479501,0.9666666666666667,,0.0,0.0,2884425.848298181,2884425.848298181,2884425.848298181,0,False
2011-11-29,2011-11-28,2011-10-31,0.05151955971479501,0.9666666666666667,,0.0,0.0,2884425.848298181,2884425.848298181,2884425.848298181,0,False
2011-11-30,2011-11-29,2011-10-31,0.05151955971479501,0.9666666666666667,,0.0,0.0,2884425.848298181,2884425.848298181,2884425.848298181,0,False
2011-12-01,2011-11-30,2011-11-30,0.05789396240601503,1.0,,0.0,0.0,2884425.848298181,2884425.848298181,2884425.848298181,0,False
2011-12-02,2011-12-01,2011-11-30,0.05789396240601503,1.0,,0.0,0.0,2884425.848298181,2884425.848298181,2884425.848298181,0,False
2011-12-05,2011-12-02,2011-11-30,0.05789396240601503,1.0,,0.0,0.0,2884425.848298181,2884425.848298181,2884425.848298181,0,False
2011-12-06,2011-12-05,2011-11-30,0.05789396240601503,1.0,,0.0,0.0,2884425.848298181,2884425.848298181,2884425.848298181,0,False
2011-12-07,2011-12-06,2011-11-30,0.05789396240601503,1.0,,0.0,0.0,2884425.848298181,2884425.848298181,2884425.848298181,0,False
2011-12-08,2011-12-07,2011-11-30,0.05789396240601503,1.0,,0.0,0.0,2884425.848298181,2884425.848298181,2884425.848298181,0,False
2011-12-09,2011-12-08,2011-11-30,0.05789396240601503,1.0,,0.0,0.0,2884425.848298181,2884425.848298181,2884425.848298181,0,False
2011-12-12,2011-12-09,2011-11-30,0.05789396240601503,1.0,,0.0,0.0,2884425.848298181,2884425.848298181,2884425.848298181,0,False
2011-12-13,2011-12-12,2011-11-30,0.05789396240601503,1.0,,0.0,0.0,2884425.848298181,2884425.848298181,2884425.848298181,0,False
2011-12-14,2011-12-13,2011-11-30,0.05789396240601503,1.0,,0.0,0.0,2884425.848298181,2884425.848298181,2884425.848298181,0,False
2011-12-15,2011-12-14,2011-11-30,0.05789396240601503,1.0,,0.0,0.0,2884425.848298181,2884425.848298181,2884425.848298181,0,False
2011-12-16,2011-12-15,2011-11-30,0.05789396240601503,1.0,,0.0,0.0,2884425.848298181,2884425.848298181,2884425.848298181,0,False
2011-12-19,2011-12-16,2011-11-30,0.05789396240601503,1.0,,0.0,0.0,2884425.848298181,2884425.848298181,2884425.848298181,0,False
2011-12-20,2011-12-19,2011-11-30,0.05789396240601503,1.0,,0.0,0.0,2884425.848298181,2884425.848298181,2884425.848298181,0,False
2011-12-21,2011-12-20,2011-11-30,0.05789396240601503,1.0,,0.0,0.0,2884425.848298181,2884425.848298181,2884425.848298181,0,False
2011-12-22,2011-12-21,2011-11-30,0.05789396240601503,1.0,,0.0,0.0,2884425.848298181,2884425.848298181,2884425.848298181,0,False
2011-12-23,2011-12-22,2011-11-30,0.05789396240601503,1.0,,0.0,0.0,2884425.848298181,2884425.848298181,2884425.848298181,0,False
