date,signal_day,observed_on,spread,percentile,cap,exposure,debt,cash,equity,constraint_equity,active_sells,unresolved
2011-11-02,2011-11-01,2011-10-31,0.05151955971479501,0.9666666666666667,,0.0,0.0,3000000.0,3000000.0,3000000.0,0,False
2011-11-03,2011-11-02,2011-10-31,0.05151955971479501,0.9666666666666667,,0.0,0.0,3000000.0,3000000.0,3000000.0,0,False
2011-11-04,2011-11-03,2011-10-31,0.05151955971479501,0.9666666666666667,,0.0,0.0,3000000.0,3000000.0,3000000.0,0,False
2011-11-07,2011-11-04,2011-10-31,0.05151955971479501,0.9666666666666667,,0.049509622875615805,0.0,2851032.09733302,2999538.09733302,2999538.09733302,0,False
2011-11-08,2011-11-07,2011-10-31,0.05151955971479501,0.9666666666666667,,0.09889394610171193,0.0,2701624.8323415,2998120.8323415,2998120.8323415,0,False
2011-11-09,2011-11-08,2011-10-31,0.05151955971479501,0.9666666666666667,,0.14956852495670545,0.0,2552018.9515046403,3000851.9515046403,3000851.9515046403,0,False
2011-11-10,2011-11-09,2011-10-31,0.05151955971479501,0.9666666666666667,,0.19881709111031864,0.0,2402838.3894477,2999113.3894477,2999113.3894477,0,False
2011-11-11,2011-11-10,2011-10-31,0.05151955971479501,0.9666666666666667,,0.24830081554742126,0.0,2253764.15708574,2998226.15708574,2998226.15708574,0,False
2011-11-14,2011-11-11,2011-10-31,0.05151955971479501,0.9666666666666667,,0.30078243282859835,0.0,2103884.42712879,3008912.42712879,3008912.42712879,0,False
2011-11-15,2011-11-14,2011-10-31,0.05151955971479501,0.9666666666666667,,0.3506662561476627,0.0,1953899.37058719,3009083.3705871897,3009083.3705871897,0,False
2011-11-16,2011-11-15,2011-10-31,0.05151955971479501,0.9666666666666667,,0.39322315070762626,0.0,1805780.09925939,2976020.09925939,2976020.09925939,0,False
2011-11-17,2011-11-16,2011-10-31,0.05151955971479501,0.9666666666666667,,0.443686310925026,0.0,1657231.49671035,2978951.49671035,2978951.49671035,0,False
2011-11-18,2011-11-17,2011-10-31,0.05151955971479501,0.9666666666666667,,0.0,0.0,2944684.3261308,2944684.3261308,2944684.3261308,0,False
2011-11-21,2011-11-18,2011-10-31,0.05151955971479501,0.9666666666666667,,0.0,0.0,2944684.3261308,2944684.3261308,2944684.3261308,0,False
2011-11-22,2011-11-21,2011-10-31,0.05151955971479501,0.9666666666666667,,0.0,0.0,2944684.3261308,2944684.3261308,2944684.3261308,0,False
2011-11-23,2011-11-22,2011-10-31,0.05151955971479501,0.9666666666666667,,0.0,0.0,2944684.3261308,2944684.3261308,2944684.3261308,0,False
2011-11-24,2011-11-23,2011-10-31,0.05151955971479501,0.9666666666666667,,0.0,0.0,2944684.3261308,2944684.3261308,2944684.3261308,0,False
2011-11-25,2011-11-24,2011-10-31,0.05151955971479501,0.9666666666666667,,0.0,0.0,2944684.3261308,2944684.3261308,2944684.3261308,0,False
2011-11-28,2011-11-25,2011-10-31,0.05151955971479501,0.9666666666666667,,0.0,0.0,2944684.3261308,2944684.3261308,2944684.3261308,0,False
2011-11-29,2011-11-28,2011-10-31,0.05151955971479501,0.9666666666666667,,0.0,0.0,2944684.3261308,2944684.3261308,2944684.3261308,0,False
2011-11-30,2011-11-29,2011-10-31,0.05151955971479501,0.9666666666666667,,0.0,0.0,2944684.3261308,2944684.3261308,2944684.3261308,0,False
2011-12-01,2011-11-30,2011-11-30,0.05789396240601503,1.0,,0.0,0.0,2944684.3261308,2944684.3261308,2944684.3261308,0,False
2011-12-02,2011-12-01,2011-11-30,0.05789396240601503,1.0,,0.0,0.0,2944684.3261308,2944684.3261308,2944684.3261308,0,False
2011-12-05,2011-12-02,2011-11-30,0.05789396240601503,1.0,,0.0,0.0,2944684.3261308,2944684.3261308,2944684.3261308,0,False
2011-12-06,2011-12-05,2011-11-30,0.05789396240601503,1.0,,0.0,0.0,2944684.3261308,2944684.3261308,2944684.3261308,0,False
2011-12-07,2011-12-06,2011-11-30,0.05789396240601503,1.0,,0.0,0.0,2944684.3261308,2944684.3261308,2944684.3261308,0,False
2011-12-08,2011-12-07,2011-11-30,0.05789396240601503,1.0,,0.0,0.0,2944684.3261308,2944684.3261308,2944684.3261308,0,False
2011-12-09,2011-12-08,2011-11-30,0.05789396240601503,1.0,,0.0,0.0,2944684.3261308,2944684.3261308,2944684.3261308,0,False
2011-12-12,2011-12-09,2011-11-30,0.05789396240601503,1.0,,0.0,0.0,2944684.3261308,2944684.3261308,2944684.3261308,0,False
2011-12-13,2011-12-12,2011-11-30,0.05789396240601503,1.0,,0.0,0.0,2944684.3261308,2944684.3261308,2944684.3261308,0,False
2011-12-14,2011-12-13,2011-11-30,0.05789396240601503,1.0,,0.0,0.0,2944684.3261308,2944684.3261308,2944684.3261308,0,False
2011-12-15,2011-12-14,2011-11-30,0.05789396240601503,1.0,,0.0,0.0,2944684.3261308,2944684.3261308,2944684.3261308,0,False
2011-12-16,2011-12-15,2011-11-30,0.05789396240601503,1.0,,0.0,0.0,2944684.3261308,2944684.3261308,2944684.3261308,0,False
2011-12-19,2011-12-16,2011-11-30,0.05789396240601503,1.0,,0.0,0.0,2944684.3261308,2944684.3261308,2944684.3261308,0,False
2011-12-20,2011-12-19,2011-11-30,0.05789396240601503,1.0,,0.0,0.0,2944684.3261308,2944684.3261308,2944684.3261308,0,False
2011-12-21,2011-12-20,2011-11-30,0.05789396240601503,1.0,,0.0,0.0,2944684.3261308,2944684.3261308,2944684.3261308,0,False
2011-12-22,2011-12-21,2011-11-30,0.05789396240601503,1.0,,0.0,0.0,2944684.3261308,2944684.3261308,2944684.3261308,0,False
2011-12-23,2011-12-22,2011-11-30,0.05789396240601503,1.0,,0.0,0.0,2944684.3261308,2944684.3261308,2944684.3261308,0,False
