group,arm,start,end,cagr,cagr_delta_pp,mdd,mdd_delta_pp
full,BASE,2009-11-01,2026-08-28,0.3171902906642554,0.0,0.6752545571565589,0.0
full,BASE,2011-11-01,2026-08-28,0.3323652934000796,0.0,0.71431234384065,0.0
full,EBDQ20,2009-11-01,2026-08-28,0.329699038060542,1.2508747396286601,0.5767052689393319,-9.854928821722698
full,EBDQ20,2011-11-01,2026-08-28,0.3263891188337611,-0.5976174566318493,0.58455664884691,-12.975569499373997
full,EBDQ30,2009-11-01,2026-08-28,0.3153954803865533,-0.1794810277702119,0.5533779233269451,-12.187663382961379
full,EBDQ30,2011-11-01,2026-08-28,0.31996106759053,-1.2404225809549585,0.572691818339796,-14.162052550085402
full,EBDQ40,2009-11-01,2026-08-28,0.27350409793923736,-4.368619272501806,0.538104088160342,-13.715046899621687
full,EBDQ40,2011-11-01,2026-08-28,0.26753476909481955,-6.483052430526004,0.5370276247335303,-17.728471910711974
full,EBDS02,2009-11-01,2026-08-28,0.3171902906642554,0.0,0.6752545571565589,0.0
full,EBDS02,2011-11-01,2026-08-28,0.3323652934000796,0.0,0.71431234384065,0.0
full,EBDS03,2009-11-01,2026-08-28,0.4108717880712409,9.36814974069855,0.5125060747698482,-16.27484823867107
full,EBDS03,2011-11-01,2026-08-28,0.35960541298762627,2.7240119587546685,0.5990004276192137,-11.531191622143632
full,EBDS04,2009-11-01,2026-08-28,0.29938825131154556,-1.7802039352709853,0.5550645614010611,-12.018999575549783
full,EBDS04,2011-11-01,2026-08-28,0.3283889832779132,-0.3976310122166371,0.58455664884691,-12.975569499373997
full,EBDC30,2009-11-01,2026-08-28,0.2513688513062615,-6.582143935799389,0.5480897974264285,-12.716475973013042
full,EBDC30,2011-11-01,2026-08-28,0.2818548060565238,-5.051048734355579,0.5963826767828942,-11.792966705775576
A,BASE,2009-11-01,2026-08-28,0.32484186578832164,0.0,0.7283832305792164,0.0
A,BASE,2011-11-01,2026-08-28,0.4343883464327476,0.0,0.6522482767560946,0.0
A,EBDQ20,2009-11-01,2026-08-28,0.28515768059227664,-3.9684185196044997,0.7283832305792164,0.0
A,EBDQ20,2011-11-01,2026-08-28,0.37081472467094545,-6.357362176180215,0.5512038694633826,-10.104440729271202
A,EBDQ30,2009-11-01,2026-08-28,0.2873988099686344,-3.744305581968721,0.7283832305792164,0.0
A,EBDQ30,2011-11-01,2026-08-28,0.34997222906069947,-8.441611737204813,0.5628288041972518,-8.941947255884287
A,EBDQ40,2009-11-01,2026-08-28,0.2445295146874269,-8.031235110089474,0.7283832305792164,0.0
A,EBDQ40,2011-11-01,2026-08-28,0.3432666633125727,-9.112168312017488,0.5305603697225668,-12.168790703352784
A,EBDS02,2009-11-01,2026-08-28,0.32484186578832164,0.0,0.7283832305792164,0.0
A,EBDS02,2011-11-01,2026-08-28,0.4343883464327476,0.0,0.6522482767560946,0.0
A,EBDS03,2009-11-01,2026-08-28,0.3734443581179159,4.860249232959424,0.618609215193848,-10.977401538536835
A,EBDS03,2011-11-01,2026-08-28,0.42814389985797097,-0.624444657477663,0.5446525280364192,-10.759574871967548
A,EBDS04,2009-11-01,2026-08-28,0.3143295203694709,-1.051234541885071,0.5700859224581403,-15.829730812107613
A,EBDS04,2011-11-01,2026-08-28,0.3959641267046883,-3.8424219728059317,0.5512038694633826,-10.104440729271202
A,EBDC30,2009-11-01,2026-08-28,0.22424760409481603,-10.05942616935056,0.7283832305792164,0.0
A,EBDC30,2011-11-01,2026-08-28,0.32637591243677555,-10.801243399597205,0.5109492271448124,-14.129904961128226
U1,BASE,2009-11-01,2026-08-28,0.297016684127815,0.0,0.7283832305792164,0.0
U1,BASE,2011-11-01,2026-08-28,0.39675730587595437,0.0,0.6522482767560946,0.0
U1,EBDQ20,2009-11-01,2026-08-28,0.25462183430644236,-4.239484982137265,0.7283832305792164,0.0
U1,EBDQ20,2011-11-01,2026-08-28,0.33210342195747566,-6.4653883918478705,0.5512038694633826,-10.104440729271202
U1,EBDQ30,2009-11-01,2026-08-28,0.27301119584982714,-2.4005488277987874,0.7283832305792164,0.0
U1,EBDQ30,2011-11-01,2026-08-28,0.3282268479828858,-6.853045789306855,0.5628288041972518,-8.941947255884287
U1,EBDS04,2009-11-01,2026-08-28,0.28112156169816505,-1.5895122429649966,0.5700859224581403,-15.829730812107613
U1,EBDS04,2011-11-01,2026-08-28,0.35956646422038463,-3.719084165556974,0.5512038694633826,-10.104440729271202
U2,BASE,2009-11-01,2026-08-28,0.32484186578832164,0.0,0.7283832305792164,0.0
U2,BASE,2011-11-01,2026-08-28,0.4343883464327476,0.0,0.6522482767560946,0.0
U2,EBDQ40,2009-11-01,2026-08-28,0.2445295146874269,-8.031235110089474,0.7283832305792164,0.0
U2,EBDQ40,2011-11-01,2026-08-28,0.3432666633125727,-9.112168312017488,0.5305603697225668,-12.168790703352784
U2,EBDS02,2009-11-01,2026-08-28,0.32484186578832164,0.0,0.7283832305792164,0.0
U2,EBDS02,2011-11-01,2026-08-28,0.4343883464327476,0.0,0.6522482767560946,0.0
U2,EBDS03,2009-11-01,2026-08-28,0.3734443581179159,4.860249232959424,0.618609215193848,-10.977401538536835
U2,EBDS03,2011-11-01,2026-08-28,0.42814389985797097,-0.624444657477663,0.5446525280364192,-10.759574871967548
U2,EBDC30,2009-11-01,2026-08-28,0.22424760409481603,-10.05942616935056,0.7283832305792164,0.0
U2,EBDC30,2011-11-01,2026-08-28,0.32637591243677555,-10.801243399597205,0.5109492271448124,-14.129904961128226
