group,tag,days,covered_days,active_constraint_days,active_sale_days,active_sale_count,below100_days,at100_days,unresolved_days,min_cash,new_active_cash_deficit_days,inherited_active_cash_deficit_days
U1,_EBFIX16020091101ex5,4088,4088,4088,1139,8225,0,0,0,0.0,0,0
U1,_EBFIX16020100501ex5,3965,3965,3965,1135,8072,0,0,0,0.0,0,0
U1,_EBFIX16020101101ex5,3847,3847,3847,1102,8280,0,0,0,-3.637978807091713e-12,0,0
U1,_EBFIX16020110501ex5,3725,3725,3725,1101,8185,0,0,0,-1.1641532182693481e-10,0,0
U1,_EBFIX16020111101ex5,3602,3602,3602,1100,8240,0,0,0,-5.820766091346741e-11,0,0
U1,_EBFIX16020120501ex5,3483,3483,3483,1087,8400,0,0,0,0.0,0,0
U1,_EBFIX16020121101ex5,3358,3358,3358,1079,8541,0,0,0,-5.684341886080802e-14,0,0
U1,_EBFIX16020130501ex5,3241,3241,3241,1009,7599,0,0,0,0.0,0,0
U1,_EBFIX16020131101ex5,3120,3120,3120,983,7522,0,0,0,-1.8189894035458565e-12,0,0
U1,_EBFIX16020140501ex5,2998,2998,2998,948,7495,0,0,0,0.0,0,0
U1,_EBFIX16020141101ex5,2875,2875,2875,915,7165,0,0,0,-2.9103830456733704e-11,0,0
U1,_EBFIX16020150501ex5,2754,2754,2754,825,5890,0,0,0,0.0,0,0
U1,_EBFIX16020151101ex5,2632,2632,2632,832,5878,0,0,0,0.0,0,0
U1,_EBFIX16020160501ex5,2509,2509,2509,776,6048,0,0,0,0.0,0,0
U1,_EBQ3020091101ex5,4088,4088,4088,936,6384,0,917,0,-2.9103830456733704e-11,0,0
U1,_EBQ3020100501ex5,3965,3965,3965,898,6267,0,917,0,0.0,0,0
U1,_EBQ3020101101ex5,3847,3847,3847,877,6265,0,917,0,-5.820766091346741e-11,0,0
U1,_EBQ3020110501ex5,3725,3725,3725,901,6448,0,917,0,0.0,0,0
U1,_EBQ3020111101ex5,3602,3602,3602,873,6371,0,917,0,0.0,0,0
U1,_EBQ3020120501ex5,3483,3483,3483,896,6530,0,917,0,0.0,0,0
U1,_EBQ3020121101ex5,3358,3358,3358,858,6545,0,917,0,-5.684341886080802e-14,0,0
U1,_EBQ3020130501ex5,3241,3241,3241,792,5952,0,917,0,0.0,0,0
U1,_EBQ3020131101ex5,3120,3120,3120,761,5739,0,917,0,-1.8189894035458565e-12,0,0
U1,_EBQ3020140501ex5,2998,2998,2998,703,5680,0,917,0,-1.1641532182693481e-10,0,0
U1,_EBQ3020141101ex5,2875,2875,2875,670,5049,0,917,0,0.0,0,0
U1,_EBQ3020150501ex5,2754,2754,2754,617,4404,0,895,0,0.0,0,0
U1,_EBQ3020151101ex5,2632,2632,2632,618,4604,0,811,0,0.0,0,0
U1,_EBQ3020160501ex5,2509,2509,2509,592,4439,0,791,0,0.0,0,0
U1,_EBS0220091101ex5,4088,4088,4088,1139,8225,0,122,0,0.0,0,0
U1,_EBS0220100501ex5,3965,3965,3965,1135,8072,0,0,0,0.0,0,0
U1,_EBS0220101101ex5,3847,3847,3847,1102,8280,0,0,0,-3.637978807091713e-12,0,0
U1,_EBS0220110501ex5,3725,3725,3725,1101,8185,0,0,0,-1.1641532182693481e-10,0,0
U1,_EBS0220111101ex5,3602,3602,3602,1100,8240,0,0,0,-5.820766091346741e-11,0,0
U1,_EBS0220120501ex5,3483,3483,3483,1087,8400,0,0,0,0.0,0,0
U1,_EBS0220121101ex5,3358,3358,3358,1079,8541,0,0,0,-5.684341886080802e-14,0,0
U1,_EBS0220130501ex5,3241,3241,3241,1009,7599,0,0,0,0.0,0,0
U1,_EBS0220131101ex5,3120,3120,3120,983,7522,0,0,0,-1.8189894035458565e-12,0,0
U1,_EBS0220140501ex5,2998,2998,2998,948,7495,0,0,0,0.0,0,0
U1,_EBS0220141101ex5,2875,2875,2875,915,7165,0,0,0,-2.9103830456733704e-11,0,0
U1,_EBS0220150501ex5,2754,2754,2754,825,5890,0,0,0,0.0,0,0
U1,_EBS0220151101ex5,2632,2632,2632,832,5878,0,0,0,0.0,0,0
U1,_EBS0220160501ex5,2509,2509,2509,776,6048,0,0,0,0.0,0,0
U1,_EBS0320091101ex5,4088,4088,4088,1100,8196,0,365,0,0.0,0,0
U1,_EBS0320100501ex5,3965,3965,3965,1118,8332,0,242,0,-5.684341886080802e-14,0,0
U1,_EBS0320101101ex5,3847,3847,3847,1086,8111,0,200,0,-3.637978807091713e-12,0,0
U1,_EBS0320110501ex5,3725,3725,3725,1119,8399,0,79,0,0.0,0,0
U1,_EBS0320111101ex5,3602,3602,3602,1081,8338,0,79,0,-5.820766091346741e-11,0,0
U1,_EBS0320120501ex5,3483,3483,3483,1101,8167,0,79,0,-1.1641532182693481e-10,0,0
U1,_EBS0320121101ex5,3358,3358,3358,1067,8705,0,79,0,-5.684341886080802e-14,0,0
U1,_EBS0320130501ex5,3241,3241,3241,1034,7715,0,79,0,0.0,0,0
U1,_EBS0320131101ex5,3120,3120,3120,968,7291,0,79,0,-1.8189894035458565e-12,0,0
U1,_EBS0320140501ex5,2998,2998,2998,937,7361,0,79,0,0.0,0,0
U1,_EBS0320141101ex5,2875,2875,2875,897,6989,0,79,0,0.0,0,0
U1,_EBS0320150501ex5,2754,2754,2754,825,5890,0,78,0,0.0,0,0
U1,_EBS0320151101ex5,2632,2632,2632,832,5878,0,15,0,0.0,0,0
U1,_EBS0320160501ex5,2509,2509,2509,776,6048,0,15,0,0.0,0,0
U2,_EBFIX10020091101ex5,4088,4088,4088,1,5,0,4088,0,0.37282799897357677,0,0
U2,_EBFIX10020100501ex5,3965,3965,3965,1,5,0,3965,0,1.2095406921035874,0,0
U2,_EBFIX10020101101ex5,3847,3847,3847,1,4,0,3847,0,0.4392139991475119,0,0
U2,_EBFIX10020110501ex5,3725,3725,3725,1,5,0,3725,0,0.3206379996107671,0,0
U2,_EBFIX10020111101ex5,3602,3602,3602,1,4,0,3602,0,0.03222388997903636,0,0
U2,_EBFIX10020120501ex5,3483,3483,3483,1,4,0,3483,0,0.07655400021013747,0,0
U2,_EBFIX10020121101ex5,3358,3358,3358,1,5,0,3358,0,0.7717706324582423,0,0
U2,_EBFIX10020130501ex5,3241,3241,3241,1,5,0,3241,0,0.25070501010054613,0,0
U2,_EBFIX10020131101ex5,3120,3120,3120,1,5,0,3120,0,1.0161711945571028,0,0
