group,arm,worst_roll5,worst_roll5_start,worst_roll5_window_end,worst_mdd,worst_mdd_start,worst_mdd_from,worst_mdd_to,lowest_margin_ratio,lowest_margin_ratio_start,lowest_margin_ratio_date,lowest_equity_buffer,lowest_equity_buffer_start,lowest_equity_buffer_date,forced_liquidations,forced_liquidation_starts,negative_window_starts,rf_coverage_min,end
full,BASE,-0.05122065202256021,2010-11-01,2016-06-30,0.8022777419174354,2014-11-01,2015-06-09,2016-05-30,1.6768905462316908,2013-05-01,2015-08-25,0.2247556032077581,2013-05-01,2015-08-25,0.0,0,4,0.9845890410958904,2026-08-28
full,EBFIX160,-0.10277363073476597,2010-05-01,2016-03-31,0.753217803141327,2014-11-01,2015-06-09,2016-05-18,2.399697913149236,2014-11-01,2015-01-19,0.45826514542659696,2014-11-01,2015-01-19,0.0,0,5,0.9845890410958904,2026-08-28
full,EBFIX100,-0.001729892120054477,2010-11-01,2016-02-29,0.5426885934283077,2014-05-01,2015-06-09,2016-02-03,34.59290235937103,2010-05-01,2019-12-26,0.9624200367319616,2010-05-01,2019-12-26,0.0,0,1,0.9845890410958904,2026-08-28
full,EBQ20,-0.08114828354386083,2010-05-01,2016-03-31,0.657239798122655,2014-11-01,2015-06-09,2016-05-18,2.399697913149236,2014-11-01,2015-01-19,0.45826514542659696,2014-11-01,2015-01-19,0.0,0,4,0.9845890410958904,2026-08-28
full,EBQ30,-0.06796211214875991,2010-05-01,2016-03-31,0.6439314734383496,2014-11-01,2015-06-09,2016-05-30,2.399697913149236,2014-11-01,2015-01-19,0.45826514542659696,2014-11-01,2015-01-19,0.0,0,4,0.9845890410958904,2026-08-28
full,EBQ40,-0.047328466462561614,2010-05-01,2016-03-31,0.590825932218753,2014-11-01,2015-06-09,2016-05-30,2.4162892654877925,2015-05-01,2025-04-07,0.4619849458555781,2015-05-01,2025-04-07,0.0,0,4,0.9845890410958904,2026-08-28
full,EBS02,-0.10277363073476597,2010-05-01,2016-03-31,0.753217803141327,2014-11-01,2015-06-09,2016-05-18,2.399697913149236,2014-11-01,2015-01-19,0.45826514542659696,2014-11-01,2015-01-19,0.0,0,5,0.9845890410958904,2026-08-28
full,EBS03,-0.057703906023709006,2009-11-01,2016-06-30,0.6484185129777924,2014-11-01,2015-06-09,2016-05-30,2.399697913149236,2014-11-01,2015-01-19,0.45826514542659696,2014-11-01,2015-01-19,0.0,0,4,0.9845890410958904,2026-08-28
full,EBS04,-0.06613349061305263,2010-05-01,2016-06-30,0.657239798122655,2014-11-01,2015-06-09,2016-05-18,2.399697913149236,2014-11-01,2015-01-19,0.45826514542659696,2014-11-01,2015-01-19,0.0,0,4,0.9845890410958904,2026-08-28
full,EBCR30,-0.017078348403950394,2011-05-01,2020-06-30,0.6546251254353865,2014-11-01,2015-06-09,2016-05-30,1.9168222349760622,2013-11-01,2020-03-23,0.3217941777390563,2013-11-01,2020-03-23,0.0,0,3,0.9845890410958904,2026-08-28
full,EBR10,-0.01703446798019781,2011-05-01,2020-03-31,0.5166126541105767,2010-05-01,2011-04-08,2014-03-10,2.513582271685,2013-11-01,2014-02-24,0.48281057083362017,2013-11-01,2014-02-24,0.0,0,12,0.9845890410958904,2026-08-28
full,EBR20,-0.008107309801605123,2014-05-01,2020-03-31,0.5395295451364955,2009-11-01,2011-04-08,2014-03-10,2.421334809308467,2014-11-01,2025-04-07,0.4631062291442931,2014-11-01,2025-04-07,0.0,0,11,0.9845890410958904,2026-08-28
full,EBR30,0.008757382338139719,2009-11-01,2014-11-28,0.5555266587538227,2009-11-01,2011-04-08,2014-03-10,2.4157777119202706,2015-11-01,2025-04-07,0.4618711948776796,2015-11-01,2025-04-07,0.0,0,0,0.9845890410958904,2026-08-28
A,BASE,-0.15428167240463875,2009-11-01,2016-02-29,0.734892282283886,2010-05-01,2011-03-28,2014-03-20,1.515364214234868,2014-11-01,2015-08-25,0.1421204303307432,2014-11-01,2015-08-25,0.0,0,3,0.9845890410958904,2026-08-28
A,EBFIX160,-0.1163573395757479,2010-05-01,2016-02-29,0.6835226496370433,2014-11-01,2015-06-15,2016-01-28,2.4222870782212964,2014-11-01,2015-01-19,0.46331712219899224,2014-11-01,2015-01-19,0.0,0,4,0.9845890410958904,2026-08-28
A,EBFIX100,-0.0577008265356419,2010-05-01,2016-02-29,0.5306793439448216,2012-11-01,2015-06-15,2016-05-13,21.196568968235663,2014-05-01,2019-12-26,0.9386693194569306,2014-05-01,2019-12-26,0.0,0,4,0.9845890410958904,2026-08-28
A,EBQ20,-0.10056937323614301,2010-05-01,2016-02-29,0.6698666474141952,2010-05-01,2011-03-28,2012-11-15,2.4222870782212964,2014-11-01,2015-01-19,0.46331712219899224,2014-11-01,2015-01-19,0.0,0,2,0.9845890410958904,2026-08-28
A,EBQ30,-0.0830969301810911,2010-05-01,2016-02-29,0.6698666474141952,2010-05-01,2011-03-28,2012-11-15,2.4222870782212964,2014-11-01,2015-01-19,0.46331712219899224,2014-11-01,2015-01-19,0.0,0,2,0.9845890410958904,2026-08-28
A,EBQ40,-0.08078239731656245,2010-05-01,2016-02-29,0.6698666474141952,2010-05-01,2011-03-28,2012-11-15,2.4482044198733477,2012-05-01,2025-04-07,0.4689985895592605,2012-05-01,2025-04-07,0.0,0,2,0.9845890410958904,2026-08-28
A,EBS02,-0.1163573395757479,2010-05-01,2016-02-29,0.6835226496370433,2014-11-01,2015-06-15,2016-01-28,2.4222870782212964,2014-11-01,2015-01-19,0.46331712219899224,2014-11-01,2015-01-19,0.0,0,4,0.9845890410958904,2026-08-28
