arm,security_code,security_name,entry_date,exit_date,holding_days,buys,sells,invested,proceeds,dividends,return_pct,max_drawdown_in_cycle,max_money_drawdown,entry_stop,entry_stop_ma,entry_pv_ratio,entry_upside,entry_intrinsic_value,entry_band_low,entry_band_high,exit_reason,contrib
OFF,600309,万华化学,2012-05-10,2012-06-25,46,13,2,1652787.00,1579945.00,0.00,-0.044072,0.085317,0.088192,13.8583,60,1.0238,-0.0206,14.4859,15.1436,13.8282,跌破建仓日MA60止损,-0.027953
OFF,600309,万华化学,2012-10-09,2012-11-12,34,3,2,330253.00,308494.00,0.00,-0.065886,0.083682,0.067408,13.1558,60,1.0266,-0.0314,13.8804,14.5106,13.2502,跌破建仓日MA60止损,-0.009296
OFF,600309,万华化学,2013-10-28,2014-03-19,142,6,1,394985.00,370944.00,0.00,-0.060866,0.215909,0.247406,16.7275,60,0.6595,0.5127,25.8519,27.0256,24.6782,跌破建仓日MA60止损,-0.009956
OFF,600309,万华化学,2016-05-31,2016-08-25,86,2,2,144728.00,177807.00,0.00,0.228560,0.065789,0.051657,15.1122,60,0.8594,0.1395,18.1179,18.9405,17.2953,换仓：让位给空间更大的002128,0.011125
OFF,002714,牧原股份,2017-07-20,2018-01-30,194,11,11,3618143.00,7783186.00,0.00,1.151155,0.143248,0.143248,25.7061,60,1.0254,-0.0286,27.5983,28.8513,26.3453,涨幅≥110%清空,0.431063
OFF,600309,万华化学,2017-08-15,2020-12-09,1212,21,12,10539194.00,18681078.00,536540.00,0.772534,0.491557,0.600528,23.7017,60,1.0445,-0.0737,31.9014,33.3497,30.4531,换仓：让位给空间更大的600000,0.364804
OFF,002466,天齐锂业,2019-04-03,2019-04-25,22,3,1,2104573.00,1859234.00,0.00,-0.116574,0.121268,0.127284,33.3448,60,0.4909,1.0413,76.0370,79.4891,72.5849,跌破建仓日MA60止损,-0.011336
OFF,002466,天齐锂业,2019-09-27,2020-03-23,178,31,1,14597896.50,11641509.00,0.00,-0.202521,0.452163,0.455178,20.9378,60,0.3933,1.6246,71.3897,74.6308,68.1486,跌破建仓日MA60止损,-0.137454
OFF,002466,天齐锂业,2020-06-16,2020-09-10,86,17,1,12237849.00,9048240.00,0.00,-0.260635,0.393162,0.414032,19.8567,60,0.5034,0.9667,50.9187,53.2304,48.6070,跌破建仓日MA60止损,-0.096803
OFF,002466,天齐锂业,2020-11-16,2021-02-04,80,13,16,14181411.00,32076523.00,0.00,1.261871,0.264373,0.121785,21.9518,60,0.4827,1.2441,50.9187,53.2304,48.6070,涨幅≥110%清空,0.482169
OFF,002466,天齐锂业,2024-01-03,2024-01-29,26,6,1,8492416.00,7855540.00,0.00,-0.074994,0.147275,0.158099,53.7647,60,0.4897,1.0460,113.1820,118.3205,108.0435,跌破建仓日MA60止损,-0.005327
OFF,002466,天齐锂业,2024-10-10,2025-04-07,179,18,1,114978903.00,84391216.00,0.00,-0.266029,0.364231,0.356182,27.9083,60,0.3814,1.5583,92.8153,97.0291,88.6015,跌破建仓日MA60止损,-0.163364
OFF,002466,天齐锂业,2025-06-10,2025-12-18,191,18,6,52919316.00,84668883.00,0.00,0.599962,0.211669,0.188709,29.6208,60,0.4956,1.0324,61.2773,64.0593,58.4953,换仓：让位给空间更大的000651,0.144164
OFF,688516,奥特维,2025-07-09,2026-02-06,212,20,11,99865468.00,295582003.00,1449300.00,1.959802,0.250245,0.248407,32.0118,60,0.4557,1.2252,75.0099,78.4153,71.6045,涨幅≥110%清空,0.539001
OFF,600309,万华化学,2025-09-08,2026-05-18,252,8,4,86688460.00,87337867.00,0.00,0.007491,0.204729,0.286572,60.2180,60,0.6942,0.3629,94.8599,99.1665,90.5533,换仓：让位给空间更大的601963,0.008209
BASE,600309,万华化学,2012-05-10,2012-06-25,46,13,2,1652787.00,1579945.00,0.00,-0.044072,0.085317,0.088192,13.8583,60,1.0238,-0.0206,14.4859,15.1436,13.8282,跌破建仓日MA60止损,-0.027953
BASE,600309,万华化学,2012-10-09,2012-11-12,34,3,2,330253.00,308494.00,0.00,-0.065886,0.083682,0.067408,13.1558,60,1.0266,-0.0314,13.8804,14.5106,13.2502,跌破建仓日MA60止损,-0.009296
BASE,600309,万华化学,2013-10-28,2014-03-19,142,6,1,394985.00,370944.00,0.00,-0.060866,0.215909,0.247406,16.7275,60,0.6595,0.5127,25.8519,27.0256,24.6782,跌破建仓日MA60止损,-0.009956
