arm,start,signal_days,restricted_days,restricted_fraction,average_exposure_pct,active_sales,unresolved_days
BASE,2009-11-01,4088,365,0.08928571428571429,153.38444577988105,25,0
BASE,2011-11-01,3602,79,0.02193225985563576,160.82166854550132,26,0
OFF,2009-11-01,0,0,0,161.42220378668372,0,0
OFF,2011-11-01,0,0,0,164.34960156414894,0,0
FIX100,2009-11-01,4088,4088,1.0,95.15748054384451,0,0
FIX100,2011-11-01,3602,3602,1.0,95.88853901423778,4,0
C000R30,2009-11-01,4088,365,0.08928571428571429,134.13118775773947,22,15
C000R30,2011-11-01,3602,79,0.02193225985563576,149.97793412315318,14,15
C000R35,2009-11-01,4088,427,0.10445205479452055,133.8929571075899,22,37
C000R35,2011-11-01,3602,101,0.0280399777901166,149.97793412315318,14,37
C000R40,2009-11-01,4088,588,0.14383561643835616,132.15223689061406,14,55
C000R40,2011-11-01,3602,140,0.03886729594669628,149.97793412315318,14,55
C000R45,2009-11-01,4088,651,0.15924657534246575,129.67027321050952,15,78
C000R45,2011-11-01,3602,182,0.05052748473070516,147.1611843346582,15,78
C000R50,2009-11-01,4088,696,0.17025440313111545,129.4369045581782,15,78
C000R50,2011-11-01,3602,227,0.06302054414214325,146.89633714637546,15,78
C030R30,2009-11-01,4088,365,0.08928571428571429,145.71782227957962,511,0
C030R30,2011-11-01,3602,79,0.02193225985563576,156.40801161111526,221,0
C030R35,2009-11-01,4088,427,0.10445205479452055,144.0738102159988,552,0
C030R35,2011-11-01,3602,101,0.0280399777901166,156.01152410052447,245,0
C030R40,2009-11-01,4088,588,0.14383561643835616,140.91993494602187,598,0
C030R40,2011-11-01,3602,140,0.03886729594669628,156.00485410787758,255,0
C030R45,2009-11-01,4088,651,0.15924657534246575,139.962095936261,693,0
C030R45,2011-11-01,3602,182,0.05052748473070516,154.8996274351878,348,0
C030R50,2009-11-01,4088,696,0.17025440313111545,138.1808310659531,773,0
C030R50,2011-11-01,3602,227,0.06302054414214325,152.86639003139808,424,0
C050R30,2009-11-01,4088,365,0.08928571428571429,148.1323540792412,528,0
C050R30,2011-11-01,3602,79,0.02193225985563576,157.30951136801448,218,0
C050R35,2009-11-01,4088,427,0.10445205479452055,147.45074135372235,526,0
C050R35,2011-11-01,3602,101,0.0280399777901166,157.10133851267588,242,0
C050R40,2009-11-01,4088,588,0.14383561643835616,143.87997767685033,627,0
C050R40,2011-11-01,3602,140,0.03886729594669628,157.10133851267588,242,0
C050R45,2009-11-01,4088,651,0.15924657534246575,143.04565366788776,727,0
C050R45,2011-11-01,3602,182,0.05052748473070516,155.89583592565046,348,0
C050R50,2009-11-01,4088,696,0.17025440313111545,141.69738363172445,805,0
C050R50,2011-11-01,3602,227,0.06302054414214325,154.5896484497005,420,0
C080R30,2009-11-01,4088,365,0.08928571428571429,151.12822440226682,459,0
C080R30,2011-11-01,3602,79,0.02193225985563576,159.3354942123517,209,0
