cohort,arm,method,horizon,year,n,median
current_rank1_rerank,BASE,daily,250,2011,10,-0.1704065111273131
current_rank1_rerank,BASE,daily,250,2012,187,0.07476299742080461
current_rank1_rerank,BASE,daily,250,2013,221,0.024440996261142045
current_rank1_rerank,BASE,daily,250,2014,235,0.4537037037037037
current_rank1_rerank,BASE,daily,250,2015,154,-0.21116938010530023
current_rank1_rerank,BASE,daily,250,2016,201,0.40055818091491324
current_rank1_rerank,BASE,daily,250,2017,185,0.4297830309451285
current_rank1_rerank,BASE,daily,250,2018,110,0.26361930048269766
current_rank1_rerank,BASE,daily,250,2019,204,0.3208722652278493
current_rank1_rerank,BASE,daily,250,2020,232,0.3345767635301291
current_rank1_rerank,BASE,daily,250,2021,206,0.11033305510033398
current_rank1_rerank,BASE,daily,250,2022,225,0.10971239536281319
current_rank1_rerank,BASE,daily,250,2023,239,0.39862986612698736
current_rank1_rerank,BASE,daily,250,2024,239,0.26098074525755166
current_rank1_rerank,BASE,daily,250,2025,149,0.4984189949691187
current_rank1_rerank,BASE,daily,750,2011,10,-0.1876673020447444
current_rank1_rerank,BASE,daily,750,2012,187,0.7239686054235821
current_rank1_rerank,BASE,daily,750,2013,221,0.6375033671003407
current_rank1_rerank,BASE,daily,750,2014,235,1.0005449275706622
current_rank1_rerank,BASE,daily,750,2015,154,-0.04416742921501371
current_rank1_rerank,BASE,daily,750,2016,201,0.3180874944999972
current_rank1_rerank,BASE,daily,750,2017,185,1.2709897774115237
current_rank1_rerank,BASE,daily,750,2018,110,0.8643390772565637
current_rank1_rerank,BASE,daily,750,2019,204,1.0065161748276044
current_rank1_rerank,BASE,daily,750,2020,232,0.9645166710436476
current_rank1_rerank,BASE,daily,750,2021,206,0.936647549004861
current_rank1_rerank,BASE,daily,750,2022,225,0.8439712836071309
current_rank1_rerank,BASE,daily,750,2023,115,1.2132523344979442
current_rank1_rerank,BASE,ma60_episode,250,2011,2,-0.14233007187921864
current_rank1_rerank,BASE,ma60_episode,250,2012,19,0.06378015458805608
current_rank1_rerank,BASE,ma60_episode,250,2013,25,-0.055137740074564956
current_rank1_rerank,BASE,ma60_episode,250,2014,25,0.587373451730894
current_rank1_rerank,BASE,ma60_episode,250,2015,26,-0.09231345391216966
current_rank1_rerank,BASE,ma60_episode,250,2016,25,0.3880458583322617
current_rank1_rerank,BASE,ma60_episode,250,2017,14,0.5682563754496277
current_rank1_rerank,BASE,ma60_episode,250,2018,18,0.2917535633356386
current_rank1_rerank,BASE,ma60_episode,250,2019,26,0.32081887836755096
current_rank1_rerank,BASE,ma60_episode,250,2020,23,0.2411673748175267
current_rank1_rerank,BASE,ma60_episode,250,2021,35,0.08121981815438017
current_rank1_rerank,BASE,ma60_episode,250,2022,43,0.22567743925292572
current_rank1_rerank,BASE,ma60_episode,250,2023,36,0.36063353791254693
current_rank1_rerank,BASE,ma60_episode,250,2024,44,0.29036439569112327
current_rank1_rerank,BASE,ma60_episode,250,2025,24,0.2633953087825024
current_rank1_rerank,BASE,ma60_episode,750,2011,2,0.45226430795903877
current_rank1_rerank,BASE,ma60_episode,750,2012,19,0.8978507009922059
current_rank1_rerank,BASE,ma60_episode,750,2013,25,0.2703089572879971
current_rank1_rerank,BASE,ma60_episode,750,2014,25,1.0766366923606165
current_rank1_rerank,BASE,ma60_episode,750,2015,26,0.30115028217249573
current_rank1_rerank,BASE,ma60_episode,750,2016,25,0.731859430627317
current_rank1_rerank,BASE,ma60_episode,750,2017,14,2.0703707847158626
current_rank1_rerank,BASE,ma60_episode,750,2018,18,0.8989914782713844
current_rank1_rerank,BASE,ma60_episode,750,2019,26,0.7490481392939442
current_rank1_rerank,BASE,ma60_episode,750,2020,23,0.49046314401911695
current_rank1_rerank,BASE,ma60_episode,750,2021,35,0.6601003359449407
current_rank1_rerank,BASE,ma60_episode,750,2022,43,0.8092025609842979
current_rank1_rerank,BASE,ma60_episode,750,2023,14,1.1854912265899875
current_rank1_rerank,BASE,ma60_nonoverlap,250,2011,2,-0.14233007187921864
current_rank1_rerank,BASE,ma60_nonoverlap,250,2012,10,0.04232502053579312
current_rank1_rerank,BASE,ma60_nonoverlap,250,2013,11,-0.05722046509425027
current_rank1_rerank,BASE,ma60_nonoverlap,250,2014,13,0.6650541412621742
current_rank1_rerank,BASE,ma60_nonoverlap,250,2015,11,-0.00015473032714385937
current_rank1_rerank,BASE,ma60_nonoverlap,250,2016,11,0.31289610910549537
current_rank1_rerank,BASE,ma60_nonoverlap,250,2017,4,0.4495577908660765
current_rank1_rerank,BASE,ma60_nonoverlap,250,2018,5,0.2611723210779129
current_rank1_rerank,BASE,ma60_nonoverlap,250,2019,7,0.008309048184990564
current_rank1_rerank,BASE,ma60_nonoverlap,250,2020,11,0.11168843208893287
current_rank1_rerank,BASE,ma60_nonoverlap,250,2021,11,-0.02581420410448232
current_rank1_rerank,BASE,ma60_nonoverlap,250,2022,17,0.18460966542750912
current_rank1_rerank,BASE,ma60_nonoverlap,250,2023,15,0.3525519304408178
current_rank1_rerank,BASE,ma60_nonoverlap,250,2024,20,0.317020562182301
current_rank1_rerank,BASE,ma60_nonoverlap,250,2025,9,0.3906067397539017
current_rank1_rerank,BASE,ma60_nonoverlap,750,2011,2,0.45226430795903877
current_rank1_rerank,BASE,ma60_nonoverlap,750,2012,10,0.7349165885107913
current_rank1_rerank,BASE,ma60_nonoverlap,750,2013,5,0.18148972288396203
current_rank1_rerank,BASE,ma60_nonoverlap,750,2014,6,2.048572800583323
current_rank1_rerank,BASE,ma60_nonoverlap,750,2015,7,0.1813295690189396
current_rank1_rerank,BASE,ma60_nonoverlap,750,2016,5,0.8427648180030345
current_rank1_rerank,BASE,ma60_nonoverlap,750,2017,2,4.598848505982463
current_rank1_rerank,BASE,ma60_nonoverlap,750,2018,2,0.9620162878858783
current_rank1_rerank,BASE,ma60_nonoverlap,750,2019,6,0.3943093742444419
current_rank1_rerank,BASE,ma60_nonoverlap,750,2020,5,0.33537793429607365
current_rank1_rerank,BASE,ma60_nonoverlap,750,2021,7,0.5850463605834779
current_rank1_rerank,BASE,ma60_nonoverlap,750,2022,10,0.7174403754009985
current_rank1_rerank,BASE,ma60_nonoverlap,750,2023,2,0.9364366266260558
current_rank1_rerank,BASE,stop_episode,250,2011,2,-0.14233007187921864
current_rank1_rerank,BASE,stop_episode,250,2012,16,0.02995690525332695
current_rank1_rerank,BASE,stop_episode,250,2013,16,-0.056179102584407614
current_rank1_rerank,BASE,stop_episode,250,2014,19,0.6201915352416387
current_rank1_rerank,BASE,stop_episode,250,2015,9,-0.08985566599427397
current_rank1_rerank,BASE,stop_episode,250,2016,15,0.361741273100616
current_rank1_rerank,BASE,stop_episode,250,2017,2,0.4495577908660765
current_rank1_rerank,BASE,stop_episode,250,2018,5,0.44120080013235263
current_rank1_rerank,BASE,stop_episode,250,2019,3,-0.24465811965811957
current_rank1_rerank,BASE,stop_episode,250,2020,7,-0.08084495140410242
current_rank1_rerank,BASE,stop_episode,250,2021,17,-0.004236638294609296
current_rank1_rerank,BASE,stop_episode,250,2022,17,0.18460966542750912
current_rank1_rerank,BASE,stop_episode,250,2023,10,0.2543758218982273
current_rank1_rerank,BASE,stop_episode,250,2024,17,0.3552276066583928
current_rank1_rerank,BASE,stop_episode,250,2025,6,0.35748993280898733
current_rank1_rerank,BASE,stop_episode,750,2011,2,0.45226430795903877
current_rank1_rerank,BASE,stop_episode,750,2012,16,0.7349165885107913
current_rank1_rerank,BASE,stop_episode,750,2013,16,0.2903622476872696
