cohort,arm,method,horizon,code,signal_date,exec_date,end_date,break_date,pv,forward_return,complete
current_rank1_rerank,BASE,daily,250,000001,2024-04-25,2024-04-26,2025-05-13,,0.6331,0.16373614812729542,True
current_rank1_rerank,BASE,daily,250,000001,2024-04-30,2024-05-06,2025-05-16,,0.6457,0.1417757905677226,True
current_rank1_rerank,BASE,daily,250,000001,2024-06-28,2024-07-01,2025-07-11,,0.6198,0.3124091390654069,True
current_rank1_rerank,BASE,daily,250,000001,2024-07-01,2024-07-02,2025-07-14,,0.6320,0.3131813514379427,True
current_rank1_rerank,BASE,daily,250,000001,2024-07-02,2024-07-03,2025-07-15,,0.6351,0.2991314361090638,True
current_rank1_rerank,BASE,daily,250,000001,2024-07-03,2024-07-04,2025-07-16,,0.6296,0.2962329790217535,True
current_rank1_rerank,BASE,daily,250,000001,2024-07-04,2024-07-05,2025-07-17,,0.6265,0.3286601980972075,True
current_rank1_rerank,BASE,daily,250,000001,2024-08-28,2024-08-29,2025-09-10,,0.6220,0.22250423133179065,True
current_rank1_rerank,BASE,daily,250,000001,2024-12-06,2024-12-09,2025-12-18,,0.6892,0.04963128240010528,True
current_rank1_rerank,BASE,daily,250,000001,2024-12-16,2024-12-17,2025-12-26,,0.6839,0.053249211955145315,True
current_rank1_rerank,BASE,daily,250,000001,2024-12-17,2024-12-18,2025-12-29,,0.6815,0.044206879330138005,True
current_rank1_rerank,BASE,daily,250,000001,2024-12-30,2024-12-31,2026-01-13,,0.7064,0.03164956047917511,True
current_rank1_rerank,BASE,daily,250,000001,2024-12-31,2025-01-02,2026-01-14,,0.6291,0.0458917620877779,True
current_rank1_rerank,BASE,daily,250,000001,2025-11-18,2025-11-19,,,0.7516,,False
current_rank1_rerank,BASE,daily,250,000001,2025-11-19,2025-11-20,,,0.7652,,False
current_rank1_rerank,BASE,daily,250,000001,2025-11-20,2025-11-21,,,0.7684,,False
current_rank1_rerank,BASE,daily,250,000001,2025-11-27,2025-11-28,,,0.7593,,False
current_rank1_rerank,BASE,daily,250,000001,2026-04-14,2026-04-15,,,0.7154,,False
current_rank1_rerank,BASE,daily,250,000001,2026-04-15,2026-04-16,,,0.7179,,False
current_rank1_rerank,BASE,daily,250,000001,2026-04-16,2026-04-17,,,0.7103,,False
current_rank1_rerank,BASE,daily,250,000001,2026-04-20,2026-04-21,,,0.7083,,False
current_rank1_rerank,BASE,daily,250,000001,2026-04-21,2026-04-22,,,0.7096,,False
current_rank1_rerank,BASE,daily,250,000001,2026-04-27,2026-04-28,,,0.7288,,False
current_rank1_rerank,BASE,daily,250,000001,2026-04-28,2026-04-29,,,0.7340,,False
current_rank1_rerank,BASE,daily,250,000001,2026-04-29,2026-04-30,,,0.7378,,False
current_rank1_rerank,BASE,daily,250,000001,2026-04-30,2026-05-06,,,0.7224,,False
current_rank1_rerank,BASE,daily,250,000001,2026-05-06,2026-05-07,,,0.7143,,False
current_rank1_rerank,BASE,daily,250,000001,2026-05-07,2026-05-08,,,0.7149,,False
current_rank1_rerank,BASE,daily,250,000001,2026-05-08,2026-05-11,,,0.7105,,False
current_rank1_rerank,BASE,ma60_episode,250,000001,2024-04-25,2024-04-26,2025-05-13,2024-06-20,0.6331,0.16373614812729542,True
current_rank1_rerank,BASE,ma60_episode,250,000001,2024-06-28,2024-07-01,2025-07-11,2024-07-05,0.6198,0.3124091390654069,True
current_rank1_rerank,BASE,ma60_episode,250,000001,2024-08-28,2024-08-29,2025-09-10,2024-08-29,0.6220,0.22250423133179065,True
current_rank1_rerank,BASE,ma60_episode,250,000001,2024-12-06,2024-12-09,2025-12-18,2025-01-02,0.6892,0.04963128240010528,True
current_rank1_rerank,BASE,ma60_episode,250,000001,2025-11-18,2025-11-19,,2025-12-09,0.7516,,False
current_rank1_rerank,BASE,ma60_episode,250,000001,2026-04-14,2026-04-15,,2026-05-15,0.7154,,False
current_rank1_rerank,BASE,ma60_nonoverlap,250,000001,2024-04-25,2024-04-26,2025-05-13,2024-06-20,0.6331,0.16373614812729542,True
current_rank1_rerank,BASE,ma60_nonoverlap,250,000001,2025-11-18,2025-11-19,,2025-12-09,0.7516,,False
current_rank1_rerank,BASE,stop_episode,250,000001,2024-04-25,2024-04-26,2025-05-13,,0.6331,0.16373614812729542,True
current_rank1_rerank,BASE,daily,750,000001,2024-04-25,2024-04-26,,,0.6331,,False
current_rank1_rerank,BASE,daily,750,000001,2024-04-30,2024-05-06,,,0.6457,,False
current_rank1_rerank,BASE,daily,750,000001,2024-06-28,2024-07-01,,,0.6198,,False
current_rank1_rerank,BASE,daily,750,000001,2024-07-01,2024-07-02,,,0.6320,,False
current_rank1_rerank,BASE,daily,750,000001,2024-07-02,2024-07-03,,,0.6351,,False
current_rank1_rerank,BASE,daily,750,000001,2024-07-03,2024-07-04,,,0.6296,,False
current_rank1_rerank,BASE,daily,750,000001,2024-07-04,2024-07-05,,,0.6265,,False
current_rank1_rerank,BASE,daily,750,000001,2024-08-28,2024-08-29,,,0.6220,,False
current_rank1_rerank,BASE,daily,750,000001,2024-12-06,2024-12-09,,,0.6892,,False
current_rank1_rerank,BASE,daily,750,000001,2024-12-16,2024-12-17,,,0.6839,,False
current_rank1_rerank,BASE,daily,750,000001,2024-12-17,2024-12-18,,,0.6815,,False
current_rank1_rerank,BASE,daily,750,000001,2024-12-30,2024-12-31,,,0.7064,,False
current_rank1_rerank,BASE,daily,750,000001,2024-12-31,2025-01-02,,,0.6291,,False
current_rank1_rerank,BASE,daily,750,000001,2025-11-18,2025-11-19,,,0.7516,,False
current_rank1_rerank,BASE,daily,750,000001,2025-11-19,2025-11-20,,,0.7652,,False
current_rank1_rerank,BASE,daily,750,000001,2025-11-20,2025-11-21,,,0.7684,,False
current_rank1_rerank,BASE,daily,750,000001,2025-11-27,2025-11-28,,,0.7593,,False
current_rank1_rerank,BASE,daily,750,000001,2026-04-14,2026-04-15,,,0.7154,,False
current_rank1_rerank,BASE,daily,750,000001,2026-04-15,2026-04-16,,,0.7179,,False
current_rank1_rerank,BASE,daily,750,000001,2026-04-16,2026-04-17,,,0.7103,,False
current_rank1_rerank,BASE,daily,750,000001,2026-04-20,2026-04-21,,,0.7083,,False
current_rank1_rerank,BASE,daily,750,000001,2026-04-21,2026-04-22,,,0.7096,,False
current_rank1_rerank,BASE,daily,750,000001,2026-04-27,2026-04-28,,,0.7288,,False
current_rank1_rerank,BASE,daily,750,000001,2026-04-28,2026-04-29,,,0.7340,,False
current_rank1_rerank,BASE,daily,750,000001,2026-04-29,2026-04-30,,,0.7378,,False
current_rank1_rerank,BASE,daily,750,000001,2026-04-30,2026-05-06,,,0.7224,,False
current_rank1_rerank,BASE,daily,750,000001,2026-05-06,2026-05-07,,,0.7143,,False
current_rank1_rerank,BASE,daily,750,000001,2026-05-07,2026-05-08,,,0.7149,,False
current_rank1_rerank,BASE,daily,750,000001,2026-05-08,2026-05-11,,,0.7105,,False
current_rank1_rerank,BASE,ma60_episode,750,000001,2024-04-25,2024-04-26,,2024-06-20,0.6331,,False
current_rank1_rerank,BASE,ma60_episode,750,000001,2024-06-28,2024-07-01,,2024-07-05,0.6198,,False
current_rank1_rerank,BASE,ma60_episode,750,000001,2024-08-28,2024-08-29,,2024-08-29,0.6220,,False
current_rank1_rerank,BASE,ma60_episode,750,000001,2024-12-06,2024-12-09,,2025-01-02,0.6892,,False
current_rank1_rerank,BASE,ma60_episode,750,000001,2025-11-18,2025-11-19,,2025-12-09,0.7516,,False
current_rank1_rerank,BASE,ma60_episode,750,000001,2026-04-14,2026-04-15,,2026-05-15,0.7154,,False
current_rank1_rerank,BASE,ma60_nonoverlap,750,000001,2024-04-25,2024-04-26,,2024-06-20,0.6331,,False
current_rank1_rerank,BASE,stop_episode,750,000001,2024-04-25,2024-04-26,,,0.6331,,False
current_rank1_rerank,BOTH1,daily,250,000001,2024-04-25,2024-04-26,2025-05-13,,0.6331,0.16373614812729542,True
current_rank1_rerank,BOTH1,daily,250,000001,2024-04-30,2024-05-06,2025-05-16,,0.6457,0.1417757905677226,True
