group,security_code,report_date,total,first,second,difference
receivables,000513,1998-12-31,5848000,353310709.33,5848000,-353310709.33
receivables,000915,1998-12-31,503698.4,59360328.45,503698.4,-59360328.45
receivables,000933,1998-12-31,4125540,49134997.83,4125540,-49134997.83
receivables,600066,1998-12-31,782100,60787876.26,782100,-60787876.26
receivables,600398,2013-12-31,134855746.09,134855746.09,6856306,-6856306.00
receivables,600398,2012-12-31,63950132.69,63950132.69,21592997.99,-21592997.99
receivables,600612,1998-12-31,1479466,218955264.11,1479466,-218955264.11
receivables,600702,1998-12-31,40921472,99606606.85,40921472,-99606606.85
receivables,600779,1998-12-31,507500,154855952.95,507500,-154855952.95
payables,600885,2000-12-31,18122428.49,18122428.49,7831273.5,-7831273.50
receivables,600089,1998-12-31,3305099,136819180.29,3305099,-136819180.29
receivables,600233,2015-12-31,169771187.5,169771187.5,1000000,-1000000.0
receivables,000022,2017-12-31,871370660.21,892415771.49,16910891.14,-37956002.42
receivables,000063,1998-12-31,3960000,175086927.3,3960000,-175086927.3
receivables,000425,1998-12-31,21307000,295640517.63,21307000,-295640517.63
receivables,000538,1998-12-31,64711.34,26694478.43,64711.34,-26694478.43
receivables,000568,1998-12-31,75063340.75,124574176.47,75063340.75,-124574176.47
receivables,000651,1998-12-31,171035000,96085873.85,171035000,-96085873.85
receivables,000708,1998-12-31,2194000,812769066.46,2194000,-812769066.46
receivables,000725,1998-12-31,19827519,75190000,19827519,-75190000
receivables,000733,1998-12-31,10773165.33,319270766.98,10773165.33,-319270766.98
receivables,000778,1998-12-31,119340920.37,541427438.11,119340920.37,-541427438.11
receivables,000786,1998-12-31,1314970.65,96078991.71,1314970.65,-96078991.71
receivables,000792,1998-12-31,32045456.07,61565785.49,32045456.07,-61565785.49
receivables,000858,1998-12-31,26924000,13522153.39,26924000,-13522153.39
receivables,000895,1998-12-31,18500000,158289255.16,18500000,-158289255.16
receivables,000951,1998-12-31,26043700,214369263.49,26043700,-214369263.49
receivables,000999,2018-12-31,2314888787.96,2314888787.96,1820147181.78,-1820147181.78
receivables,000999,1998-12-31,2600000,802039028.48,2600000,-802039028.48
receivables,001872,2017-12-31,871370660.21,892415771.49,16910891.14,-37956002.42
payables,002027,2014-12-31,121231426.45,121231426.45,42000000,-42000000.00
payables,002270,2014-12-31,55698136.13,55698136.13,44420000,-44420000.00
receivables,002460,2018-12-31,1002137169.98,1002137169.98,403462509.22,-403462509.22
receivables,002594,2003-12-31,1400814000,1400814000,92548000,-92548000
payables,002607,2017-12-31,34809641.67,34809641.67,942822285.07,-942822285.07
receivables,600160,1998-12-31,35883190.81,109072226.64,35883190.81,-109072226.64
receivables,600188,2018-12-31,4728553000,4728553000,4428709000,-4428709000
receivables,600188,1998-12-31,168058451,461966688,168058451,-461966688
receivables,600585,2000-12-31,76025128,76432844,76025128,-76432844
receivables,600585,1999-12-31,38347885,168120960,38347885,-168120960
receivables,600600,1998-12-31,6000000,413175914,6000000,-413175914
receivables,600660,1998-12-31,21748293,181311741,21748293,-181311741
receivables,600690,1998-12-31,10310723,701871683.61,10310723,-701871683.61
receivables,600717,1998-12-31,22728661.06,104808661.85,22728661.06,-104808661.85
payables,600750,1999-12-31,54363945.85,54363945.85,54363945.85,-54363945.85
receivables,600809,1998-12-31,22684800,159015765.72,22684800,-159015765.72
receivables,600862,1998-12-31,2750000,221120616,2750000,-221120616
receivables,600887,1998-12-31,1600000,48846339.24,1600000,-48846339.24
receivables,601857,2018-12-31,59522000000,59522000000,16308000000,-16308000000
receivables,603993,2018-12-31,860999687.88,860999687.88,1623841101.38,-1623841101.38
