cik,ticker,status,source,provider,identity,first,last,bars,sha256,terminal_evidence,attempts
0000104169,WMT,ok,data/experiments/exp_us_sp500_port/raw/prices/yahoo/WMT.json,yahoo,existing_cik_mapping,1972-08-25,2026-09-04,13619,6cc5cd981985c861ee13b1267c1d5855b9dde8abea0b87117ab06cb4411f6259,2025-12-08|2026-04-07,
0000034088,XOM,ok,data/experiments/exp_us_sp500_port/raw/prices/yahoo/XOM.json,yahoo,existing_cik_mapping,1970-01-02,2026-09-04,14291,6eeb711d9050deb068c3b0884e379a55387af3fdcbd512756f270702b616213f,2024-06-26|2026-07-02,
0001094517,TM,ok,data/experiments/exp_oi150_overseas_forward/raw/market/yahoo/TM.json,yahoo,submissions,1980-03-17,2026-09-04,11713,d3e3e00c27521b7ba5364d2f7932a379a306959d3a1597c9f9ce8f8f4c44cbae,,
0000093410,CVX,ok,data/experiments/exp_us_sp500_port/raw/prices/yahoo/CVX.json,yahoo,existing_cik_mapping,1970-01-02,2026-09-04,14291,02e1b50d8f1c38f00966a288306c8264aa1311181e7cd76bb6e0913876ce7a96,,
0000040545,GE,ok,data/experiments/exp_us_sp500_port/raw/prices/yahoo/GE.json,yahoo,existing_cik_mapping,1970-01-02,2026-09-04,14291,cfc67198d3fbbaa8449eee87a0a5e128329d85225c6a70865244e11a5dd16876,2020-05-28|2022-05-17|2023-05-26|2025-05-19,
0000732717,T,ok,data/experiments/exp_us_sp500_port/raw/prices/yahoo/T.json,yahoo,existing_cik_mapping,1983-11-21,2026-09-04,10781,aa76879e0e565f56f2110955d7b1df67e9b142acf58a2d577e3b969f9e285198,2023-03-15|2023-05-19|2023-09-05|2023-09-05|2023-09-05|2023-09-15|2024-03-15|2025-01-06|2025-03-06|2025-11-18|2025-12-17|2026-03-04,
0000037996,F,ok,data/experiments/exp_us_sp500_port/raw/prices/yahoo/F.json,yahoo,existing_cik_mapping,1972-06-01,2026-09-04,13679,d98a7b03f8061bc312ddd7512175067cee319662231ae3eae6531e3971a0ad78,,
0001119639,PBR,ok,data/experiments/exp_oi150_overseas_forward/raw/market/yahoo/PBR.json,yahoo,submissions,2000-08-10,2026-09-04,6556,a386a22ecd52a08c1d83cba844634537b4ef219cba0068694532ecf6765187e2,2024-03-18|2024-12-27|2025-12-29|2026-06-26,
0000047217,HPQ,ok,data/experiments/exp_us_sp500_port/raw/prices/yahoo/HPQ.json,yahoo,existing_cik_mapping,1970-01-02,2026-09-04,14291,38bc4d9a4f65a5da2365687e2f4658b35aad531e76993d3b41e45ba455cf2ea8,,
0000927653,MCK,ok,data/experiments/exp_us_sp500_port/raw/prices/yahoo/MCK.json,yahoo,existing_cik_mapping,1994-11-10,2026-09-04,8007,89144636c325e6136a72916134478cc289015daed22b7d3f60bb8190b7df1caf,2020-02-12|2021-07-19|2025-11-17,
0000732712,VZ,ok,data/experiments/exp_us_sp500_port/raw/prices/yahoo/VZ.json,yahoo,existing_cik_mapping,1983-11-21,2026-09-04,10781,d8ef436fa1e62fe395ca44122ac61e53a7f8cc8ea693521c207fd98afe9f1a72,2024-03-01|2024-06-18|2025-04-02|2025-09-03,
0000064803,CVS,ok,data/experiments/exp_us_sp500_port/raw/prices/yahoo/CVS.json,yahoo,existing_cik_mapping,1973-02-21,2026-09-04,13499,a2eefc085f4641dd001ad105682ba995c6089c7ec1936631dd5318504819eb3b,,
0000721371,CAH,ok,data/experiments/exp_us_sp500_port/raw/prices/yahoo/CAH.json,yahoo,existing_cik_mapping,1983-08-04,2026-09-04,10857,2646c3799b786b6d64e69caac8d979670141561197237d6c8735cd365aad275b,,
0000051143,IBM,ok,data/experiments/exp_us_sp500_port/raw/prices/yahoo/IBM.json,yahoo,existing_cik_mapping,1970-01-02,2026-09-04,14291,cba7725e08a2744ab029eab8804ed1bb76583fecd064fcdb6c4917fe9f79f856,2020-11-06|2020-12-21|2021-09-07|2022-08-05|2023-01-31|2023-05-26|2024-09-06|2025-01-31|2025-05-23|2025-10-30|2025-11-07,
0000080424,PG,ok,data/experiments/exp_us_sp500_port/raw/prices/yahoo/PG.json,yahoo,existing_cik_mapping,1970-01-02,2026-09-04,14291,38f6718a96ea2ebd41eaff92ed3d88367a927e2a075e473087cd48d274287700,2022-08-16|2022-10-11|2022-10-11|2022-10-11|2022-10-11|2023-11-02|2024-10-25|2024-10-30|2025-03-06|2025-05-06|2026-08-03,
0000056873,KR,ok,data/experiments/exp_us_sp500_port/raw/prices/yahoo/KR.json,yahoo,existing_cik_mapping,1970-01-02,2026-09-04,14291,84a8459a612051e61ba5f964c86eb3c5a80b4047ca0f4ebc778a94d052312c7f,,
0001140859,COR,ok,data/experiments/exp_us_sp500_port/raw/prices/yahoo/COR.json,yahoo,existing_cik_mapping,1995-04-04,2026-09-04,7908,b559318e5a923b695d7cc91495e497f7439a77dfda62b4eb1e9599e114772055,,
0000909832,COST,ok,data/experiments/exp_us_sp500_port/raw/prices/yahoo/COST.json,yahoo,existing_cik_mapping,1986-07-09,2026-09-04,10118,7231bd9aeadbcaf0564c2cc05523a4dba60677ea920695228db60179095dcbc6,,
0000007084,ADM,ok,data/experiments/exp_us_sp500_port/raw/prices/yahoo/ADM.json,yahoo,existing_cik_mapping,1980-03-17,2026-09-04,11713,381571bc94f3c9731fc9441c625fe840bfd9c98a4ef4c3de43cea0db401ea587,2023-06-23|2025-09-12,
0000012927,BA,ok,data/experiments/exp_us_sp500_port/raw/prices/yahoo/BA.json,yahoo,existing_cik_mapping,1970-01-02,2026-09-04,14291,44d6aa13105a9fac0600415c3aa648703bfbaa5e736ac5d03a639edfe4ede43c,,
0000354950,HD,ok,data/experiments/exp_us_sp500_port/raw/prices/yahoo/HD.json,yahoo,existing_cik_mapping,1981-09-22,2026-09-04,11330,9e86052db98dbf2e7ca3be5f6a6e755bc617110c87b6fdef6b2b2e5ce74784c8,,
0000027419,TGT,ok,data/experiments/exp_us_sp500_port/raw/prices/yahoo/TGT.json,yahoo,existing_cik_mapping,1973-02-21,2026-09-04,13499,a762a0940fceef843280c7e3a14923b5c2cfd3453bb810109ec5183d74895fb6,,
0000104207,,ok,data/experiments/exp_us_sp500_port/raw/prices/tiingo/WBA.json,tiingo,existing_cik_mapping,1985-07-01,2025-08-28,10119,08f832e0bc11d87621092abd5c69b5854c48c66441a930c05023192afc481733,2014-12-30|2014-12-30|2014-12-31|2014-12-31|2015-08-10|2015-08-10|2015-08-10,
0001413329,PM,ok,data/experiments/exp_us_sp500_port/raw/prices/yahoo/PM.json,yahoo,existing_cik_mapping,2008-03-17,2026-09-04,4648,e1b31458650867cb20fc69e54a6043c1a74f4eb3d7c17715b075c444249c31fd,2017-11-09|2018-05-25|2019-01-15|2019-02-22|2019-02-25|2019-05-31|2019-11-01|2020-02-21|2020-02-21|2020-03-23|2020-03-31|2021-01-25|2021-03-05|2021-05-17|2021-11-15|2022-01-18|2022-08-18|2022-08-22|2022-11-02|2023-03-07|2023-05-10|2023-11-15|2024-05-02|2024-05-30|2024-11-08|2024-11-12|2025-03-19|2025-08-11|2026-02-25|2026-03-03|2026-08-03,
