cik,ticker,date,status,reason,price,value,pv,period,rf
0000064803,CVS,2016-04-30,ok,,100.5000,95.9509,1.0474,2015-12-31,0.0183
0000064803,CVS,2016-05-31,ok,,96.4500,91.0796,1.0590,2016-03-31,0.0184
0000064803,CVS,2016-06-30,ok,,95.7400,93.5650,1.0232,2016-03-31,0.0149
0000064803,CVS,2016-07-31,ok,,92.7200,93.7850,0.9886,2016-03-31,0.0146
0000064803,CVS,2016-08-31,ok,,93.4000,93.8287,0.9954,2016-06-30,0.0158
0000064803,CVS,2016-09-30,ok,,88.9900,93.6870,0.9499,2016-06-30,0.0160
0000064803,CVS,2016-10-31,ok,,84.1000,92.0232,0.9139,2016-06-30,0.0184
0000064803,CVS,2016-11-30,ok,,76.8900,92.7325,0.8292,2016-09-30,0.0237
0000064803,CVS,2016-12-31,ok,,78.9100,92.2055,0.8558,2016-09-30,0.0245
0000064803,CVS,2017-01-31,ok,,78.8100,92.2055,0.8547,2016-09-30,0.0245
0000064803,CVS,2017-02-28,ok,,80.5800,107.5769,0.7490,2016-12-31,0.0236
0000064803,CVS,2017-03-31,ok,,78.5000,107.7054,0.7288,2016-12-31,0.0240
0000104169,WMT,2016-04-30,ok,,66.8700,96.5213,0.6928,2016-01-31,0.0183
0000104169,WMT,2016-05-31,ok,,70.7800,96.5115,0.7334,2016-01-31,0.0184
0000104169,WMT,2016-06-30,ok,,73.0200,101.7677,0.7175,2016-04-30,0.0149
0000104169,WMT,2016-07-31,ok,,72.9700,101.7951,0.7168,2016-04-30,0.0146
0000104169,WMT,2016-08-31,ok,,71.4400,103.6733,0.6891,2016-07-31,0.0158
0000104169,WMT,2016-09-30,ok,,72.1200,103.6459,0.6958,2016-07-31,0.0160
0000104169,WMT,2016-10-31,ok,,70.0200,103.3191,0.6777,2016-07-31,0.0184
0000104169,WMT,2016-11-30,ok,,70.4300,102.6484,0.6861,2016-07-31,0.0237
0000104169,WMT,2016-12-31,ok,,69.1200,104.3249,0.6625,2016-10-31,0.0245
0000104169,WMT,2017-01-31,ok,,66.7400,104.3249,0.6397,2016-10-31,0.0245
0000104169,WMT,2017-02-28,ok,,70.9300,104.3808,0.6795,2016-10-31,0.0236
0000104169,WMT,2017-03-31,ok,,72.0800,91.2086,0.7903,2017-01-31,0.0240
0000320193,AAPL,2016-04-30,ok,,93.7400,168.6334,0.5559,2016-03-26,0.0183
0000320193,AAPL,2016-05-31,ok,,99.8600,168.6962,0.5920,2016-03-26,0.0184
0000320193,AAPL,2016-06-30,ok,,95.6000,166.6603,0.5736,2016-03-26,0.0149
0000320193,AAPL,2016-07-31,ok,,104.2100,170.0807,0.6127,2016-06-25,0.0146
0000320193,AAPL,2016-08-31,ok,,106.1000,170.9497,0.6207,2016-06-25,0.0158
0000320193,AAPL,2016-09-30,ok,,113.0500,171.0992,0.6607,2016-06-25,0.0160
0000320193,AAPL,2016-10-31,ok,,113.5400,154.6160,0.7343,2016-09-24,0.0184
0000320193,AAPL,2016-11-30,ok,,110.5200,159.1633,0.6944,2016-09-24,0.0237
0000320193,AAPL,2016-12-31,ok,,115.8200,159.9516,0.7241,2016-09-24,0.0245
0000320193,AAPL,2017-01-31,ok,,121.3500,159.9516,0.7587,2016-09-24,0.0245
0000320193,AAPL,2017-02-28,ok,,136.9900,172.2941,0.7951,2016-12-31,0.0236
0000320193,AAPL,2017-03-31,ok,,143.6600,172.6892,0.8319,2016-12-31,0.0240
0000927653,MCK,2016-04-30,ok,,167.8200,175.0116,0.9589,2015-12-31,0.0183
0000927653,MCK,2016-05-31,ok,,183.1400,199.2863,0.9190,2016-03-31,0.0184
0000927653,MCK,2016-06-30,ok,,186.6500,196.6187,0.9493,2016-03-31,0.0149
0000927653,MCK,2016-07-31,ok,,194.5600,210.7506,0.9232,2016-06-30,0.0146
0000927653,MCK,2016-08-31,ok,,184.6200,211.4779,0.8730,2016-06-30,0.0158
0000927653,MCK,2016-09-30,ok,,166.7500,211.6043,0.7880,2016-06-30,0.0160
0000927653,MCK,2016-10-31,ok,,127.1700,193.0218,0.6588,2016-09-30,0.0184
0000927653,MCK,2016-11-30,ok,,143.8100,196.8130,0.7307,2016-09-30,0.0237
0000927653,MCK,2016-12-31,ok,,140.4500,197.4939,0.7112,2016-09-30,0.0245
0000927653,MCK,2017-01-31,ok,,139.1500,220.3871,0.6314,2016-12-31,0.0245
0000927653,MCK,2017-02-28,ok,,150.1300,218.5711,0.6869,2016-12-31,0.0236
0000927653,MCK,2017-03-31,ok,,148.2600,219.3675,0.6759,2016-12-31,0.0240
