security_code,security_name,report_date,legacy_wc,dedup_wc,operating_wc,financing_receivables,receivable_basis,payable_basis
000408,藏格矿业,2025-12-31,-627766854.2999998,-291356351.38999987,-209454938.85999987,81901412.53,aggregate,aggregate
000408,藏格矿业,2024-12-31,-671169458.8600003,-265340684.3400001,-47518682.94000009,217822001.4,aggregate,aggregate
000408,藏格矿业,2023-12-31,-675695927.5199999,-338716442.53,272757429.5400001,611473872.07,aggregate,aggregate
000408,藏格矿业,2022-12-31,-618490115.73,-507644099.56999993,728329712.5600002,1235973812.13,aggregate,aggregate
000408,藏格矿业,2021-12-31,-465963284.45000005,-325785951.7299999,827809531.1700002,1153595482.9,aggregate,aggregate
000408,藏格矿业,2020-12-31,-182832103.48000014,93456394.29000002,1014128307.96,920671913.67,aggregate,aggregate
000933,神火股份,2025-12-31,-3791628992.489999,-808668813.8200002,-441594765.08000016,367074048.74,aggregate,aggregate
000933,神火股份,2024-12-31,-4956493167.810001,-1172165901.2400007,-886777474.3200006,285388426.92,aggregate,aggregate
000933,神火股份,2023-12-31,-8475655329.909999,-3479796676.88,-3017706054.44,462090622.44,aggregate,aggregate
000933,神火股份,2022-12-31,-8804051220.82,-3660397989.0300007,-3247239994.350001,413157994.68,aggregate,aggregate
000933,神火股份,2021-12-31,-11294818641.67,-5111115242.0,-4836844842.74,274270399.26,aggregate,aggregate
000933,神火股份,2020-12-31,-29011515428.539997,-13914151949.08,-13226771512.75,687380436.33,aggregate,aggregate
002138,顺络电子,2025-12-31,3732386881.250001,2317398359.08,3128067480.97,810669121.89,aggregate,aggregate
002138,顺络电子,2024-12-31,3601023229.639999,2102719558.6,2764398523.04,661678964.44,aggregate,aggregate
002138,顺络电子,2023-12-31,2996422767.85,1775894859.3,2458101121.31,682206262.01,aggregate,aggregate
002138,顺络电子,2022-12-31,2737830324.8099995,1734687927.3700004,2227709586.78,493021659.41,aggregate,aggregate
002138,顺络电子,2021-12-31,1902953592.3700001,1329438066.9300003,1852467908.1400003,523029841.21,aggregate,aggregate
002138,顺络电子,2020-12-31,1644445904.0599997,1052088463.2100002,1360537939.5300002,308449476.32,aggregate,aggregate
002372,伟星新材,2025-12-31,-25991955.130000114,109252347.31999993,161944081.89999992,52691734.58,aggregate,aggregate
002372,伟星新材,2024-12-31,401012649.66999984,364555809.6700001,400235259.6100001,35679449.94,aggregate,aggregate
002372,伟星新材,2023-12-31,461362722.28999996,406304710.99999976,449480129.94999975,43175418.95,aggregate,aggregate
002372,伟星新材,2022-12-31,312201326.2600002,306206761.61,385759489.99,79552728.38,aggregate,aggregate
