bp,group,comparison,cagr_delta_pp,P_delta_pp,roll5dd_delta_pp,margin_delta_pp,forced_delta,negative_flips,track_a_reading
0,full,FIX_vs_LEGACY,-0.07291360779395628,0.0,0.0,0.0,0.0,0,True
0,full,LEGACY_vs_0,0.0,0.0,0.0,0.0,0.0,0,True
0,A,FIX_vs_LEGACY,0.0,0.0,0.0,0.0,0.0,0,True
0,A,LEGACY_vs_0,0.0,0.0,0.0,0.0,0.0,0,True
10,full,FIX_vs_LEGACY,0.0,0.0,0.0,0.0,0.0,0,True
10,full,LEGACY_vs_0,-0.19656501766474044,-0.5178626099999972,-0.06412594660781257,0.01258057398652035,0.0,0,True
10,A,FIX_vs_LEGACY,0.0,0.0,0.0,0.0,0.0,0,True
10,A,LEGACY_vs_0,-0.7961441465211605,-0.5564162500000025,0.3290237615263092,0.10754927005921511,0.0,0,True
20,full,FIX_vs_LEGACY,0.0,0.0,0.0,0.0,0.0,0,True
20,full,LEGACY_vs_0,-0.1301973630259079,1.2745756900000043,-0.37763188989088925,0.036688430695075436,0.0,0,True
20,A,FIX_vs_LEGACY,0.0,0.0,0.0,0.0,0.0,0,True
20,A,LEGACY_vs_0,-1.8966227376640776,-1.4782332200000012,0.19428975930306236,0.14508731309679224,0.0,0,False
30,full,FIX_vs_LEGACY,0.0,0.0,0.0,0.0,0.0,0,True
30,full,LEGACY_vs_0,-2.2315695622543874,-1.2665080750000002,0.046328489522290406,0.08677737326610035,0.0,0,False
30,A,FIX_vs_LEGACY,0.0,0.0,0.0,0.0,0.0,0,True
30,A,LEGACY_vs_0,-2.022508894566999,-1.6925768699999955,0.30868744289535566,0.3238072316916085,0.0,0,False
