group,bp,start,P_pp,CAGR_pp,P25_pp,DD5_pp,MDD_pp,negative_flip,min_ratio_delta,forced_delta
full,0,2009-11-01,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0
full,0,2010-05-01,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0
full,0,2010-11-01,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0
full,0,2011-05-01,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0
full,0,2011-11-01,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0
full,0,2012-05-01,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0
full,0,2012-11-01,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0
full,0,2013-05-01,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0
full,0,2013-11-01,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0
full,0,2014-05-01,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0
full,0,2014-11-01,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0
full,0,2015-05-01,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0
full,0,2015-11-01,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0
full,0,2016-05-01,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0
A,0,2009-11-01,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0
A,0,2010-05-01,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0
A,0,2010-11-01,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0
A,0,2011-05-01,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0
A,0,2011-11-01,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0
A,0,2012-05-01,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0
A,0,2012-11-01,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0
A,0,2013-05-01,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0
A,0,2013-11-01,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0
A,0,2014-05-01,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0
A,0,2014-11-01,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0
A,0,2015-05-01,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0
A,0,2015-11-01,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0
A,0,2016-05-01,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0
U,0,2009-11-01,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0
U,0,2010-05-01,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0
U,0,2010-11-01,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0
U,0,2011-05-01,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0
U,0,2011-11-01,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0
U,0,2012-05-01,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0
U,0,2012-11-01,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0
U,0,2013-05-01,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0
U,0,2013-11-01,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0
U,0,2014-05-01,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0
U,0,2014-11-01,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0
U,0,2015-05-01,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0
U,0,2015-11-01,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0
U,0,2016-05-01,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0
full,10,2009-11-01,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0
full,10,2010-05-01,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0
full,10,2010-11-01,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0
full,10,2011-05-01,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0
full,10,2011-11-01,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0
full,10,2012-05-01,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0
full,10,2012-11-01,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0
full,10,2013-05-01,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0
full,10,2013-11-01,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0
full,10,2014-05-01,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0
full,10,2014-11-01,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0
full,10,2015-05-01,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0
full,10,2015-11-01,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0
full,10,2016-05-01,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0
A,10,2009-11-01,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0
A,10,2010-05-01,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0
A,10,2010-11-01,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0
A,10,2011-05-01,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0
A,10,2011-11-01,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0
A,10,2012-05-01,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0
A,10,2012-11-01,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0
A,10,2013-05-01,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0
A,10,2013-11-01,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0
A,10,2014-05-01,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0
A,10,2014-11-01,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0
A,10,2015-05-01,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0
A,10,2015-11-01,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0
A,10,2016-05-01,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0
U,10,2009-11-01,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0
U,10,2010-05-01,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0
U,10,2010-11-01,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0
U,10,2011-05-01,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0
U,10,2011-11-01,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0
U,10,2012-05-01,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0
U,10,2012-11-01,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0
U,10,2013-05-01,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0
U,10,2013-11-01,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0
U,10,2014-05-01,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0
U,10,2014-11-01,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0
