group,code,signal_date,pv,bucket,execution_date,end_date,break_date,return_250d,cash_return_250d,complete,price_end
trend_ma60_episode,000001,2024-03-15,0.6395,"[0.6,0.8)",2024-03-18,2025-03-31,2024-06-20,0.16725092730280866,0.15986717267552186,True,2026-08-07
trend_ma60_episode,000001,2024-06-28,0.6198,"[0.6,0.8)",2024-07-01,2025-07-11,2024-07-05,0.3124091390654098,0.306086956521739,True,2026-08-07
trend_ma60_episode,000001,2024-08-28,0.622,"[0.6,0.8)",2024-08-29,2025-09-10,2024-08-29,0.2225042313317931,0.2219151036525171,True,2026-08-07
trend_ma60_episode,000001,2024-09-30,0.7356,"[0.6,0.8)",2024-10-08,2025-10-17,2025-01-02,-0.04945823642050762,-0.04937888198757756,True,2026-08-07
trend_ma60_episode,000001,2025-03-05,0.6341,"[0.6,0.8)",2025-03-06,2026-03-18,2025-03-17,-0.008288200034590743,-0.006190885640584676,True,2026-08-07
trend_ma60_episode,000001,2025-05-29,0.6831,"[0.6,0.8)",2025-05-30,2026-06-11,2025-08-15,0.028668049273655294,0.029238754325259464,True,2026-08-07
trend_ma60_episode,000001,2025-08-25,0.7757,"[0.6,0.8)",2025-08-26,,2025-08-27,,,False,2026-08-07
trend_ma60_episode,000001,2025-11-14,0.7619,"[0.6,0.8)",2025-11-17,,2025-12-09,,,False,2026-08-07
trend_ma60_episode,000001,2025-12-18,0.7643,"[0.6,0.8)",2025-12-19,,2025-12-30,,,False,2026-08-07
trend_ma60_episode,000001,2026-04-14,0.7154,"[0.6,0.8)",2026-04-15,,2026-05-15,,,False,2026-08-07
trend_ma60_episode,000001,2026-07-28,0.7177,"[0.6,0.8)",2026-07-29,,,,,False,2026-08-07
trend_stop_episode,000001,2024-03-15,0.6395,"[0.6,0.8)",2024-03-18,2025-03-31,,0.16725092730280866,0.15986717267552186,True,2026-08-07
trend_ma60_nonoverlap,000001,2024-03-15,0.6395,"[0.6,0.8)",2024-03-18,2025-03-31,2024-06-20,0.16725092730280866,0.15986717267552186,True,2026-08-07
trend_ma60_nonoverlap,000001,2025-05-29,0.6831,"[0.6,0.8)",2025-05-30,2026-06-11,2025-08-15,0.028668049273655294,0.029238754325259464,True,2026-08-07
trend_ma60_nonoverlap,000001,2026-07-28,0.7177,"[0.6,0.8)",2026-07-29,,,,,False,2026-08-07
trend_ma60_episode,000022,2012-02-23,0.8282,"[0.8,1.0454]",2012-02-24,2013-03-15,2012-03-26,0.21660305343511443,0.21660305343511443,True,2018-12-20
trend_ma60_episode,000022,2012-11-26,0.9219,"[0.8,1.0454]",2012-11-27,2013-12-17,2013-05-07,0.74475138121547,0.7447513812154694,True,2018-12-20
trend_stop_episode,000022,2012-02-23,0.8282,"[0.8,1.0454]",2012-02-24,2013-03-15,2012-03-26,0.21660305343511443,0.21660305343511443,True,2018-12-20
trend_stop_episode,000022,2012-11-26,0.9219,"[0.8,1.0454]",2012-11-27,2013-12-17,,0.74475138121547,0.7447513812154694,True,2018-12-20
trend_ma60_nonoverlap,000022,2012-02-23,0.8282,"[0.8,1.0454]",2012-02-24,2013-03-15,2012-03-26,0.21660305343511443,0.21660305343511443,True,2018-12-20
trend_ma60_episode,000063,2024-04-30,0.726,"[0.6,0.8)",2024-05-06,2025-05-16,2024-05-20,0.16798355767862416,0.16318719554627736,True,2026-08-28
trend_ma60_episode,000063,2024-07-11,0.7374,"[0.6,0.8)",2024-07-12,2025-07-24,2024-07-23,0.26560149598753013,0.2568134171907759,True,2026-08-28
trend_ma60_episode,000063,2024-10-11,0.7479,"[0.6,0.8)",2024-10-14,2025-10-23,2025-03-03,0.6158641364404689,0.6049654718842485,True,2026-08-28
trend_stop_episode,000063,2024-04-30,0.726,"[0.6,0.8)",2024-05-06,2025-05-16,2024-05-23,0.16798355767862416,0.16318719554627736,True,2026-08-28
trend_stop_episode,000063,2024-07-11,0.7374,"[0.6,0.8)",2024-07-12,2025-07-24,2024-07-23,0.26560149598753013,0.2568134171907759,True,2026-08-28
trend_stop_episode,000063,2024-10-11,0.7479,"[0.6,0.8)",2024-10-14,2025-10-23,,0.6158641364404689,0.6049654718842485,True,2026-08-28
trend_ma60_nonoverlap,000063,2024-04-30,0.726,"[0.6,0.8)",2024-05-06,2025-05-16,2024-05-20,0.16798355767862416,0.16318719554627736,True,2026-08-28
trend_ma60_episode,000333,2014-05-28,0.4614,"(0,0.6)",2014-05-29,2015-06-17,2014-09-22,1.1928562638329208,1.1928406466512702,True,2026-08-28
trend_ma60_episode,000333,2014-11-21,0.6815,"[0.6,0.8)",2014-11-24,2015-12-14,2015-06-19,0.39524508166290806,0.4037070524412296,True,2026-08-28
trend_ma60_episode,000333,2015-11-10,0.9335,"[0.8,1.0454]",2015-11-11,2016-12-02,2015-11-27,0.5817383125467355,0.5626698369565217,True,2026-08-28
trend_ma60_episode,000333,2015-12-02,0.9231,"[0.8,1.0454]",2015-12-03,2016-12-26,2016-01-07,0.5166455583981355,0.5005154639175258,True,2026-08-28
trend_ma60_episode,000333,2016-03-23,0.954,"[0.8,1.0454]",2016-03-24,2017-04-19,2016-09-12,0.7286516572230854,0.7021379980563651,True,2026-08-28
trend_ma60_episode,000333,2022-12-08,0.9798,"[0.8,1.0454]",2022-12-09,2023-12-20,2023-02-06,-0.012165205687815983,-0.014180478821362752,True,2026-08-28
trend_ma60_episode,000333,2023-02-21,1.0137,"[0.8,1.0454]",2023-02-22,2024-03-05,2023-02-27,0.2952980959413418,0.279651383099659,True,2026-08-28
trend_stop_episode,000333,2014-05-28,0.4614,"(0,0.6)",2014-05-29,2015-06-17,,1.1928562638329208,1.1928406466512702,True,2026-08-28
trend_ma60_nonoverlap,000333,2014-05-28,0.4614,"(0,0.6)",2014-05-29,2015-06-17,2014-09-22,1.1928562638329208,1.1928406466512702,True,2026-08-28
