group,horizon,code,signal_date,exec_date,pv,held,break_date,end_date,calendar_days,return,corrected_return,complete,missing_reason
rank1_daily,250,000001,2024-08-28,2024-08-29,0.5962,0,,2025-09-10,377,0.22250423133179065,0.2225042313317931,True,
rank1_daily,250,000001,2024-12-16,2024-12-17,0.6470,0,,2025-12-26,374,0.053249211955145315,0.05324921195514731,True,
rank1_daily,250,000001,2024-12-17,2024-12-18,0.6447,0,,2025-12-29,376,0.044206879330138005,0.04420687933014,True,
rank1_daily,250,000001,2024-12-30,2024-12-31,0.6682,0,,2026-01-13,378,0.03164956047917511,0.03164956047917711,True,
rank1_daily,250,000001,2024-12-31,2025-01-02,0.5981,0,,2026-01-14,377,0.0458917620877779,0.04589176208778012,True,
rank1_daily,250,000001,2026-04-14,2026-04-15,0.7154,0,,,,,,False,forward_incomplete
rank1_daily,250,000001,2026-04-15,2026-04-16,0.7179,0,,,,,,False,forward_incomplete
rank1_daily,250,000001,2026-04-16,2026-04-17,0.7103,0,,,,,,False,forward_incomplete
rank1_daily,250,000001,2026-04-20,2026-04-21,0.7083,0,,,,,,False,forward_incomplete
rank1_daily,250,000001,2026-04-27,2026-04-28,0.7288,0,,,,,,False,forward_incomplete
rank1_daily,250,000001,2026-04-28,2026-04-29,0.7340,1,,,,,,False,forward_incomplete
rank1_daily,250,000001,2026-04-29,2026-04-30,0.7378,1,,,,,,False,forward_incomplete
rank1_daily,250,000001,2026-04-30,2026-05-06,0.7224,1,,,,,,False,forward_incomplete
rank1_daily,250,000001,2026-05-06,2026-05-07,0.7143,1,,,,,,False,forward_incomplete
rank1_daily,250,000001,2026-05-07,2026-05-08,0.7149,1,,,,,,False,forward_incomplete
rank1_daily,250,000001,2026-05-08,2026-05-11,0.7105,1,,,,,,False,forward_incomplete
rank1_ma60_episode,250,000001,2024-08-28,2024-08-29,0.5962,0,2024-08-29,2025-09-10,377,0.22250423133179065,0.2225042313317931,True,
rank1_ma60_episode,250,000001,2024-12-16,2024-12-17,0.6470,0,2025-01-02,2025-12-26,374,0.053249211955145315,0.05324921195514731,True,
rank1_ma60_episode,250,000001,2026-04-14,2026-04-15,0.7154,0,2026-05-15,,,,,False,forward_incomplete
rank1_stop_episode,250,000001,2024-08-28,2024-08-29,0.5962,0,2024-08-29,2025-09-10,377,0.22250423133179065,0.2225042313317931,True,
rank1_stop_episode,250,000001,2024-12-16,2024-12-17,0.6470,0,2025-01-02,2025-12-26,374,0.053249211955145315,0.05324921195514731,True,
rank1_stop_episode,250,000001,2026-04-14,2026-04-15,0.7154,0,2026-05-18,,,,,False,forward_incomplete
rank1_ma60_nonoverlap,250,000001,2024-08-28,2024-08-29,0.5962,0,2024-08-29,2025-09-10,377,0.22250423133179065,0.2225042313317931,True,
rank1_ma60_nonoverlap,250,000001,2026-04-14,2026-04-15,0.7154,0,2026-05-15,,,,,False,forward_incomplete
rank1_daily,750,000001,2024-08-28,2024-08-29,0.5962,0,,,,,,False,forward_incomplete
rank1_daily,750,000001,2024-12-16,2024-12-17,0.6470,0,,,,,,False,forward_incomplete
rank1_daily,750,000001,2024-12-17,2024-12-18,0.6447,0,,,,,,False,forward_incomplete
