group,bp,arm,start,cagr,cagr_delta,mdd,mdd_delta
full,0,BASE,2009-11-01,0.37340773352867385,0.0,0.4628639095528936,0.0
full,0,BASE,2011-11-01,0.38470390572052815,0.0,0.47500191750839327,0.0
full,0,P20,2009-11-01,0.24365209085276796,-0.1297556426759059,0.3555510148037482,-0.1073128947491454
full,0,P20,2011-11-01,0.250081227033603,-0.13462267868692512,0.3410033908511161,-0.13399852665727718
full,0,P24,2009-11-01,0.2912559330523474,-0.08215180047632642,0.42114528628395975,-0.04171862326893383
full,0,P24,2011-11-01,0.36009625884409857,-0.02460764687642958,0.4214896751680499,-0.05351224234034335
full,0,P28,2009-11-01,0.3390889291135597,-0.034318804415114146,0.466604140587379,0.0037402310344853973
full,0,P28,2011-11-01,0.3734566208177297,-0.011247284902798471,0.4637938136973644,-0.01120810381102888
full,0,V25,2009-11-01,0.27132947673787067,-0.10207825679080318,0.32216340993304526,-0.14070049961984832
full,0,V25,2011-11-01,0.29811837150327225,-0.0865855342172559,0.3467356912576328,-0.12826622625076045
full,0,V30,2009-11-01,0.2453287234532755,-0.12807901007539835,0.3740094659024694,-0.08885444365042416
full,0,V30,2011-11-01,0.2697468369858167,-0.11495706873471145,0.361246692743055,-0.11375522476533828
full,0,V35,2009-11-01,0.26432533486867826,-0.10908239865999558,0.4245492005183311,-0.038314709034562466
full,0,V35,2011-11-01,0.2812043441336127,-0.10349956158691542,0.40666963530772704,-0.06833228220066623
full,0,V30L60,2009-11-01,0.2820167572382537,-0.09139097629042015,0.3747012972434358,-0.08816261230945777
full,0,V30L60,2011-11-01,0.3033074093930903,-0.08139649632743784,0.3829416324552076,-0.09206028505318564
full,0,V30F080,2009-11-01,0.21487782780218811,-0.15852990572648573,0.35953386760271755,-0.10333004195017603
full,0,V30F080,2011-11-01,0.23691619511776874,-0.14778771060275941,0.3692470194442886,-0.10575489806410465
full,0,F100,2009-11-01,0.24764270795294174,-0.1257650255757321,0.27256859930765065,-0.19029531024524293
full,0,F100,2011-11-01,0.24641509878357937,-0.13828880693694878,0.36787671145229595,-0.10712520605609732
full,0,F120,2009-11-01,0.2719363005117845,-0.10147143301688932,0.34735631513640575,-0.11550759441648784
full,0,F120,2011-11-01,0.2940634273787124,-0.09064047834181577,0.36778022465024274,-0.10722169285815053
full,0,F140,2009-11-01,0.2602877282539666,-0.11312000527470722,0.4574648923407203,-0.005399017212173285
full,0,F140,2011-11-01,0.303572696849882,-0.08113120887064618,0.45179248969982577,-0.023209427808567495
full,0,P24V30,2009-11-01,0.22285979040806536,-0.15054794312060849,0.3615222943607196,-0.101341615192174
full,0,P24V30,2011-11-01,0.2493583319975965,-0.13534557372293166,0.3639775797519701,-0.11102433775642317
A,0,BASE,2009-11-01,0.4217697428514118,0.0,0.49071422682846266,0.0
A,0,BASE,2011-11-01,0.4909802361782549,0.0,0.4910206159542475,0.0
A,0,P20,2009-11-01,0.28435129676585325,-0.13741844608555853,0.38273449685922833,-0.10797972996923433
A,0,P20,2011-11-01,0.3176475790689428,-0.17333265710931212,0.3650136507223063,-0.12600696523194121
A,0,P24,2009-11-01,0.3631787389529517,-0.05859100389846006,0.4586962950370007,-0.03201793179146195
A,0,P24,2011-11-01,0.3992201542772724,-0.0917600819009825,0.4379432935386701,-0.05307732241557739
A,0,P28,2009-11-01,0.40126630242812045,-0.02050344042329133,0.4947658269182541,0.004051600089791441
A,0,P28,2011-11-01,0.46042044287671513,-0.030559793301539795,0.4803357111904689,-0.010684904763778591
A,0,V25,2009-11-01,0.296394507979582,-0.12537523487182978,0.3824367298337771,-0.10827749699468558
A,0,V25,2011-11-01,0.3122718057006013,-0.1787084304776536,0.40896216643838423,-0.08205844951586327
A,0,V30,2009-11-01,0.280540585668722,-0.1412291571826898,0.39637887583310294,-0.09433535099535972
A,0,V30,2011-11-01,0.32988613348544216,-0.16109410269281277,0.33946106290676636,-0.15155955304748114
A,0,V35,2009-11-01,0.31605337770351216,-0.10571636514789962,0.4111749976480369,-0.07953922918042577
A,0,V35,2011-11-01,0.3351499905506514,-0.1558302456276035,0.4028438464773315,-0.088176769476916
A,0,V30L60,2009-11-01,0.3174546813568324,-0.10431506149457936,0.39637887583310294,-0.09433535099535972
A,0,V30L60,2011-11-01,0.3389536107657696,-0.15202662541248535,0.34255840586602493,-0.14846221008822258
A,0,V30F080,2009-11-01,0.2635649567414069,-0.15820478611000488,0.39368571251250073,-0.09702851431596193
A,0,V30F080,2011-11-01,0.2969741778266386,-0.19400605835161633,0.3542279226357269,-0.13679269331852062
A,0,F100,2009-11-01,0.24982082533901617,-0.1719489175123956,0.407532708941061,-0.08318151788740169
A,0,F100,2011-11-01,0.2712848963620853,-0.21969533981616962,0.3709672826226619,-0.12005333333158563
A,0,F120,2009-11-01,0.30985674410232744,-0.11191299874908434,0.4128398659873861,-0.07787436084107657
A,0,F120,2011-11-01,0.3483619991075184,-0.1426182370707365,0.4266438897865259,-0.06437672616772161
A,0,F140,2009-11-01,0.32660419094131354,-0.09516555191009823,0.4456723949982919,-0.04504183183017074
A,0,F140,2011-11-01,0.32533266943028627,-0.16564756674796866,0.4785318923703793,-0.012488723583868211
A,0,P24V30,2009-11-01,0.28724511222768134,-0.13452463062373043,0.40088725949526016,-0.0898269673332025
A,0,P24V30,2011-11-01,0.31338945903481985,-0.17759077714343507,0.3874278865325773,-0.1035927294216702
U1,0,BASE,2009-11-01,0.43793227740933904,0.0,0.464713956275169,0.0
U1,0,BASE,2011-11-01,0.4742246078099046,0.0,0.4697496744927422,0.0
U1,0,P20,2009-11-01,0.2720739117756992,-0.16585836563363987,0.3944374892772209,-0.0702764669979481
U1,0,P20,2011-11-01,0.32513620826314527,-0.14908839954675934,0.3489309597330156,-0.12081871475972661
