arm,bp,verdict,reasons,old_verdict,old_reasons,main_full,main_A,cagr_full,cagr_A,mdd_full,mdd_A,u_group,u_qualified,u_failures
P20,0,不采纳,主读数 -19.41pp < −1pp；回撤通道未过：主读数 -19.41pp < −1pp；复利读数 -18.09pp < −0.15pp；滚5最差 -10.17pp < −0.15pp,不采纳,主读数 -19.41pp < −1pp；回撤通道未过：主读数 -19.41pp < −1pp；复利读数 -18.09pp < −0.15pp；滚5最差 -10.17pp < −0.15pp,-0.19186247099999998,-0.19409823435000004,-0.18085524663174568,-0.17147537077400044,-0.10339252733256099,-0.12213193105334014,U1,False,滚5中位 -19.08pp；滚5P25 -13.32pp；滚5最差 -5.08pp；滚5Calmar -0.1279；滚5Sharpe -0.1280；年化 -16.46pp；Calmar -0.1292；Sharpe -0.1021；5年块中位 -21.67pp；滚3中位 -16.33pp；逐年中位 -16.57pp
P24,0,不采纳,主读数 -13.65pp < −1pp；回撤通道未过：主读数 -13.65pp < −1pp；复利读数 -9.10pp < −0.15pp；滚5最差 -0.36pp < −0.15pp,不采纳,主读数 -13.65pp < −1pp；回撤通道未过：主读数 -13.65pp < −1pp；复利读数 -9.10pp < −0.15pp；滚5最差 -0.36pp < −0.15pp,-0.060259040350000015,-0.13653055515,-0.08442442811699091,-0.0909810063369565,-0.051599028856511686,-0.05717913821209991,U2,False,滚5中位 -13.23pp；滚5P25 -7.13pp；滚5Calmar -0.0228；滚5Sharpe -0.0547；年化 -9.10pp；Calmar -0.0651；Sharpe -0.0292；5年块中位 -13.58pp；滚3中位 -9.84pp；逐年中位 -9.40pp
P28,0,不采纳,主读数 -6.36pp < −1pp,不采纳,主读数 -6.36pp < −1pp,-0.03603924717000001,-0.06359834479999996,-0.03551145396978761,-0.02942650630786625,0.002484807635866171,-0.025902598529177978,U2,False,滚5中位 -5.98pp；滚5P25 -3.49pp；滚5Calmar -0.0663；滚5Sharpe -0.0458；年化 -2.94pp；Calmar -0.0086；Sharpe -0.0167；5年块中位 -5.80pp；滚3中位 -3.59pp
V25,0,不采纳,主读数 -20.42pp < −1pp；回撤通道未过：主读数 -20.42pp < −1pp；复利读数 -17.79pp < −0.15pp；滚5最差 -2.58pp < −0.15pp,不采纳,主读数 -20.42pp < −1pp；回撤通道未过：主读数 -20.42pp < −1pp；复利读数 -17.79pp < −0.15pp；滚5最差 -2.58pp < −0.15pp,-0.10831505640000003,-0.20416878914999997,-0.14210687942887468,-0.17785677642367015,-0.12354168732672416,-0.11634816584439406,U1,False,滚5中位 -16.89pp；滚5P25 -14.12pp；滚5最差 -4.33pp；滚5Calmar -0.0339；滚5Sharpe -0.0100；年化 -16.17pp；Calmar -0.1200；Sharpe -0.0563；5年块中位 -18.90pp；滚3中位 -14.27pp；逐年中位 -18.77pp
V30,0,不采纳,主读数 -17.61pp < −1pp；回撤通道未过：主读数 -17.61pp < −1pp；复利读数 -16.42pp < −0.15pp；滚5最差 -1.87pp < −0.15pp,不采纳,主读数 -17.61pp < −1pp；回撤通道未过：主读数 -17.61pp < −1pp；复利读数 -16.42pp < −0.15pp；滚5最差 -1.87pp < −0.15pp,-0.1328240697,-0.17613028315,-0.14437996504962392,-0.1641624784283905,-0.09370511791582181,-0.14062751873404417,U1,False,滚5中位 -17.23pp；滚5P25 -12.10pp；滚5最差 -2.87pp；滚5Calmar -0.0289；滚5Sharpe -0.0196；年化 -15.75pp；Calmar -0.1164；Sharpe -0.0797；5年块中位 -19.43pp；滚3中位 -11.83pp；逐年中位 -18.67pp
V35,0,不采纳,主读数 -14.25pp < −1pp,不采纳,主读数 -14.25pp < −1pp,-0.10767715375000003,-0.14247870790000003,-0.11626092072505145,-0.13621136758387065,-0.04963990089263404,-0.14648241211283286,U1,False,滚5中位 -18.28pp；滚5P25 -13.21pp；滚5最差 -2.50pp；滚5Calmar -0.1587；滚5Sharpe -0.1106；年化 -14.49pp；Calmar -0.1590；Sharpe -0.0877；5年块中位 -18.17pp；滚3中位 -10.93pp；逐年中位 -15.70pp
V30L60,0,不采纳,主读数 -17.05pp < −1pp；回撤通道未过：主读数 -17.05pp < −1pp；复利读数 -13.85pp < −0.15pp；滚5最差 -2.33pp < −0.15pp,不采纳,主读数 -17.05pp < −1pp；回撤通道未过：主读数 -17.05pp < −1pp；复利读数 -13.85pp < −0.15pp；滚5最差 -2.33pp < −0.15pp,-0.1072927877,-0.17048797975000002,-0.11505300476348279,-0.1385088502527988,-0.08132597303219857,-0.13440370419196107,U2,False,滚5中位 -15.85pp；滚5P25 -9.24pp；滚5最差 -0.24pp；滚5Sharpe -0.0342；年化 -13.85pp；Sharpe -0.0486；5年块中位 -20.12pp；滚3中位 -12.71pp；逐年中位 -13.82pp
V30F080,0,不采纳,主读数 -21.05pp < −1pp；回撤通道未过：主读数 -21.05pp < −1pp；复利读数 -19.55pp < −0.15pp；滚5最差 -7.19pp < −0.15pp,不采纳,主读数 -21.05pp < −1pp；回撤通道未过：主读数 -21.05pp < −1pp；复利读数 -19.55pp < −0.15pp；滚5最差 -7.19pp < −0.15pp,-0.16894445385,-0.21049712535000004,-0.16970315565680683,-0.19554884621675128,-0.09760047234766328,-0.14748725270064256,U1,False,滚5中位 -20.29pp；滚5P25 -15.13pp；滚5最差 -2.05pp；滚5Calmar -0.0937；滚5Sharpe -0.0941；年化 -18.43pp；Calmar -0.1039；Sharpe -0.1215；5年块中位 -25.09pp；滚3中位 -14.85pp；逐年中位 -20.79pp
F100,0,不采纳,主读数 -24.55pp < −1pp；回撤通道未过：主读数 -24.55pp < −1pp；复利读数 -22.63pp < −0.15pp；滚5最差 -11.21pp < −0.15pp,不采纳,主读数 -24.55pp < −1pp；回撤通道未过：主读数 -24.55pp < −1pp；复利读数 -22.63pp < −0.15pp；滚5最差 -11.21pp < −0.15pp,-0.18422015425,-0.24549487209999998,-0.1909451700697976,-0.22632404735709244,-0.11196603781204517,-0.1285353650647208,U2,False,滚5中位 -23.80pp；滚5P25 -19.59pp；滚5最差 -9.85pp；滚5Calmar -0.1550；滚5Sharpe -0.1681；年化 -22.63pp；Calmar -0.2471；Sharpe -0.1605；5年块中位 -29.07pp；滚3中位 -20.86pp；逐年中位 -16.27pp
F120,0,不采纳,主读数 -14.51pp < −1pp；回撤通道未过：主读数 -14.51pp < −1pp；复利读数 -15.06pp < −0.15pp；滚5最差 -5.25pp < −0.15pp,不采纳,主读数 -14.51pp < −1pp；回撤通道未过：主读数 -14.51pp < −1pp；复利读数 -15.06pp < −0.15pp；滚5最差 -5.25pp < −0.15pp,-0.11772275594999998,-0.14513269175000001,-0.15062537423441347,-0.14484615404341672,-0.10759858354076118,-0.07767545632379025,U1,False,滚5中位 -16.06pp；滚5P25 -13.77pp；滚5最差 -5.97pp；滚5Calmar -0.1206；滚5Sharpe -0.1335；年化 -14.85pp；Calmar -0.1400；Sharpe -0.0882；5年块中位 -18.22pp；滚3中位 -14.15pp；逐年中位 -14.92pp
