group,arm,start,days,active_days,active_fraction,missing_days,mean_exposure,stress_overshoot_days,min_risk_cap,first_active
full,P20,2009-11-01,4088,3648,0.8923679060665362,0,0.915482107685019,54,1.0,2010-07-01
full,P20,2010-05-01,3965,3652,0.9210592686002522,0,0.9534640227924339,37,1.0,2010-07-01
full,P20,2010-11-01,3847,3602,0.9363140109175981,0,0.9306901629171919,48,1.0,2011-06-01
full,P20,2011-05-01,3725,3460,0.9288590604026845,0,0.9949287388338266,71,1.0,2011-06-01
full,P20,2011-11-01,3602,3427,0.9514158800666297,0,1.0079080322207414,54,1.0,2011-11-02
full,P20,2012-05-01,3483,3295,0.9460235429227677,0,1.0269457971665092,54,1.0,2012-05-03
full,P20,2012-11-01,3358,3235,0.9633710541989279,0,0.9957673181855518,48,1.0,2012-11-02
full,P20,2013-05-01,3241,3030,0.9348966368404813,0,1.0273246958473115,53,1.0,2013-05-03
full,P20,2013-11-01,3120,2904,0.9307692307692308,0,1.013355704582777,44,1.0,2013-11-04
full,P20,2014-05-01,2998,2788,0.9299533022014677,0,1.0490496727481782,55,1.0,2014-05-06
full,P20,2014-11-01,2875,2758,0.959304347826087,0,0.9994784040961576,70,1.0,2014-11-04
full,P20,2015-05-01,2754,2537,0.9212055192447349,0,1.0518391769846502,46,1.0,2015-08-03
full,P20,2015-11-01,2632,2584,0.9817629179331308,0,1.0612673951464116,61,1.0,2015-11-03
full,P20,2016-05-01,2509,2456,0.9788760462335592,0,1.0087065334720058,28,1.0,2016-05-04
full,P24,2009-11-01,4088,3157,0.7722602739726028,0,1.1850555294617275,110,1.2,2010-07-01
full,P24,2010-05-01,3965,3047,0.7684741488020177,0,1.226905969741854,129,1.2,2010-07-01
full,P24,2010-11-01,3847,3086,0.8021835196256824,0,1.2303853010202184,120,1.2,2011-06-01
full,P24,2011-05-01,3725,3065,0.8228187919463087,0,1.246976486431485,124,1.2,2011-06-01
full,P24,2011-11-01,3602,2977,0.8264852859522488,0,1.2863483110540133,107,1.2,2011-11-02
full,P24,2012-05-01,3483,2849,0.8179730117714614,0,1.2926420194768669,89,1.2,2012-05-03
