date,security_code,action,shares,price,amount,pv_ratio,intrinsic_value,reason,security_name
2013-05-03,600309,买入,8000,18.730,149840,0.7894,23.867,首次建仓,万华化学
2013-05-06,600066,买入,5100,29.190,148869,0.7834,37.032,首次建仓,宇通客车
2013-05-06,600309,买入,7900,18.900,149310,0.8085,23.167,定投加仓,万华化学
2013-05-07,600066,买入,5000,29.980,149900,0.7882,37.032,定投加仓,宇通客车
2013-05-07,600309,买入,8000,18.710,149680,0.8158,23.167,定投加仓,万华化学
2013-05-08,600309,买入,8000,18.730,149840,0.8076,23.167,定投加仓,万华化学
2013-05-08,600066,买入,5000,29.890,149450,0.8096,37.032,定投加仓,宇通客车
2013-05-09,600066,买入,4700,32.080,150776,0.8071,37.032,定投加仓,宇通客车
2013-05-09,600309,买入,8200,18.240,149568,0.8085,23.167,定投加仓,万华化学
2013-05-10,600309,买入,8200,18.520,151864,0.7873,23.167,定投加仓,万华化学
2013-05-10,600066,买入,4600,32.450,149270,0.8663,37.032,定投加仓,宇通客车
2013-05-13,600309,买入,8300,18.080,150064,0.7994,23.167,定投加仓,万华化学
2013-05-13,600066,买入,4600,32.480,149408,0.8763,37.032,定投加仓,宇通客车
2013-05-13,601939,买入,31200,4.820,150384,0.9829,4.934,首次建仓,建设银行
2013-05-14,600309,买入,8300,17.950,148985,0.7804,23.167,定投加仓,万华化学
2013-05-14,600066,买入,4600,32.220,148212,0.8771,37.032,定投加仓,宇通客车
2013-05-14,601939,买入,31500,4.760,149940,0.9768,4.934,定投加仓,建设银行
2013-05-15,600309,买入,8600,17.720,152392,0.7748,23.167,定投加仓,万华化学
2013-05-15,601939,买入,32100,4.760,152796,0.9647,4.934,定投加仓,建设银行
2013-05-16,600660,买入,17500,8.680,151900,0.6860,12.507,首次建仓,福耀玻璃
2013-05-16,600309,买入,8400,18.180,152712,0.7649,23.167,定投加仓,万华化学
2013-05-16,600066,买入,8400,18.030,151452,0.9270,20.184,定投加仓,宇通客车
2013-05-16,601939,买入,31700,4.810,152477,0.9647,4.934,定投加仓,建设银行
2013-05-17,600660,买入,17700,8.750,154875,0.6940,12.507,定投加仓,福耀玻璃
