date,security_code,action,shares,price,amount,pv_ratio,intrinsic_value,reason,security_name
2010-12-01,000651,买入,8300,17.970,149151,1.0164,17.089,首次建仓,格力电器
2010-12-03,000651,买入,8400,17.780,149352,1.0404,17.089,定投加仓,格力电器
2010-12-06,000651,买入,8500,17.620,149770,1.0404,17.089,定投加仓,格力电器
2010-12-07,000651,买入,8400,17.660,148344,1.0311,17.089,定投加仓,格力电器
2010-12-08,000651,买入,8400,17.650,148260,1.0334,17.089,定投加仓,格力电器
2010-12-09,000651,买入,8600,17.300,148780,1.0328,17.089,定投加仓,格力电器
2010-12-10,000651,买入,8600,17.180,147748,1.0123,17.089,定投加仓,格力电器
2010-12-13,000651,买入,8300,18.180,150894,1.0053,17.089,定投加仓,格力电器
2010-12-17,000651,买入,8400,17.920,150528,1.0434,17.089,定投加仓,格力电器
2010-12-28,000651,买入,8500,17.340,147390,1.0235,17.089,定投加仓,格力电器
2010-12-29,000651,买入,8500,17.520,148920,1.0147,17.089,定投加仓,格力电器
2010-12-30,000651,买入,8400,17.730,148932,1.0252,17.089,定投加仓,格力电器
2010-12-31,000651,买入,1800,18.130,32634,1.0375,17.089,定投加仓,格力电器
2011-01-13,000651,买入,500,17.270,8635,1.0030,17.089,定投加仓,格力电器
2011-01-17,000651,卖出,103600,16.390,1698004,,,跌破建仓日MA60止损,格力电器
2011-02-09,600309,买入,7100,20.160,143136,1.0414,18.897,首次建仓,万华化学
2011-02-16,600660,买入,11700,12.290,143793,1.0168,11.930,首次建仓,福耀玻璃
2011-02-17,600660,买入,11900,12.040,143276,1.0302,11.930,定投加仓,福耀玻璃
2011-02-18,600660,买入,12200,11.720,142984,1.0092,11.930,定投加仓,福耀玻璃
2011-02-21,600660,买入,11900,12.120,144228,0.9824,11.930,定投加仓,福耀玻璃
2011-02-22,600660,买入,12200,11.730,143106,1.0159,11.930,定投加仓,福耀玻璃
2011-02-23,600660,买入,12200,11.780,143716,0.9832,11.930,定投加仓,福耀玻璃
2011-02-24,600660,买入,12200,11.760,143472,0.9874,11.930,定投加仓,福耀玻璃
2011-02-25,600660,买入,12100,11.920,144232,0.9857,11.930,定投加仓,福耀玻璃
2011-02-28,600660,买入,11800,12.530,147854,0.9991,11.930,定投加仓,福耀玻璃
2011-03-02,600660,买入,11700,12.590,147303,0.9963,12.627,定投加仓,福耀玻璃
2011-03-03,601088,买入,5800,25.450,147610,0.9591,26.994,首次建仓,中国神华
2011-03-03,600660,买入,11700,12.720,148824,0.9971,12.627,定投加仓,福耀玻璃
2011-03-04,601088,买入,5800,25.790,149582,0.9428,26.994,定投加仓,中国神华
2011-03-04,600660,买入,9600,12.800,122880,1.0074,12.627,定投加仓,福耀玻璃
2011-03-07,601088,买入,5300,28.370,150361,0.9554,26.994,定投加仓,中国神华
2011-03-07,600660,买入,500,12.770,6385,1.0137,12.627,定投加仓,福耀玻璃
2011-03-08,600660,买入,900,12.800,11520,1.0114,12.627,定投加仓,福耀玻璃
2011-03-11,601088,买入,5400,26.980,145692,1.0169,26.994,定投加仓,中国神华
2011-03-14,600660,买入,2600,12.650,32890,0.9789,12.627,定投加仓,福耀玻璃
2011-03-14,601088,买入,5400,27.440,148176,0.9995,26.994,定投加仓,中国神华
2011-03-15,601088,买入,5400,26.690,144126,1.0165,26.994,定投加仓,中国神华
2011-03-16,601088,买入,5300,27.880,147764,0.9888,26.994,定投加仓,中国神华
2011-03-17,601088,买入,5200,28.080,146016,1.0328,26.994,定投加仓,中国神华
2011-03-18,600660,买入,1900,12.180,23142,0.9583,12.627,定投加仓,福耀玻璃
2011-03-18,601088,买入,5200,28.380,147576,1.0402,26.994,定投加仓,中国神华
2011-03-23,600660,买入,1200,12.500,15000,0.9718,12.627,定投加仓,福耀玻璃
2011-03-23,601088,买入,5200,28.750,149500,1.0443,26.994,定投加仓,中国神华
2011-03-24,000651,买入,6600,22.520,148632,0.8904,25.203,首次建仓,格力电器
2011-03-25,000651,买入,6500,23.960,155740,0.8935,25.203,定投加仓,格力电器
2011-03-25,600660,买入,2700,12.840,34668,0.9821,12.627,定投加仓,福耀玻璃
2011-03-28,000651,买入,6500,24.070,156455,0.9507,25.203,定投加仓,格力电器
2011-03-29,000651,买入,6600,23.200,153120,0.9550,25.203,定投加仓,格力电器
2011-03-30,000651,买入,6600,23.250,153450,0.9205,25.203,定投加仓,格力电器
2011-03-31,000651,买入,6600,22.660,149556,0.9225,25.203,定投加仓,格力电器
2011-04-01,000651,买入,6600,22.820,150612,0.8991,25.203,定投加仓,格力电器
2011-04-01,600660,买入,2900,11.840,34336,0.9837,12.057,定投加仓,福耀玻璃
2011-04-06,000651,买入,6600,22.530,148698,0.9054,25.203,定投加仓,格力电器
2011-04-07,000651,买入,6500,23.630,153595,0.8939,25.203,定投加仓,格力电器
2011-04-07,600660,买入,6200,11.950,74090,0.9646,12.057,定投加仓,福耀玻璃
2011-04-08,000651,买入,5200,23.800,123760,0.9376,25.203,定投加仓,格力电器
2011-04-28,600660,卖出,160100,10.460,1674646,,,跌破建仓日MA60止损,福耀玻璃
2011-04-28,000651,买入,6200,21.390,132618,0.8094,26.787,定投加仓,格力电器
2011-04-29,000651,买入,6200,21.980,136276,0.7985,26.787,定投加仓,格力电器
2011-05-03,601088,买入,2100,29.810,62601,1.0021,29.589,定投加仓,中国神华
2011-05-05,601088,买入,100,28.030,2803,0.9504,29.589,定投加仓,中国神华
2011-05-09,601088,买入,2300,27.790,63917,0.9324,29.589,定投加仓,中国神华
2011-05-10,601088,买入,500,28.080,14040,0.9392,29.589,定投加仓,中国神华
2011-05-13,601088,买入,600,28.080,16848,0.9284,29.589,定投加仓,中国神华
2011-06-30,601088,买入,700,30.140,21098,1.0174,28.839,定投加仓,中国神华
2011-07-04,000651,买入,800,23.800,19040,0.8869,26.487,定投加仓,格力电器
2011-07-08,000651,买入,1000,23.400,23400,0.8710,26.487,定投加仓,格力电器
2011-07-13,601088,买入,800,30.280,24224,1.0319,28.839,定投加仓,中国神华
2011-07-19,600660,买入,14100,10.230,144243,0.9418,11.043,首次建仓,福耀玻璃
2011-07-20,600660,买入,13800,10.400,143520,0.9264,11.043,定投加仓,福耀玻璃
2011-07-21,600660,买入,13800,10.290,142002,0.9418,11.043,定投加仓,福耀玻璃
2011-07-22,600660,买入,14200,10.360,147112,0.9318,11.043,定投加仓,福耀玻璃
2011-07-25,600660,卖出,55900,9.920,554528,,,跌破建仓日MA60止损,福耀玻璃
2011-10-11,600309,卖出,9230,13.880,128112,,,跌破建仓日MA60止损,万华化学
2011-10-20,000651,卖出,78500,18.300,1436550,,,跌破建仓日MA60止损,格力电器
2011-11-07,600897,买入,8100,14.010,113481,0.9968,14.126,首次建仓,
2011-11-08,600897,买入,8200,13.920,114144,0.9918,14.126,定投加仓,
