arm,blocked,distinct_sources,matched_base,rebound,breakdown,censored,source_minus_basket60,first_divergence,swap_sales,contrib_delta,top3,top3_signed_fraction
WJ_WK3DP3,168,39,73,76,37,0,0.0377943106120682,2012-03-07,217,-0.048785999999999864,000933/600309/002466,-2.4404542286721673
WJ_FLAT,8,3,5,4,2,0,0.20497279347501102,2013-10-25,226,-0.03296899999999985,002466/000651/600309,-3.4180593891231332
WJ_FS04,6,2,4,4,2,0,0.20497279347501102,2013-10-25,228,-0.05417999999999969,002466/000651/600309,-2.22742709486897
WJ_FS06,6,2,4,4,2,0,-0.015832785458869236,2013-08-30,210,-0.1340389999999997,600660/688516/000651,0.7850923984810386
WJ_FX3,17,8,7,11,2,0,0.0019939817764308265,2013-10-25,216,-0.6264749999999998,688516/601225/601988,0.5447655532942257
WJ_FX5,4,1,2,2,2,0,,2013-10-25,230,-0.03531499999999978,000651/600309/000338,3.0627778564349586
WJ_FD15,8,3,5,4,2,0,0.20497279347501102,2013-10-25,226,-0.03296899999999985,002466/000651/600309,-3.4180593891231332
WJ_FD25,15,6,5,7,3,0,0.08749598027287776,2013-09-02,209,-0.5923469999999998,601225/601088/000651,0.9191014726165574
WJ_R3,12,9,8,6,4,0,0.07714811029000818,2014-06-05,203,-0.1925059999999999,000792/688516/000651,0.1252896013630739
WJ_R5,13,12,11,8,3,0,0.11121452418400857,2013-09-30,203,-0.16662999999999972,688516/600660/002466,-0.5083418352037459
WJ_R10,12,11,9,6,5,0,0.07949853318911262,2013-09-30,202,-0.22798600000000005,688516/000792/600660,-0.48176203801987877
WJ_RF5,1,1,1,1,0,0,0.17388761641058537,2025-03-25,223,-0.02297699999999983,688516/002466/601187,0.9390259825042498
WJ_RF10,1,1,1,1,0,0,0.17388761641058537,2025-03-25,223,-0.02297699999999983,688516/002466/601187,0.9390259825042498
