arm,first_date,side,code,action,shares,price,reason
WJ_WK3DP3,2012-03-07,BASE,000338,买入,1500,34.100,定投加仓
WJ_WK3DP3,2012-03-07,BASE,000651,买入,100,21.210,定投加仓
WJ_WK3DP3,2012-03-07,BASE,600585,卖出,8400,16.860,换仓：让位给空间更大的000022
WJ_FLAT,2013-10-25,BASE,601988,卖出,100,2.780,换仓：让位给空间更大的600188
WJ_FS04,2013-10-25,BASE,601988,卖出,100,2.780,换仓：让位给空间更大的600188
WJ_FS06,2013-08-30,BASE,000933,买入,11400,5.760,定投加仓
WJ_FS06,2013-08-30,BASE,600066,卖出,6800,17.300,换仓·减一档：让位给000338
WJ_FS06,2013-08-30,WJ_FS06,600585,卖出,500,15.140,换仓：让位给空间更大的000338
WJ_FX3,2013-10-25,BASE,601988,卖出,100,2.780,换仓：让位给空间更大的600188
WJ_FX5,2013-10-25,BASE,601988,卖出,100,2.780,换仓：让位给空间更大的600188
WJ_FD15,2013-10-25,BASE,601988,卖出,100,2.780,换仓：让位给空间更大的600188
WJ_FD25,2013-09-02,BASE,000338,买入,200,19.510,首次建仓
WJ_FD25,2013-09-02,BASE,000933,买入,20200,5.860,定投加仓
WJ_FD25,2013-09-02,BASE,600066,卖出,6600,17.870,换仓·减一档：让位给000338
WJ_FD25,2013-09-02,WJ_FD25,000933,买入,2100,5.860,定投加仓
WJ_FD25,2013-09-02,WJ_FD25,600585,卖出,500,15.690,换仓：让位给空间更大的000338
WJ_R3,2014-06-05,BASE,002128,买入,20300,6.680,定投加仓
WJ_R3,2014-06-05,BASE,600660,卖出,16700,8.100,换仓·减一档：让位给000333
WJ_R3,2014-06-05,BASE,601088,买入,2300,14.380,定投加仓
WJ_R3,2014-06-05,WJ_R3,002128,买入,5000,6.680,定投加仓
WJ_R5,2013-09-30,BASE,000933,买入,2900,5.490,定投加仓
WJ_R5,2013-09-30,BASE,600066,卖出,7100,18.400,换仓·减一档：让位给600188
WJ_R5,2013-09-30,BASE,601988,买入,100,2.780,定投加仓
WJ_R10,2013-09-30,BASE,000933,买入,2900,5.490,定投加仓
WJ_R10,2013-09-30,BASE,600066,卖出,7100,18.400,换仓·减一档：让位给600188
WJ_R10,2013-09-30,BASE,601988,买入,100,2.780,定投加仓
WJ_RF5,2025-03-25,BASE,000792,买入,100,16.760,定投加仓
WJ_RF5,2025-03-25,BASE,002466,买入,119600,31.220,定投加仓
WJ_RF5,2025-03-25,BASE,601187,买入,100,5.880,定投加仓
WJ_RF5,2025-03-25,BASE,601229,卖出,403800,9.430,换仓：让位给空间更大的000661
WJ_RF10,2025-03-25,BASE,000792,买入,100,16.760,定投加仓
WJ_RF10,2025-03-25,BASE,002466,买入,119600,31.220,定投加仓
WJ_RF10,2025-03-25,BASE,601187,买入,100,5.880,定投加仓
WJ_RF10,2025-03-25,BASE,601229,卖出,403800,9.430,换仓：让位给空间更大的000661
