signal_date,exec_date,source_code,close,ma,ma_prev,weak_run,cross_count,hold_pv,trigger_code,trigger_pv,block_reason,next_source,shares_held
2012-03-06,2012-03-07,600585,17.1900,17.5990,17.1370,0,0,1.0467,000022,0.8726,均线未下行,,8400
2012-03-07,2012-03-08,600585,16.8600,17.5845,17.1805,0,0,1.0266,000022,0.8653,均线未下行,,8400
2012-03-09,2012-03-12,600585,17.4200,17.5670,17.2295,0,0,1.0607,000022,0.9016,均线未下行,,8400
2012-03-12,2012-03-13,600585,17.1800,17.5635,17.2750,0,0,1.0461,000022,0.8815,均线未下行,,8400
2012-03-13,2012-03-14,600585,17.2900,17.5730,17.3305,0,0,1.0528,000022,0.8815,均线未下行,,8400
2012-05-18,2012-05-21,600309,14.0800,14.1985,13.5120,0,0,0.9656,600660,0.7263,均线未下行,,51700
2012-05-21,2012-05-22,600897,13.3100,13.5700,13.3065,0,0,1.0197,600660,0.7271,均线未下行,,30500
2012-05-24,2012-05-25,600897,13.4600,13.5980,13.4285,0,0,1.0312,600660,0.7221,均线未下行,,30500
2012-10-23,2012-10-24,600309,13.7000,13.7570,13.2425,0,0,0.9808,600188,0.7031,均线未下行,,23500
2012-11-22,2012-11-23,601939,4.1500,4.2125,4.1825,0,0,1.0358,600660,0.5813,均线未下行,,26700
2012-11-23,2012-11-26,601939,4.1500,4.2135,4.1900,0,0,1.0358,600660,0.5813,均线未下行,,26700
2012-11-26,2012-11-27,601939,4.1600,4.2150,4.1980,0,0,1.0383,600660,0.5846,均线未下行,,26700
2012-11-30,2012-12-03,601939,4.1700,4.2150,4.2115,0,0,1.0328,600660,0.5862,均线未下行,,26700
2013-02-20,2013-02-21,601939,4.8100,4.8285,4.6900,0,0,1.2077,000792,0.7576,均线未下行,,100
2013-02-21,2013-02-22,601939,4.6700,4.8315,4.7085,0,0,1.1726,600897,0.9958,均线未下行,,100
2013-02-22,2013-02-25,601939,4.6200,4.8300,4.7260,0,0,1.1600,002152,0.9901,均线未下行,,100
2013-02-25,2013-02-26,601939,4.6200,4.8300,4.7435,0,0,1.1600,600897,0.9922,均线未下行,,100
2013-02-27,2013-02-28,601939,4.6300,4.8235,4.7825,0,0,1.1625,600897,0.9929,均线未下行,,100
2013-02-28,2013-03-01,601939,4.7100,4.8220,4.7960,0,0,1.1805,600897,1.0030,均线未下行,,100
2013-03-01,2013-03-04,601939,4.7000,4.8225,4.8095,0,0,1.1780,600897,1.0008,均线未下行,,100
2013-08-21,2013-08-22,600660,7.3700,7.3755,7.3395,0,0,0.6357,000933,0.4404,均线未下行,,148200
2013-08-23,2013-08-26,600660,7.3100,7.3840,7.3325,0,0,0.6305,000933,0.4329,均线未下行,,148200
2013-08-28,2013-08-29,600585,15.6800,15.8000,14.9325,0,0,0.7233,000933,0.4628,均线未下行,,400
2013-08-29,2013-08-30,600585,15.1300,15.8155,15.0270,0,0,0.6980,000338,0.4754,均线未下行,,400
2013-09-02,2013-09-03,600585,15.6900,15.8340,15.2550,0,0,0.7238,601088,0.5528,均线未下行,,400
2013-09-05,2013-09-06,600585,15.8000,15.9210,15.4935,0,0,0.7289,600031,0.4814,均线未下行,,400
2013-09-06,2013-09-09,600585,15.8100,15.9350,15.5370,0,0,0.7293,600031,0.4808,均线未下行,,400
2013-09-16,2013-09-17,600585,15.9800,15.9805,15.8340,0,0,0.7372,600031,0.5229,均线未下行,,400
2013-09-17,2013-09-18,600585,15.5800,15.9530,15.8640,0,0,0.7187,600031,0.5022,均线未下行,,400
2013-09-18,2013-09-23,600066,18.2800,18.3905,17.7965,0,0,0.9104,600031,0.5041,均线未下行,,25020
2013-09-23,2013-09-24,600585,15.8900,15.9465,15.9210,0,0,0.7330,600031,0.5132,均线未下行,,400
2013-09-27,2013-09-30,600066,18.3800,18.5965,18.1645,0,0,0.9154,600188,0.5498,均线未下行,,25020
2013-09-30,2013-10-08,600066,18.4000,18.6425,18.2205,0,0,0.9163,600188,0.5437,均线未下行,,25020
2013-10-08,2013-10-09,600066,18.6200,18.7085,18.2980,0,0,0.9273,600188,0.5457,均线未下行,,25020
2013-10-14,2013-10-15,600066,17.8200,18.6415,18.4430,0,0,0.8875,600188,0.5467,均线未下行,,25020
2013-10-15,2013-10-16,601988,2.7900,2.8060,2.7330,0,0,1.0168,600031,0.5125,均线未下行,,200
2013-10-16,2013-10-17,601988,2.8000,2.8035,2.7405,0,0,1.0204,600585,0.7363,均线未下行,,200
2013-10-18,2013-10-21,601988,2.8000,2.8015,2.7545,0,0,1.0204,600188,0.5508,均线未下行,600066,300
2013-10-22,2013-10-23,002024,12.4100,12.4655,10.1830,0,0,1.4270,601088,0.5614,均线未下行,600066,15400
2013-10-23,2013-10-24,002024,11.3600,12.5205,10.4290,0,0,1.3062,002128,0.5782,均线未下行,,15400
2013-10-24,2013-10-25,002024,11.1300,12.5445,10.7205,0,0,1.2798,600309,0.6696,均线未下行,,15400
2013-11-25,2013-11-26,601988,2.8100,2.8115,2.8065,0,0,1.0578,600585,0.6567,均线未下行,,36600
2013-11-26,2013-11-27,601988,2.8000,2.8110,2.8075,0,0,1.0540,600585,0.6606,均线未下行,,36600
2013-11-27,2013-11-28,601988,2.8100,2.8105,2.8065,0,0,1.0578,600585,0.6661,均线未下行,,36600
2014-03-05,2014-03-06,600897,14.9500,15.0630,14.8180,0,0,0.8974,000858,0.7026,均线未下行,,9000
2014-03-06,2014-03-07,600897,14.6800,15.0740,14.8625,0,0,0.8812,000858,0.7000,均线未下行,,9000
2014-03-07,2014-03-10,600897,14.3400,15.0645,14.9205,0,0,0.8608,000858,0.7022,均线未下行,,9000
2014-04-15,2014-04-16,002304,52.4100,52.8710,52.0625,0,0,0.6053,601088,0.4437,均线未下行,,5900
2014-04-16,2014-04-17,002304,52.6000,52.7510,52.1905,0,0,0.6075,601088,0.4465,均线未下行,,5900
2014-04-21,2014-04-22,601988,2.6000,2.6060,2.5230,0,0,0.8623,000338,0.5062,均线未下行,,1200
2014-04-29,2014-04-30,601988,2.6100,2.6225,2.5780,0,0,0.8656,000333,0.4688,均线未下行,,1200
2014-05-12,2014-05-13,600897,14.6700,14.7815,14.6960,0,0,0.8643,601088,0.4357,均线未下行,,9000
2014-05-13,2014-05-14,600897,14.6900,14.7660,14.7115,0,0,0.8655,002128,0.4011,均线未下行,000858,9000
2014-05-14,2014-05-15,600897,14.5800,14.7270,14.7150,0,0,0.8590,002128,0.3867,均线未下行,,9000
2014-05-15,2014-05-16,000651,29.2400,29.6845,29.6455,0,0,0.7169,601088,0.4292,均线未下行,,82000
2014-06-03,2014-06-04,600660,8.0800,8.0920,7.9245,0,0,0.6591,000333,0.4487,均线未下行,,193200
2014-06-04,2014-06-05,600660,8.0500,8.0985,7.9355,0,0,0.6566,000333,0.4408,均线未下行,,193200
2014-06-24,2014-06-25,601288,2.5000,2.5185,2.4755,0,0,0.8575,600188,0.5791,均线未下行,,100
2014-06-25,2014-06-26,601288,2.5100,2.5205,2.4815,0,0,0.8610,600188,0.5866,均线未下行,601398,100
2014-06-27,2014-06-30,601288,2.5200,2.5245,2.4945,0,0,0.8644,000858,0.7051,均线未下行,,100
2014-06-30,2014-07-01,601288,2.5200,2.5260,2.5010,0,0,0.8630,000858,0.7086,均线未下行,,100
2014-07-02,2014-07-03,601288,2.5200,2.5290,2.5110,0,0,0.8630,000858,0.6938,均线未下行,,100
2014-08-08,2014-08-11,601398,3.5100,3.5165,3.4415,0,0,0.8965,600031,0.5532,均线未下行,,100
2014-08-12,2014-08-13,000651,29.4600,29.5545,28.4585,0,0,0.7499,600031,0.5522,均线未下行,,64300
2014-08-13,2014-08-14,601398,3.5100,3.5275,3.4700,0,0,0.8965,600031,0.5513,均线未下行,,100
2014-08-14,2014-08-15,601398,3.5100,3.5305,3.4790,0,0,0.8965,600031,0.5464,均线未下行,,100
2014-08-15,2014-08-18,601398,3.5200,3.5340,3.4875,0,0,0.8991,600031,0.5503,均线未下行,,100
2014-08-18,2014-08-19,601398,3.5100,3.5385,3.4955,0,0,0.8965,600031,0.5532,均线未下行,,100
2014-08-19,2014-08-20,601939,4.1000,4.1055,4.0030,0,0,0.9135,600031,0.5513,均线未下行,,1000
2014-08-20,2014-08-21,601939,4.0900,4.1135,4.0150,0,0,0.9113,600031,0.5493,均线未下行,,1000
2014-08-21,2014-08-22,601988,2.6900,2.6970,2.6325,0,0,0.9174,600188,0.6418,均线未下行,,300
2014-08-22,2014-08-25,601939,4.0700,4.1200,4.0355,0,0,0.9068,000792,0.6902,均线未下行,,1000
2014-08-25,2014-08-26,601988,2.7000,2.7020,2.6470,0,0,0.9208,000792,0.6676,均线未下行,,300
2014-08-26,2014-08-27,601988,2.6800,2.7000,2.6535,0,0,0.9140,000792,0.6646,均线未下行,,300
2014-09-16,2014-09-17,600660,9.9800,10.1380,10.0275,0,0,0.7405,600031,0.5501,均线未下行,,193300
2014-09-17,2014-09-18,600660,10.0300,10.1375,10.0245,0,0,0.7442,600031,0.5657,均线未下行,,193300
2014-09-18,2014-09-19,600660,9.9600,10.1345,10.0275,0,0,0.7390,600031,0.5589,均线未下行,,193300
2014-09-22,2014-09-23,601988,2.6700,2.6990,2.6935,0,0,0.9060,600188,0.6918,均线未下行,,300
2014-09-23,2014-09-24,601988,2.6800,2.6980,2.6945,0,0,0.9094,600188,0.6942,均线未下行,,300
2014-09-24,2014-09-25,600660,10.1500,10.1730,10.1250,0,0,0.7531,600031,0.5540,均线未下行,,193300
2014-09-25,2014-09-26,601988,2.7000,2.7005,2.6950,0,0,0.9162,600031,0.5598,均线未下行,,300
2014-09-26,2014-09-29,601988,2.6900,2.7035,2.6965,0,0,0.9128,600031,0.5608,均线未下行,,300
2014-09-29,2014-09-30,601988,2.6800,2.7035,2.6970,0,0,0.9094,600031,0.5657,均线未下行,,300
2014-09-30,2014-10-08,601988,2.7000,2.7055,2.6980,0,0,0.8765,600031,0.5676,均线未下行,,300
2014-10-08,2014-10-09,601988,2.6900,2.7055,2.6985,0,0,0.8733,600031,0.5763,均线未下行,,300
2014-10-09,2014-10-10,601988,2.7000,2.7050,2.6995,0,0,0.8765,600031,0.5734,均线未下行,,300
2014-10-10,2014-10-13,601988,2.6900,2.7035,2.7010,0,0,0.8733,600031,0.5657,均线未下行,,300
2014-10-13,2014-10-14,601988,2.6700,2.7000,2.6990,0,0,0.8668,600031,0.5812,均线未下行,,300
2014-10-16,2014-10-17,600660,10.0700,10.2250,10.1975,0,0,0.7472,600031,0.5724,均线未下行,,193300
2015-01-13,2015-01-14,601939,6.1800,6.2785,5.7075,0,0,1.2271,000792,0.8231,均线未下行,,100
