signal_date,exec_date,source_code,close,ma,ma_prev,weak_run,cross_count,hold_pv,trigger_code,trigger_pv,block_reason,next_source,shares_held
2012-05-18,2012-05-21,600309,14.0800,14.1985,14.0190,0,0,0.9656,600660,0.7263,均线未下行,,51600
2012-05-21,2012-05-22,600897,13.3100,13.5700,13.5210,0,0,1.0197,600660,0.7271,均线未下行,,30500
2012-05-24,2012-05-25,600897,13.4600,13.5980,13.6110,0,0,1.0312,600660,0.7221,均线未下行,,30500
2012-10-23,2012-10-24,600309,13.7000,13.7570,13.5040,0,0,0.9808,600188,0.7031,均线未下行,,23700
2013-08-06,2013-08-07,601398,3.9000,3.9260,3.9345,0,0,0.9903,002024,0.7797,均线未下行,,8500
2013-08-07,2013-08-08,601398,3.8900,3.9240,3.9320,0,0,0.9877,002024,0.7740,均线未下行,,8500
2013-08-08,2013-08-09,601398,3.9000,3.9200,3.9320,0,0,0.9903,002024,0.8257,均线未下行,,8500
2013-08-21,2013-08-22,600660,7.3700,7.3755,7.3425,0,0,0.6357,000933,0.4404,均线未下行,,145200
2013-08-22,2013-08-23,601398,3.9100,3.9180,3.9185,0,0,0.9928,000933,0.4307,均线未下行,,8700
2013-08-23,2013-08-26,601398,3.8900,3.9170,3.9185,0,0,0.9877,000933,0.4329,均线未下行,,8700
2013-08-27,2013-08-28,601398,3.9000,3.9185,3.9180,0,0,0.9903,000933,0.4546,均线未下行,,8700
2013-08-28,2013-08-29,600585,15.6800,15.8000,15.4335,0,0,0.7233,000933,0.4628,均线未下行,,500
2013-08-29,2013-08-30,600066,17.4800,17.7265,17.6360,0,0,0.8705,000933,0.4419,均线未下行,600585,40020
2013-09-18,2013-09-23,600066,18.2800,18.3905,18.1645,0,0,0.9104,600031,0.5041,均线未下行,,33420
2013-09-27,2013-09-30,600066,18.3800,18.5965,18.3905,0,0,0.9154,600188,0.5498,均线未下行,,33420
2013-09-30,2013-10-08,600066,18.4000,18.6425,18.4430,0,0,0.9163,600188,0.5437,均线未下行,,33420
2013-10-08,2013-10-09,600066,18.6200,18.7085,18.5230,0,0,0.9273,600188,0.5457,均线未下行,,33420
2013-10-15,2013-10-16,601988,2.7900,2.8060,2.7690,0,0,1.0168,600031,0.5125,均线未下行,600066,300
2013-10-16,2013-10-17,601988,2.8000,2.8035,2.7775,0,0,1.0204,600585,0.7363,均线未下行,,400
2013-10-18,2013-10-21,601988,2.8000,2.8015,2.7925,0,0,1.0204,000338,0.5203,均线未下行,600066,400
2013-10-22,2013-10-23,002024,12.4100,12.4655,11.5205,0,0,1.4270,000338,0.5139,均线未下行,,9900
2013-10-24,2013-10-25,601988,2.7900,2.8000,2.8020,0,0,1.0168,000338,0.5136,均线未下行,,500
2013-11-25,2013-11-26,601988,2.8100,2.8115,2.8045,0,0,1.0578,600585,0.6567,均线未下行,,48600
2013-12-10,2013-12-11,601988,2.8200,2.8200,2.8120,0,0,1.0947,601088,0.5424,均线未下行,,48600
2014-04-15,2014-04-16,002304,52.4100,52.8710,52.7100,0,0,0.6053,601088,0.4437,均线未下行,,8100
2014-04-16,2014-04-17,002304,52.6000,52.7510,52.8195,0,0,0.6075,601088,0.4465,均线未下行,,8100
