signal_date,exec_date,source_code,close,ma,ma_prev,weak_run,cross_count,hold_pv,trigger_code,trigger_pv,block_reason,next_source,shares_held
2012-05-24,2012-05-25,600897,13.4600,13.5980,13.6110,1,5,1.0312,600660,0.7221,穿越5次≥4,,30500
2013-08-27,2013-08-28,601398,3.9000,3.9185,3.9180,1,4,0.9903,600309,0.7431,穿越4次≥4,,400
2013-08-28,2013-08-29,601398,3.8800,3.9180,3.9180,2,4,0.9852,600309,0.7257,穿越4次≥4,,400
2013-08-29,2013-08-30,601398,3.8700,3.9160,3.9180,3,4,0.9827,000338,0.4754,穿越4次≥4,600585,400
2013-08-30,2013-09-02,601398,3.9000,3.9155,3.9170,4,4,1.0481,000338,0.4879,穿越4次≥4,600066,400
2013-09-02,2013-09-03,601398,3.8900,3.9140,3.9190,5,4,1.0454,000338,0.4966,穿越4次≥4,,400
2013-09-05,2013-09-06,601398,3.9100,3.9185,3.9160,1,6,1.0508,600031,0.4814,穿越6次≥4,,500
2013-09-06,2013-09-09,601398,3.9100,3.9185,3.9155,2,5,1.0508,600031,0.4808,穿越5次≥4,,500
2013-09-17,2013-09-18,601398,3.9300,3.9390,3.9265,1,7,1.0562,600031,0.5022,穿越7次≥4,,500
2013-09-18,2013-09-23,601398,3.9100,3.9385,3.9290,2,6,1.0508,600031,0.5041,穿越6次≥4,600066,500
2013-09-23,2013-09-24,601398,3.9100,3.9385,3.9340,3,6,1.0508,600031,0.5132,穿越6次≥4,,500
2013-09-24,2013-09-25,601398,3.8900,3.9385,3.9360,4,5,1.0454,600031,0.5048,穿越5次≥4,,500
2013-09-27,2013-09-30,600066,18.3800,18.5965,18.3905,2,4,0.9154,600188,0.5498,穿越4次≥4,,26940
2013-09-30,2013-10-08,600066,18.4000,18.6425,18.4430,3,4,0.9163,600188,0.5437,穿越4次≥4,,26940
2013-10-24,2013-10-25,601988,2.7900,2.8000,2.8020,1,5,1.0168,600188,0.5519,穿越5次≥4,,100
2013-11-25,2013-11-26,601988,2.8100,2.8115,2.8045,1,5,1.0578,600585,0.6567,穿越5次≥4,,48300
2013-12-10,2013-12-11,601988,2.8200,2.8200,2.8120,1,4,1.0947,601088,0.5424,穿越4次≥4,,48300
2013-12-11,2013-12-12,601988,2.7900,2.8205,2.8150,2,4,1.0831,601857,0.9223,穿越4次≥4,,48300
2014-06-13,2014-06-16,002304,54.3200,54.3545,54.9625,6,5,0.5636,002128,0.3646,穿越5次≥4,000792,7500
2014-07-10,2014-07-11,601988,2.5400,2.5675,2.5590,2,7,0.8362,600066,0.6639,穿越7次≥4,,600
2014-07-11,2014-07-14,601988,2.5500,2.5648,2.5633,3,7,0.8395,600066,0.6620,穿越7次≥4,,600
2014-07-14,2014-07-15,601988,2.5600,2.5621,2.5661,4,7,0.8427,600066,0.6804,穿越7次≥4,,600
2014-07-23,2014-07-24,601988,2.5600,2.5667,2.5617,1,5,0.8427,000792,0.5680,穿越5次≥4,,900
2016-04-08,2016-04-11,002128,7.9200,8.0550,8.1010,1,5,0.8332,000792,0.4918,穿越5次≥4,600188,61400
2018-11-02,2018-11-05,601225,8.4800,8.4985,8.5690,2,9,1.5443,002152,0.9757,穿越9次≥4,,80200
2018-11-05,2018-11-06,601225,8.4100,8.4970,8.5500,3,9,1.5316,002152,0.9676,穿越9次≥4,,80200
2019-09-26,2019-09-27,601225,8.9300,9.0765,9.0815,5,4,0.7268,002466,0.3952,穿越4次≥4,000338,600
2021-10-18,2021-10-19,601225,15.0400,15.0675,15.1870,5,5,0.9566,600897,0.7879,穿越5次≥4,,223700
2021-10-19,2021-10-20,601225,14.8500,15.0650,15.2305,6,5,0.9445,600897,0.7827,穿越5次≥4,,223700
2023-08-09,2023-08-10,000338,12.7800,12.7855,12.7380,1,5,0.7709,600176,0.6070,穿越5次≥4,,73800
2023-08-10,2023-08-11,000338,12.7900,12.7920,12.7505,2,5,0.7715,000792,0.4484,穿越5次≥4,601328,73800
2025-03-21,2025-03-24,601229,9.2100,9.3475,9.3490,1,4,0.7911,000661,0.6199,穿越4次≥4,,2237600
2025-03-24,2025-03-25,601229,9.3100,9.3575,9.3580,2,4,0.7997,000661,0.6105,穿越4次≥4,,2237600
2025-03-26,2025-03-27,601818,3.8100,3.8160,3.7985,1,4,0.8700,600426,0.6514,穿越4次≥4,,100
2025-03-28,2025-03-31,601818,3.8200,3.8215,3.8035,1,6,0.8722,000661,0.6111,穿越6次≥4,,100
2025-06-27,2025-06-30,601229,10.6300,10.6325,10.5450,1,4,0.7933,000792,0.5830,穿越4次≥4,,1013600
2025-07-11,2025-07-14,601229,10.9100,10.9290,10.7460,1,4,0.8087,000792,0.5981,穿越4次≥4,601328,594100
2025-07-16,2025-07-17,601229,10.9000,10.9900,10.8735,2,5,0.8080,000792,0.5878,穿越5次≥4,603993,594100
2025-07-17,2025-07-18,601229,10.8500,10.9900,10.9035,3,5,0.8043,600970,0.6273,穿越5次≥4,,594100
2025-07-21,2025-07-22,601229,10.8700,10.9855,10.9560,1,7,0.8058,000792,0.6168,穿越7次≥4,,594100
2026-03-17,2026-03-18,000792,36.1500,36.6990,35.4150,1,4,1.1337,601229,0.7898,穿越4次≥4,,462900
2026-04-17,2026-04-20,002648,27.3900,27.6180,27.1170,1,5,0.9630,600036,0.7483,穿越5次≥4,,1273400
