security_code,security_name,report_date,notice_date,disclosure_type,report_label,parent_netprofit,total_operate_income,netprofit_yoy,revenue_yoy,is_new,source,retrieved_at_utc
000603,盛达资源,2026-06-30,2026-08-01,periodic_report,2026年 半年报,390059947.25,1151604179.51,456.46,27.0844234537,1,eastmoney:RPT_LICO_FN_CPD,2026-08-01T12:40:55+00:00
002064,华峰化学,2026-06-30,2026-08-01,periodic_report,2026年 半年报,1982794883.9,14166625096.76,101.64,16.7264470426,1,eastmoney:RPT_LICO_FN_CPD,2026-08-01T12:40:55+00:00
002413,雷科防务,2026-06-30,2026-08-01,periodic_report,2026年 半年报,-18120351.81,561373936.6,56.52,3.6220203369,1,eastmoney:RPT_LICO_FN_CPD,2026-08-01T12:40:55+00:00
300618,寒锐钴业,2026-06-30,2026-08-01,periodic_report,2026年 半年报,98631642.07,3906787023.01,-22.5,23.3182846948,1,eastmoney:RPT_LICO_FN_CPD,2026-08-01T12:40:55+00:00
300738,奥飞数据,2026-06-30,2026-08-01,periodic_report,2026年 半年报,196571835.59,1468814395.33,123.64,27.946442384,1,eastmoney:RPT_LICO_FN_CPD,2026-08-01T12:40:55+00:00
300901,中胤时尚,2026-06-30,2026-08-01,periodic_report,2026年 半年报,3066942.55,217404405.35,222.34,21.269151564,1,eastmoney:RPT_LICO_FN_CPD,2026-08-01T12:40:55+00:00
301522,上大股份,2026-06-30,2026-08-01,periodic_report,2026年 半年报,61463201.96,1289840137.68,2.78,6.4741570004,1,eastmoney:RPT_LICO_FN_CPD,2026-08-01T12:40:55+00:00
600351,亚宝药业,2026-06-30,2026-08-01,periodic_report,2026年 半年报,177596487.26,1144946503.15,1.83,0.486045041,1,eastmoney:RPT_LICO_FN_CPD,2026-08-01T12:40:55+00:00
600641,先导基电,2026-06-30,2026-08-01,periodic_report,2026年 半年报,210130445.65,1146692842.72,414.95,64.0557371166,1,eastmoney:RPT_LICO_FN_CPD,2026-08-01T12:40:55+00:00
603058,永吉股份,2026-06-30,2026-08-01,periodic_report,2026年 半年报,81919008.86,356554099.57,44.72,-16.6549173007,1,eastmoney:RPT_LICO_FN_CPD,2026-08-01T12:40:55+00:00
605507,国邦医药,2026-06-30,2026-08-01,periodic_report,2026年 半年报,341348063.99,3142428542.07,-25.07,3.8378674034,1,eastmoney:RPT_LICO_FN_CPD,2026-08-01T12:40:55+00:00
688266,泽璟制药,2026-06-30,2026-08-01,periodic_report,2026年 半年报,640011104.13,1205379571.43,979.0933971189,220.8781295535,1,eastmoney:RPT_LICO_FN_CPD,2026-08-01T12:40:55+00:00
688313,仕佳光子,2026-06-30,2026-08-01,periodic_report,2026年 半年报,314784732.28,1495490807.64,45.3,50.6601605112,1,eastmoney:RPT_LICO_FN_CPD,2026-08-01T12:40:55+00:00
000633,合金投资,2026-06-30,2026-07-31,periodic_report,2026年 半年报,2370510.47,145676913.66,-48.19,-11.224239298,1,eastmoney:RPT_LICO_FN_CPD,2026-08-01T12:40:55+00:00
000683,博源化工,2026-06-30,2026-07-31,periodic_report,2026年 半年报,833852270.63,6031130596.81,12.27,1.9385397709,1,eastmoney:RPT_LICO_FN_CPD,2026-08-01T12:40:55+00:00
001217,华尔泰,2026-06-30,2026-07-31,periodic_report,2026年 半年报,14935740.18,1107184269.93,-49.06,10.284703336,1,eastmoney:RPT_LICO_FN_CPD,2026-08-01T12:40:55+00:00
001359,平安电工,2026-06-30,2026-07-31,periodic_report,2026年 半年报,124518738.07,686042802.81,-7.81,20.2685401488,1,eastmoney:RPT_LICO_FN_CPD,2026-08-01T12:40:55+00:00
002138,顺络电子,2026-06-30,2026-07-31,periodic_report,2026年 半年报,447107886.72,3858502642.34,-7.98,19.6724390978,1,eastmoney:RPT_LICO_FN_CPD,2026-08-01T12:40:55+00:00
002162,悦心健康,2026-06-30,2026-07-31,periodic_report,2026年 半年报,5331005.23,508629451.72,201.54,4.229420776,1,eastmoney:RPT_LICO_FN_CPD,2026-08-01T12:40:55+00:00
002296,辉煌科技,2026-06-30,2026-07-31,periodic_report,2026年 半年报,118017828.58,372161096.54,-12.27,-7.9050138435,1,eastmoney:RPT_LICO_FN_CPD,2026-08-01T12:40:55+00:00
002515,金字火腿,2026-06-30,2026-07-31,periodic_report,2026年 半年报,-8128711.9,153977788.32,-135.46,-9.2592554966,1,eastmoney:RPT_LICO_FN_CPD,2026-08-01T12:40:55+00:00
002533,金杯电工,2026-06-30,2026-07-31,periodic_report,2026年 半年报,316907241.48,11861499567.92,6.96,27.0656715511,1,eastmoney:RPT_LICO_FN_CPD,2026-08-01T12:40:55+00:00
002592,ST八菱,2026-06-30,2026-07-31,periodic_report,2026年 半年报,57707187.13,369490603.23,1.64,30.4204098249,1,eastmoney:RPT_LICO_FN_CPD,2026-08-01T12:40:55+00:00
002787,华源控股,2026-06-30,2026-07-31,periodic_report,2026年 半年报,75083257.83,1189976333.29,54.81,2.3994039166,1,eastmoney:RPT_LICO_FN_CPD,2026-08-01T12:40:55+00:00
002868,绿康生化,2026-06-30,2026-07-31,periodic_report,2026年 半年报,7316046.6,247721056.76,112.49,-15.7047497899,1,eastmoney:RPT_LICO_FN_CPD,2026-08-01T12:40:55+00:00
300209,行云科技,2026-06-30,2026-07-31,periodic_report,2026年 半年报,12015392.13,254209383.77,540.15,497.1086363739,1,eastmoney:RPT_LICO_FN_CPD,2026-08-01T12:40:55+00:00
300222,科大智能,2026-06-30,2026-07-31,periodic_report,2026年 半年报,93809933.05,1553476085.87,22.14,15.9503360685,1,eastmoney:RPT_LICO_FN_CPD,2026-08-01T12:40:55+00:00
300463,迈克生物,2026-06-30,2026-07-31,periodic_report,2026年 半年报,34256956.93,1034014365.87,0.63,-3.8156678619,1,eastmoney:RPT_LICO_FN_CPD,2026-08-01T12:40:55+00:00
300508,维宏股份,2026-06-30,2026-07-31,periodic_report,2026年 半年报,6024303.69,286360908.61,-79.4,10.0553483378,1,eastmoney:RPT_LICO_FN_CPD,2026-08-01T12:40:55+00:00
300947,德必集团,2026-06-30,2026-07-31,periodic_report,2026年 半年报,3657233.18,596997077.88,-54.14,-0.8570977916,1,eastmoney:RPT_LICO_FN_CPD,2026-08-01T12:40:55+00:00
301100,风光股份,2026-06-30,2026-07-31,periodic_report,2026年 半年报,-21055131.34,516513983.31,47.67,-5.5245189483,1,eastmoney:RPT_LICO_FN_CPD,2026-08-01T12:40:55+00:00
301237,和顺科技,2026-06-30,2026-07-31,periodic_report,2026年 半年报,7789172.1,377406729.18,154.42,27.4703247606,1,eastmoney:RPT_LICO_FN_CPD,2026-08-01T12:40:55+00:00
301678,新恒汇,2026-06-30,2026-07-31,periodic_report,2026年 半年报,33822329.97,597505055.09,-61.98,25.9566313575,1,eastmoney:RPT_LICO_FN_CPD,2026-08-01T12:40:55+00:00
400079,神州城A3,2026-06-30,2026-07-31,periodic_report,2026年 半年报,-1287655.64,,45.74,-100,1,eastmoney:RPT_LICO_FN_CPD,2026-08-01T12:40:55+00:00
420079,神州城B3,2026-06-30,2026-07-31,periodic_report,2026年 半年报,-1287655.64,,45.74,-100,1,eastmoney:RPT_LICO_FN_CPD,2026-08-01T12:40:55+00:00
430692,杰纳瑞,2026-06-30,2026-07-31,periodic_report,2026年 半年报,-1565800,10669144.74,1.91,14.0422891354,1,eastmoney:RPT_LICO_FN_CPD,2026-08-01T12:40:55+00:00
600110,诺德股份,2026-06-30,2026-07-31,periodic_report,2026年 半年报,102906126.6,6432962337.54,242.07,113.3287576188,1,eastmoney:RPT_LICO_FN_CPD,2026-08-01T12:40:55+00:00
600236,桂冠电力,2026-06-30,2026-07-31,periodic_report,2026年 半年报,1758973019.31,5716383159.57,48.09,37.5916562809,1,eastmoney:RPT_LICO_FN_CPD,2026-08-01T12:40:55+00:00
600423,*ST柳化,2026-06-30,2026-07-31,periodic_report,2026年 半年报,14183568.19,76680535.13,311.98,12.8050061592,1,eastmoney:RPT_LICO_FN_CPD,2026-08-01T12:40:55+00:00
601059,信达证券,2026-06-30,2026-07-31,periodic_report,2026年 半年报,1097412436.82,2435003187.48,7.15,19.525880521,1,eastmoney:RPT_LICO_FN_CPD,2026-08-01T12:40:55+00:00
601198,东兴证券,2026-06-30,2026-07-31,periodic_report,2026年 半年报,1024731981.8,2505602174.61,25.13,11.4013014988,1,eastmoney:RPT_LICO_FN_CPD,2026-08-01T12:40:55+00:00
