market_type,security_code,security_name,listed_company_name,exchange,attention_class,quality_tier,quality_tier_label,strategy_tag,latest_report_date,latest_report_type,latest_periodic_notice_date,latest_periodic_report_label,latest_express_notice_date,latest_forecast_notice_date,latest_forecast_type,last_quality_review_date,quality_evidence_available_at,quality_date_basis,last_valuation_review_date,valuation_date_basis,quality_review_needed,valuation_review_needed,buy_blocked,update_scope,queue_priority,queue_reasons,as_of,generated_at_utc
A_SHARE,000408,藏格矿业,,,worth_attention,L2,,F-垄断资源型,2026-06-30,2026年 半年报,2026-08-11,2026年 半年报,,2026-07-07,预增,2026-08-01,,reviewed_at_utc,2026-08-11,valuation_reviewed_at,True,False,,quality_only,medium,latest_report_after_last_quality_review,2026-08-19,2026-08-19T07:13:13+00:00
A_SHARE,000426,兴业银锡,,,worth_attention,L2,,F 资源NAV型,2026-03-31,一季报,,,,2026-07-15,预增,,,reviewed_at_utc,2026-07-15,valuation_reviewed_at,True,False,,quality_only,medium,latest_report_after_last_quality_review,2026-08-19,2026-08-19T07:13:13+00:00
A_SHARE,000596,古井贡酒,,,worth_attention,L2,,A 现金流复利型,2026-03-31,一季报,,,,,,,,reviewed_at_utc,2026-04-29,valuation_reviewed_at,True,False,,quality_only,medium,latest_report_after_last_quality_review,2026-08-19,2026-08-19T07:13:13+00:00
A_SHARE,000975,山金国际,,,worth_attention,L2,,F 资源NAV型,2026-03-31,一季报,,,,2026-07-14,预增,,,reviewed_at_utc,2026-07-14,valuation_reviewed_at,True,False,,quality_only,medium,latest_report_after_last_quality_review,2026-08-19,2026-08-19T07:13:13+00:00
A_SHARE,002003,伟星股份,,,worth_attention,L2,,A 现金流复利型,2026-03-31,一季报,,,,,,,,reviewed_at_utc,2026-04-28,valuation_reviewed_at,True,False,,quality_only,medium,latest_report_after_last_quality_review,2026-08-19,2026-08-19T07:13:13+00:00
A_SHARE,002027,分众传媒,,,worth_attention,L2,,A-DCF/现金流复利型,2026-06-30,2026年 半年报,2026-08-19,2026年 半年报,,,,2026-08-01,,reviewed_at_utc,2026-08-19,valuation_reviewed_at,True,False,,quality_only,medium,latest_report_after_last_quality_review,2026-08-19,2026-08-19T07:13:13+00:00
A_SHARE,002262,恩华药业,,,worth_attention,L2,,C-GARP成长型,2026-06-30,2026年 半年报,2026-08-18,2026年 半年报,,,,2026-08-01,,reviewed_at_utc,2026-08-18,valuation_reviewed_at,True,False,,quality_only,medium,latest_report_after_last_quality_review,2026-08-19,2026-08-19T07:13:13+00:00
A_SHARE,002372,伟星新材,,,worth_attention,L2,,A-DCF/现金流复利型,2026-06-30,2026年 半年报,2026-08-07,2026年 半年报,,,,2026-08-01,,reviewed_at_utc,2026-08-07,valuation_reviewed_at,True,False,,quality_only,medium,latest_report_after_last_quality_review,2026-08-19,2026-08-19T07:13:13+00:00
A_SHARE,002379,宏桥控股,,,worth_attention,L2,,A 现金流复利型,2026-03-31,一季报,,,,2026-07-11,预增,,,reviewed_at_utc,2026-08-18,valuation_reviewed_at,True,False,,quality_only,medium,latest_report_after_last_quality_review,2026-08-19,2026-08-19T07:13:13+00:00
A_SHARE,002532,天山铝业,,,worth_attention,L2,,F-垄断资源型,2026-06-30,2026年 半年报,2026-08-19,2026年 半年报,,2026-07-06,预增,2026-08-01,,reviewed_at_utc,2026-08-19,valuation_reviewed_at,True,False,,quality_only,medium,latest_report_after_last_quality_review,2026-08-19,2026-08-19T07:13:13+00:00
A_SHARE,002568,百润股份,,,worth_attention,L2,,x,2026-06-30,2026年 半年报,2026-08-05,2026年 半年报,,2026-06-26,略增,,,reviewed_at_utc,2026-08-05,valuation_reviewed_at,True,False,,quality_only,medium,latest_report_after_last_quality_review,2026-08-19,2026-08-19T07:13:13+00:00
A_SHARE,002648,卫星化学,,,worth_attention,L2,,F-垄断资源型,2026-06-30,2026年 半年报,2026-08-15,2026年 半年报,,2026-06-23,预增,2026-08-01,,reviewed_at_utc,2026-08-15,valuation_reviewed_at,True,False,,quality_only,medium,latest_report_after_last_quality_review,2026-08-19,2026-08-19T07:13:13+00:00
A_SHARE,002920,德赛西威,,,worth_attention,L2,,C-GARP成长型,2026-06-30,2026年 半年报,2026-08-14,2026年 半年报,,,,2026-08-01,,reviewed_at_utc,2026-08-14,valuation_reviewed_at,True,False,,quality_only,medium,latest_report_after_last_quality_review,2026-08-19,2026-08-19T07:13:13+00:00
A_SHARE,002938,鹏鼎控股,,,worth_attention,L2,,D-产业链爆发/关键瓶颈型,2026-06-30,2026年 半年报,2026-08-12,2026年 半年报,,,,2026-08-01,,reviewed_at_utc,2026-08-12,valuation_reviewed_at,True,False,,quality_only,medium,latest_report_after_last_quality_review,2026-08-19,2026-08-19T07:13:13+00:00
A_SHARE,300394,天孚通信,,,worth_attention,L2,,D-产业链爆发/关键瓶颈型,2026-06-30,2026年 半年报,2026-08-19,2026年 半年报,,2026-07-18,略增,2026-08-01,,reviewed_at_utc,2026-08-19,valuation_reviewed_at,True,False,,quality_only,medium,latest_report_after_last_quality_review,2026-08-19,2026-08-19T07:13:13+00:00
A_SHARE,300435,中泰股份,,,worth_attention,L2,,G-股东回报型低估,2026-06-30,2026年 半年报,2026-08-18,2026年 半年报,,,,2026-08-01,,reviewed_at_utc,2026-08-18,valuation_reviewed_at,True,False,,quality_only,medium,latest_report_after_last_quality_review,2026-08-19,2026-08-19T07:13:13+00:00
A_SHARE,300529,健帆生物,,,worth_attention,L2,,C-GARP成长型,2026-06-30,2026年 半年报,2026-08-07,2026年 半年报,,,,2026-08-01,,reviewed_at_utc,2026-08-07,valuation_reviewed_at,True,False,,quality_only,medium,latest_report_after_last_quality_review,2026-08-19,2026-08-19T07:13:13+00:00
A_SHARE,300627,华测导航,,,worth_attention,L2,,C-GARP成长型,2026-06-30,2026年 半年报,2026-08-14,2026年 半年报,,,,2026-08-01,,reviewed_at_utc,2026-08-14,valuation_reviewed_at,True,False,,quality_only,medium,latest_report_after_last_quality_review,2026-08-19,2026-08-19T07:13:13+00:00
