SECUCODE,SECURITY_CODE,SECURITY_NAME_ABBR,ORG_CODE,ORG_TYPE,REPORT_DATE,REPORT_TYPE,REPORT_DATE_NAME,SECURITY_TYPE_CODE,NOTICE_DATE,UPDATE_DATE,CURRENCY,TOTAL_OPERATE_INCOME,OPERATE_INCOME,INTEREST_INCOME,EARNED_PREMIUM,FEE_COMMISSION_INCOME,OTHER_BUSINESS_INCOME,TOI_OTHER,TOTAL_OPERATE_COST,OPERATE_COST,INTEREST_EXPENSE,FEE_COMMISSION_EXPENSE,RESEARCH_EXPENSE,SURRENDER_VALUE,NET_COMPENSATE_EXPENSE,NET_CONTRACT_RESERVE,POLICY_BONUS_EXPENSE,REINSURE_EXPENSE,OTHER_BUSINESS_COST,OPERATE_TAX_ADD,SALE_EXPENSE,MANAGE_EXPENSE,ME_RESEARCH_EXPENSE,FINANCE_EXPENSE,FE_INTEREST_EXPENSE,FE_INTEREST_INCOME,ASSET_IMPAIRMENT_LOSS,CREDIT_IMPAIRMENT_LOSS,TOC_OTHER,FAIRVALUE_CHANGE_INCOME,INVEST_INCOME,INVEST_JOINT_INCOME,NET_EXPOSURE_INCOME,EXCHANGE_INCOME,ASSET_DISPOSAL_INCOME,ASSET_IMPAIRMENT_INCOME,CREDIT_IMPAIRMENT_INCOME,OTHER_INCOME,OPERATE_PROFIT_OTHER,OPERATE_PROFIT_BALANCE,OPERATE_PROFIT,NONBUSINESS_INCOME,NONCURRENT_DISPOSAL_INCOME,NONBUSINESS_EXPENSE,NONCURRENT_DISPOSAL_LOSS,EFFECT_TP_OTHER,TOTAL_PROFIT_BALANCE,TOTAL_PROFIT,INCOME_TAX,EFFECT_NETPROFIT_OTHER,EFFECT_NETPROFIT_BALANCE,UNCONFIRM_INVEST_LOSS,NETPROFIT,PRECOMBINE_PROFIT,CONTINUED_NETPROFIT,DISCONTINUED_NETPROFIT,PARENT_NETPROFIT,MINORITY_INTEREST,DEDUCT_PARENT_NETPROFIT,NETPROFIT_OTHER,NETPROFIT_BALANCE,BASIC_EPS,DILUTED_EPS,OTHER_COMPRE_INCOME,PARENT_OCI,MINORITY_OCI,PARENT_OCI_OTHER,PARENT_OCI_BALANCE,UNABLE_OCI,CREDITRISK_FAIRVALUE_CHANGE,OTHERRIGHT_FAIRVALUE_CHANGE,SETUP_PROFIT_CHANGE,RIGHTLAW_UNABLE_OCI,UNABLE_OCI_OTHER,UNABLE_OCI_BALANCE,ABLE_OCI,RIGHTLAW_ABLE_OCI,AFA_FAIRVALUE_CHANGE,HMI_AFA,CASHFLOW_HEDGE_VALID,CREDITOR_FAIRVALUE_CHANGE,CREDITOR_IMPAIRMENT_RESERVE,FINANCE_OCI_AMT,CONVERT_DIFF,ABLE_OCI_OTHER,ABLE_OCI_BALANCE,OCI_OTHER,OCI_BALANCE,TOTAL_COMPRE_INCOME,PARENT_TCI,MINORITY_TCI,PRECOMBINE_TCI,EFFECT_TCI_BALANCE,TCI_OTHER,TCI_BALANCE,ACF_END_INCOME,OPINION_TYPE,security_code,org_table,source,retrieved_at_utc
000938.SZ,000938,紫光股份,10005803,通用,2025-12-31,年报,2025年报,058001001,2026-04-15,2026-04-15,CNY,96748339344.03,96748339344.03,,,,,,94156138370.5,82631846618.39,,,4952674806.36,,,,,,,300663161.96,4052321421.66,1165580958.3,,1053051403.83,1262037245.36,153621648.67,,,,-158759535.49,-18147625.08,-22784533.59,,,63895500.42,-647582095,-226981509.34,697677201.44,,0,2302302910.48,118941539.74,,46697496.63,,,0,2374546953.59,203462452.14,,,,2171084501.45,,2171084501.45,,1685521754.82,485562746.63,1634660607.17,,,0.5893,0.5893,-4460501.94,-3049706.43,-1410795.51,,,,,,,,,,-3049706.43,,,,,,,,-3049706.43,,,,,2166623999.51,1682472048.39,484151951.12,,,,,-6382264.14,标准无保留意见,000938,RPT_F10_FINANCE_GINCOME,eastmoney RPT_F10_FINANCE_GINCOME,2026-09-10T08:40:31+00:00
000938.SZ,000938,紫光股份,10005803,通用,2024-12-31,年报,2024年报,058001001,2025-04-29,2026-04-15,CNY,79024078451.16,79024078451.16,,,,,,76778742572.77,65282115477.87,,,5101818089.81,,,,,,,269667115.36,4144253287.93,1026596617.18,,954291984.62,857978325.77,300574175.18,,,,101428335.7,35341661.82,-11306752,,,2944443.06,-866346477.89,-158450380.5,808588613.86,,0,2168842074.44,85978622.63,,27867300.41,,,0,2226953396.66,244676363.64,,,,1982277033.02,,1982277033.02,,1572434477.25,409842555.77,1456135697.84,,,0.5498,0.5498,-2052978.13,-1720899.17,-332078.96,,,,,,,,,,-1720899.17,,,,,,,,-1720899.17,,,,,1980224054.89,1570713578.08,409510476.81,,,,,-4730180.73,标准无保留意见,000938,RPT_F10_FINANCE_GINCOME,eastmoney RPT_F10_FINANCE_GINCOME,2026-09-10T08:40:31+00:00
000938.SZ,000938,紫光股份,10005803,通用,2023-12-31,年报,2023年报,058001001,2024-04-30,2025-04-29,CNY,77307810774.02,77307810774.02,,,,,,74534722553.37,62157923780.74,,,5643444840.42,,,,,,,282517291.82,4287079162.36,1392389199.04,,771368278.99,317701729.59,353935381.71,,,,-75143202.31,138891888.8,2738116.49,,,1547156.03,-594689583.84,-136048448.92,1569936356.99,,0,3677582387.4,89145608.9,,6514459.17,,,0,3760213537.13,75691347.68,,,,3684522189.45,,3684522189.45,,2103017289.02,1581504900.43,1674867758.16,,,0.7353,0.7353,4965031,2297522.6,2667508.4,,,,,,,,,,2297522.6,-443730.51,,,,,,,2741253.11,,,,,3689487220.45,2105314811.62,1584172408.83,,,,,-3670633.66,标准无保留意见,000938,RPT_F10_FINANCE_GINCOME,eastmoney RPT_F10_FINANCE_GINCOME,2026-09-10T08:40:31+00:00
000938.SZ,000938,紫光股份,10005803,通用,2022-12-31,年报,2022年报,058001001,2023-03-31,2024-04-30,CNY,74057649380.57,74057649380.57,,,,,,70214355006.29,58771992529.49,,,5298851200.81,,,,,,,294235220.06,4251420252.9,964244793.11,,633611009.92,314933722.15,235262802.6,,,,27231825.11,20517330.58,-5042794.45,,,-854438.59,-695213772.79,-150982649.7,1116474315.97,,0,4160466984.86,69157886.26,,9511493.32,,,0,4220113377.8,478498404.72,,,,3741614973.08,,3741614973.08,,2157921833.07,1583693140.01,1759272850.19,,,0.754,0.754,16223437.76,8491718.89,7731718.87,,,,,,,,,,8491718.89,586779.68,,,,,,,7904939.21,,,,,3757838410.84,2166413551.96,1591424858.88,,,,,-7062701.96,标准无保留意见,000938,RPT_F10_FINANCE_GINCOME,eastmoney RPT_F10_FINANCE_GINCOME,2026-09-10T08:40:31+00:00
000938.SZ,000938,紫光股份,10005803,通用,2021-12-31,年报,2021年报,058001001,2022-03-26,2023-03-31,CNY,67637538538.75,67637538538.75,,,,,,64291688573.26,54469720580.64,,,4809096589.67,,,,,,,253254008.99,4118212774.59,933666886.73,,-292262267.36,243014280.74,194834543.7,,,,45247066.47,-24307237.14,-1854531.27,,,1329346.09,-586799642.81,-115869142.97,1422499546.18,,0,4087949901.31,92933866.74,,4589377.41,,,0,4176294390.64,383902537.68,,,,3792391852.96,,3792391852.96,,2147646278.03,1644745574.93,1654359455.98,,,0.751,0.751,-6851799.4,-3415066.07,-3436733.33,,,-212481.75,,,,,-212481.75,,-3202584.32,333246.73,,,,,,,-3535831.05,,,,,3785540053.56,2144231211.96,1641308841.6,,,,,,标准无保留意见,000938,RPT_F10_FINANCE_GINCOME,eastmoney RPT_F10_FINANCE_GINCOME,2026-09-10T08:40:31+00:00
000938.SZ,000938,紫光股份,10005803,通用,2020-12-31,年报,2020年报,058001001,2021-04-24,2022-03-26,CNY,60083923906.8,60083923906.8,,,,,,56374195885.74,48240059774.35,,,3865466759.16,,,,,,,207286998.42,3476901791.08,818919852.73,,-234439290,305170255.2,238945613.78,,,,-42148275.66,-55531541.51,-18383267.07,,,946451.63,-485996270.64,-98277738.46,494652553.72,,0,3523373200.14,99687375.68,,7706078.49,,,0,3615354497.33,550894137.61,,,,3064460359.72,,3064460359.72,,1812172035.54,1252288324.18,1488221967,,,0.634,0.634,-45929442.34,-26731440.66,-19198001.68,,,-637445.25,,-637445.25,,,,,-26093995.41,-358494.77,,,,,,,-25735500.64,,,,,3018530917.38,1785440594.88,1233090322.5,,,,,,标准无保留意见,000938,RPT_F10_FINANCE_GINCOME,eastmoney RPT_F10_FINANCE_GINCOME,2026-09-10T08:40:31+00:00
000938.SZ,000938,紫光股份,10005803,通用,2019-12-31,年报,2019年报,058001001,2020-04-25,2021-04-24,CNY,54099057664.94,54099057664.94,,,,,,50822218109.15,42773527856.17,,,3315197213.79,,,,,,,223492781.78,3311209456.12,755339333.67,,443451467.62,246423622.76,161507728.93,,,,150708174.93,9149371.38,10178736.83,,,666280.12,-279724268.97,-110405637.85,474021468.61,,0,3521254944.01,104735048.72,,14831028.13,,,0,3611158964.6,536524345.78,,,,3074634618.82,,3074634618.82,,1843402111.12,1231232507.7,1111227419.19,,,0.645,0.645,22428563.84,11982739.1,10445824.74,,,,,,,,,,11982739.1,,,,,,,,11982739.1,,,,,3097063182.66,1855384850.22,1241678332.44,,,,,,标准无保留意见,000938,RPT_F10_FINANCE_GINCOME,eastmoney RPT_F10_FINANCE_GINCOME,2026-09-10T08:40:31+00:00
000938.SZ,000938,紫光股份,10005803,通用,2018-12-31,年报,2018年报,058001001,2019-04-12,2020-04-25,CNY,48338071477.87,48338071477.87,,,,,,45805763623.36,38064736793.87,,,3328309644.42,,,,,,,236967458.42,3087230289.88,691108587.65,,397410849.12,157995611.66,92525207.85,,,,35924955.05,173077146.1,-11860088.61,,,372451.21,-491051555.7,,898219027.74,,0,3148849878.91,82835915.85,,30077576.1,,,0,3201608218.66,264861656.66,,,,2936746562,,2936746562,,1705539607.32,1231206954.68,1312809815.42,,,0.835,0.835,-66708375.15,-71034100.29,4325725.14,,,,,,,,,,-71034100.29,,-75612707.46,,,,,,4578607.17,,,,,2870038186.85,1634505507.03,1235532679.82,,,,,,标准无保留意见,000938,RPT_F10_FINANCE_GINCOME,eastmoney RPT_F10_FINANCE_GINCOME,2026-09-10T08:40:31+00:00
000938.SZ,000938,紫光股份,10005803,通用,2017-12-31,年报,2017年报,058001001,2018-04-26,2019-04-12,CNY,39072173567.27,39072173567.27,,,,,,37657876563.04,30492007300.15,,,3023218363.44,,,,,,,179872905.68,2717927135.69,696705460.32,,118355251.99,105296644.91,85025874.78,429790145.77,,,,269700717.89,-18338988.59,,,187773.24,,,1188515946.14,,0,2872701441.5,129342331.52,,9280316.79,,,0,2992763456.23,372579656.32,,,,2620183799.91,,2620183799.91,,1565147285.01,1055036514.9,971062992.56,,,1.073,1.073,-130857185.82,-128662103,-2195082.82,,,,,,,,,,-128662103,,-126410191.68,,,,,,-2251911.32,,,,,2489326614.09,1436485182.01,1052841432.08,,,,,,标准无保留意见,000938,RPT_F10_FINANCE_GINCOME,eastmoney RPT_F10_FINANCE_GINCOME,2026-09-10T08:40:31+00:00
000938.SZ,000938,紫光股份,10005803,通用,2016-12-31,年报,2016年报,058001001,2017-04-28,2018-04-26,CNY,27709709064.34,27709709064.34,,,,,,27375986276.82,22525182549.69,,,,,,0,,,,169981631.61,1857725132.94,2599322143.14,,-1289714.55,,,225064533.99,,0,,558217842.58,-4083951.73,,,165584.35,,,,,0,892106214.45,272433118.2,,13325108.4,,0,0,1151214224.25,-42313153.1,,,,1193527377.35,,1193527377.35,,814822574.6,378704802.75,542502881.82,,,1.067,1.067,-810967285.53,-813318769.24,2351483.71,,,,,,,,,,-813318769.24,,-815767290.71,,,,,,2448521.47,,,,,382560091.82,1503805.36,381056286.46,,,,,,标准无保留意见,000938,RPT_F10_FINANCE_GINCOME,eastmoney RPT_F10_FINANCE_GINCOME,2026-09-10T08:40:31+00:00
