trade_date,security_code,security_name,exchange,quality_tier,quality_tier_label,quality_score,pool_layer,fair_price_low,fair_price_high,band_position,margin_of_safety,model_intrinsic_value,model_band_source,model_pv,hold_intrinsic_value,hold_band_source,hold_pv,strategy_tag,total_market_cap_bn,signal_state,review_frozen,note,gap_trading_days,gap_return,gap_max_vol_ratio,gap_max_vol_day,close,mark_close,mark_date,tradable,adjustment_basis,amount,ma20,ma60,amount_ma20,data_source,screened_at_utc
2026-09-15,600519,贵州茅台,SSE,L1,L1,90.15,core,536.40,655.60,越带顶+94%,,,,,,,,A-现金流复利型,1613.7050,ok,,,,,,,1272.75,1272.75,2026-09-15,True,2026-09-15,1756915149.0,1296.301,1278.5242,3418457362.6,https://push2his.eastmoney.com/api/qt/stock/kline/get?secid=1.600519&fields1=f1%2Cf2%2Cf3%2Cf4%2Cf5%2Cf6&fields2=f51%2Cf52%2Cf53%2Cf54%2Cf55%2Cf56%2Cf57%2Cf58%2Cf59%2Cf60%2Cf61&klt=101&fqt=0&beg=20200101&end=20260915&lmt=1000,2026-09-15T07:55:46+00:00
2026-09-15,000333,美的集团,SZSE,L2,L2,78.1,core,52.83,64.57,越带顶+35%,,,,,,,,A-现金流复利型,656.2600,ok,,,,,,,87.23,87.23,2026-09-15,True,2026-09-15,1722618378.59,86.3415,83.4598,1814646412.2235,https://push2his.eastmoney.com/api/qt/stock/kline/get?secid=0.000333&fields1=f1%2Cf2%2Cf3%2Cf4%2Cf5%2Cf6&fields2=f51%2Cf52%2Cf53%2Cf54%2Cf55%2Cf56%2Cf57%2Cf58%2Cf59%2Cf60%2Cf61&klt=101&fqt=0&beg=20200101&end=20260915&lmt=1000,2026-09-15T07:55:44+00:00
2026-09-15,603288,海天味业,SSE,L2,L2,78.0,core,11.86,14.50,越带顶+135%,,,,,,,,A-现金流复利型,201.0420,ok,,,,,,,34.07,34.07,2026-09-15,True,2026-09-15,234806978.0,34.542,35.2533,545823709.35,https://push2his.eastmoney.com/api/qt/stock/kline/get?secid=1.603288&fields1=f1%2Cf2%2Cf3%2Cf4%2Cf5%2Cf6&fields2=f51%2Cf52%2Cf53%2Cf54%2Cf55%2Cf56%2Cf57%2Cf58%2Cf59%2Cf60%2Cf61&klt=101&fqt=0&beg=20200101&end=20260915&lmt=1000,2026-09-15T07:55:45+00:00
2026-09-15,603195,公牛集团,SSE,L2,L2,76.55,core,20.34,24.86,越带顶+54%,,,,,,,,A-现金流复利型,69.9560,ok,,,,,,,38.37,38.37,2026-09-15,True,2026-09-15,84117121.0,39.1625,39.2443,132171420.6,https://push2his.eastmoney.com/api/qt/stock/kline/get?secid=1.603195&fields1=f1%2Cf2%2Cf3%2Cf4%2Cf5%2Cf6&fields2=f51%2Cf52%2Cf53%2Cf54%2Cf55%2Cf56%2Cf57%2Cf58%2Cf59%2Cf60%2Cf61&klt=101&fqt=0&beg=20200101&end=20260915&lmt=1000,2026-09-15T07:55:46+00:00
2026-09-15,601899,紫金矿业,SSE,L2,L2,74.4,core,24.85,30.37,越带顶+4%,,,,,,,,F-资源NAV型,914.7210,ok,,,,,,,31.68,31.68,2026-09-15,True,2026-09-15,4146681642.0,33.563,31.0645,7812021658.9,https://push2his.eastmoney.com/api/qt/stock/kline/get?secid=1.601899&fields1=f1%2Cf2%2Cf3%2Cf4%2Cf5%2Cf6&fields2=f51%2Cf52%2Cf53%2Cf54%2Cf55%2Cf56%2Cf57%2Cf58%2Cf59%2Cf60%2Cf61&klt=101&fqt=0&beg=20200101&end=20260915&lmt=1000,2026-09-15T07:55:44+00:00
2026-09-15,600900,长江电力,SSE,L1,L1,87.1,core,17.84,21.81,越带顶+31%,,,,,,,,K-稳态现金分配型,686.3340,ok,,,,,,,28.5,28.5,2026-09-15,True,2026-09-15,1730569180.0,28.24,27.8647,2654107606.25,https://push2his.eastmoney.com/api/qt/stock/kline/get?secid=1.600900&fields1=f1%2Cf2%2Cf3%2Cf4%2Cf5%2Cf6&fields2=f51%2Cf52%2Cf53%2Cf54%2Cf55%2Cf56%2Cf57%2Cf58%2Cf59%2Cf60%2Cf61&klt=101&fqt=0&beg=20200101&end=20260915&lmt=1000,2026-09-15T07:55:46+00:00
2026-09-15,601088,中国神华,SSE,L1,L1,77.7,core,25.83,31.57,越带顶+49%,,,,,,,,F-资源NAV型,1026.5610,ok,,,,,,,46.98,46.98,2026-09-15,True,2026-09-15,742764422.0,47.273,44.3892,1268343367.85,https://push2his.eastmoney.com/api/qt/stock/kline/get?secid=1.601088&fields1=f1%2Cf2%2Cf3%2Cf4%2Cf5%2Cf6&fields2=f51%2Cf52%2Cf53%2Cf54%2Cf55%2Cf56%2Cf57%2Cf58%2Cf59%2Cf60%2Cf61&klt=101&fqt=0&beg=20200101&end=20260915&lmt=1000,2026-09-15T07:55:44+00:00
2026-09-15,600938,中国海油,SSE,L2,L2,76.5,core,34.56,42.24,低于带底-3%,0.148,,,,,,,F-资源NAV型,1624.5740,ok,,,,,,,33.45,33.45,2026-09-15,True,2026-09-15,1179786447.0,33.8145,31.4126,1522910237.85,https://push2his.eastmoney.com/api/qt/stock/kline/get?secid=1.600938&fields1=f1%2Cf2%2Cf3%2Cf4%2Cf5%2Cf6&fields2=f51%2Cf52%2Cf53%2Cf54%2Cf55%2Cf56%2Cf57%2Cf58%2Cf59%2Cf60%2Cf61&klt=101&fqt=0&beg=20200101&end=20260915&lmt=1000,2026-09-15T07:55:46+00:00
2026-09-15,300308,中际旭创,SZSE,L2,L2,67.55,core,80.57,98.47,越带顶+777%,,,,,,,,D-产业链爆发/关键瓶颈型,1070.6020,ok,,,,,,,864.01,864.01,2026-09-15,True,2026-09-15,15613591729.56,872.8915,996.7747,23843263562.828,https://push2his.eastmoney.com/api/qt/stock/kline/get?secid=0.300308&fields1=f1%2Cf2%2Cf3%2Cf4%2Cf5%2Cf6&fields2=f51%2Cf52%2Cf53%2Cf54%2Cf55%2Cf56%2Cf57%2Cf58%2Cf59%2Cf60%2Cf61&klt=101&fqt=0&beg=20200101&end=20260915&lmt=1000,2026-09-15T07:55:45+00:00
2026-09-15,002371,北方华创,SZSE,L1,L1,80.1,core,110.05,134.51,越带顶+374%,,,,,,,,D-产业链爆发/关键瓶颈型,469.0850,ok,,,,,,,638.16,638.16,2026-09-15,True,2026-09-15,4277067682.59,674.233,733.7274,4529517215.7025,https://push2his.eastmoney.com/api/qt/stock/kline/get?secid=0.002371&fields1=f1%2Cf2%2Cf3%2Cf4%2Cf5%2Cf6&fields2=f51%2Cf52%2Cf53%2Cf54%2Cf55%2Cf56%2Cf57%2Cf58%2Cf59%2Cf60%2Cf61&klt=101&fqt=0&beg=20200101&end=20260915&lmt=1000,2026-09-15T07:55:46+00:00
