number,security_code,as_of_year,cutoff_notice
1,002985,2020,2021-03-18
2,688330,2020,2021-04-10
3,688586,2020,2021-03-15
4,300908,2020,2021-04-07
5,605218,2020,2021-04-16
6,688526,2020,2021-04-20
7,300877,2020,2021-03-25
8,603203,2020,2021-04-30
9,002829,2020,2021-04-23
10,688529,2020,2021-04-28
11,688189,2020,2021-03-27
12,601086,2020,2021-04-28
13,300879,2020,2021-04-20
14,605336,2020,2021-04-15
15,688057,2020,2021-03-03
16,688566,2020,2021-04-28
17,300617,2020,2021-01-27
18,002980,2020,2021-04-30
19,300824,2020,2021-03-25
20,688181,2020,2021-04-21
21,600113,2020,2021-04-28
22,002908,2020,2021-04-21
23,605388,2020,2021-04-16
24,300767,2020,2021-04-26
25,600738,2020,2021-03-31
26,300884,2020,2021-04-15
27,000715,2020,2021-03-27
28,603079,2020,2021-04-13
29,300379,2020,2021-04-27
30,688026,2020,2021-04-30
31,003029,2020,2021-04-29
32,605068,2020,2021-04-08
33,300648,2020,2021-04-24
34,300853,2020,2021-04-27
35,003027,2020,2021-03-26
36,300099,2020,2021-04-28
37,300915,2020,2021-04-23
38,688051,2020,2021-04-22
39,300380,2020,2021-04-27
40,003005,2020,2021-04-29
41,688588,2020,2021-04-20
42,688788,2020,2021-04-20
43,300631,2020,2021-04-13
44,300878,2020,2021-03-31
45,605376,2020,2021-04-27
46,688678,2020,2021-04-23
47,000518,2020,2021-04-17
48,600228,2020,2021-03-20
49,688365,2020,2021-04-09
