security_code,security_name,quality_tier,industry,industry_n,fy_years,roe_median,roe_min,roe_years_ge15,roe_latest_fy,roe_2026h1,roe_pctl_median,roe_pctl_min,roe_pctl_years_ge80,gm_first5_avg,gm_last5_avg,gm_latest_fy,rev_cagr,ni_cagr,ni_negative_years,ocf_to_ni_median,roe_series,pctl_series
000063,中兴通讯,L2,制造业,3511,11,12.28,-26.1,3,7.58,3.65,66.0,3.0,2,32.6,36.4,30.2505716027,2.9,5.8,2,1.58,2015:12.3 2016:-8.4 2017:15.7 2018:-26.1 2019:20.0 2020:10.2 2021:14.5 2022:14.7 2023:15.2 2024:12.0 2025:7.6,55 3 66 3 76 47 66 75 86 82 67
000333,美的集团,L2,制造业,3511,11,24.95,19.7,11,19.7,11.33,87.0,85.0,11,26.9,25.0,26.3910058433,12.6,13.2,0,1.4,2015:29.1 2016:26.9 2017:25.9 2018:25.7 2019:26.4 2020:24.9 2021:24.1 2022:22.2 2023:22.2 2024:21.3 2025:19.7,89 87 86 86 87 85 87 90 95 96 96
000338,潍柴动力,L2,制造业,3511,11,13.69,4.38,5,12.08,8.0,77.0,26.0,3,22.3,20.2,21.4753883594,12.1,22.7,0,2.58,2015:4.4 2016:7.7 2017:20.2 2018:22.7 2019:21.2 2020:18.6 2021:16.9 2022:6.7 2023:11.7 2024:13.7 2025:12.1,26 36 78 82 79 73 73 43 77 87 84
000408,藏格矿业,L2,制造业,3511,11,19.4,2.93,8,24.71,21.19,78.0,19.0,5,68.0,62.0,59.2390906294,2.7,14.5,0,0.87,2015:42.8 2016:21.6 2017:18.5 2018:12.2 2019:4.0 2020:2.9 2021:16.4 2022:50.1 2023:27.6 2024:19.4 2025:24.7,96 78 74 55 23 19 72 99 97 94 98
000423,东阿阿胶,L2,制造业,3511,11,14.56,-4.22,5,16.66,8.12,75.0,8.0,5,62.0,68.8,73.469745661,2.1,0.7,1,1.51,2015:24.8 2016:24.1 2017:22.5 2018:19.6 2019:-4.2 2020:0.4 2021:4.5 2022:7.7 2023:11.1 2024:14.6 2025:16.7,84 83 82 75 8 11 25 49 75 88 93
000425,徐工机械,L2,制造业,3511,11,9.83,0.27,1,11.0,6.33,51.0,8.0,1,18.6,21.5,22.6079679267,19.7,60.9,0,1.62,2015:0.3 2016:1.0 2017:4.7 2018:8.3 2019:12.6 2020:9.9 2021:15.9 2022:8.1 2023:9.8 2024:10.4 2025:11.0,9 8 22 40 55 46 70 51 70 77 81
000426,兴业银锡,L2,采矿业,85,11,3.19,-3.5,3,19.6,21.32,30.0,10.0,2,50.2,53.4,57.5904415305,20.9,,3,1.96,2015:-1.0 2016:3.1 2017:11.0 2018:-3.2 2019:1.9 2020:-3.5 2021:4.7 2022:3.2 2023:16.1 2024:21.3 2025:19.6,20 38 69 10 16 14 30 14 68 93 88
000538,云南白药,L1,制造业,3511,11,10.51,7.58,2,13.02,9.04,62.0,35.0,3,30.3,27.5,29.5094961103,7.1,6.4,0,0.85,2015:22.4 2016:20.0 2017:7.9 2018:9.1 2019:10.3 2020:14.5 2021:7.6 2022:7.9 2023:10.5 2024:12.0 2025:13.0,80 75 35 43 48 62 37 50 73 82 86
000568,泸州老窖,L2,制造业,3511,11,25.5,14.67,10,22.66,8.62,89.0,63.0,7,68.1,86.9,86.6241181512,14.1,22.1,0,0.97,2015:14.7 2016:18.1 2017:20.3 2018:21.8 2019:25.5 2020:28.3 2021:31.1 2022:33.3 2023:35.1 2024:30.4 2025:22.7,63 71 78 80 86 89 94 96 99 99 97
000596,古井贡酒,L2,制造业,3511,11,19.53,14.28,10,14.28,8.42,83.0,65.0,7,75.4,78.1,79.2560354639,13.6,17.4,0,0.98,2015:15.9 2016:15.9 2017:19.1 2018:24.0 2019:25.6 2020:19.5 2021:21.2 2022:17.9 2023:22.9 2024:23.9 2025:14.3,66 65 76 83 86 76 83 83 95 97 89
