market,security_code,security_name,period,fiscal_year,notice_date,report_currency,revenue,operating_income,pretax,income_tax,interest_expense,ebit,tax_rate,tax_rate_observed,nopat,total_equity,parent_equity,minority_equity,interest_debt,cash_like,excess_cash,invested_capital,capex,dep_amort,cfo,shares,buybacks,dividends_paid,tags_used,source,period_type,report_label,evidence_url
HK,03888,金山软件,2004-12-31,2004,2004-12-31,CNY,112007000.0,4926000.0,5360000.0,1578000.0,264000.0,5624000.0,0.294403,1,3968277.6119402987,-16853000.0,-16853000.0,0.0,23505000.0,102414000.0,100173860.0,,9379000.0,7054000.0,46606000.0,1381814510.0,0.0,0.0,capex=cashflow:购建固定资产;cash=balance:现金及等价物;cfo=cashflow:经营业务现金净额;dep_amort=cashflow:加:折旧及摊销;income_tax=income:税项;interest_expense=income:融资成本;lt_loan=balance:长期贷款;operating_income=income:经营溢利;parent_equity=balance:股东权益;pretax=income:除税前溢利;revenue=income:营业额;st_loan=balance:短期贷款;total_equity=balance:总权益,"eastmoney HK F10 (RPT_HKF10_FN_*_PC, DATE_TYPE_CODE=001)",annual,年报（FY2004，截至 2004-12-31）,
HK,03888,金山软件,2005-12-31,2005,2005-12-31,CNY,215201000.0,28691000.0,29509000.0,4923000.0,494000.0,30003000.0,0.16683,1,24997585.753498934,41753000.0,38153000.0,3600000.0,23502000.0,137568000.0,133263980.0,,27440000.0,11835000.0,58362000.0,1381814510.0,0.0,0.0,capex=cashflow:购建固定资产;cash=balance:现金及等价物;cfo=cashflow:经营业务现金净额;dep_amort=cashflow:加:折旧及摊销;income_tax=income:税项;interest_expense=income:融资成本;lt_loan=balance:长期贷款;minority_equity=balance:少数股东权益;operating_income=income:经营溢利;parent_equity=balance:股东权益;pretax=income:除税前溢利;revenue=income:营业额;st_loan=balance:短期贷款;total_equity=balance:总权益,"eastmoney HK F10 (RPT_HKF10_FN_*_PC, DATE_TYPE_CODE=001)",annual,年报（FY2005，截至 2005-12-31）,
HK,03888,金山软件,2006-12-31,2006,2006-12-31,CNY,316431000.0,111744000.0,108699000.0,9589000.0,6271000.0,114970000.0,0.088216,1,104827796.94385412,267827000.0,243161000.0,24666000.0,2000000.0,333508000.0,327179380.0,,14072000.0,18239000.0,139701000.0,1381814510.0,17302000.0,0.0,buybacks=cashflow:回购股份;capex=cashflow:购建固定资产;cash=balance:现金及等价物;cfo=cashflow:经营业务现金净额;dep_amort=cashflow:加:折旧及摊销;income_tax=income:税项;interest_expense=income:融资成本;lt_loan=balance:长期贷款;minority_equity=balance:少数股东权益;operating_income=income:经营溢利;parent_equity=balance:股东权益;pretax=income:除税前溢利;revenue=income:营业额;st_loan=balance:短期贷款;total_equity=balance:总权益,"eastmoney HK F10 (RPT_HKF10_FN_*_PC, DATE_TYPE_CODE=001)",annual,年报（FY2006，截至 2006-12-31）,
HK,03888,金山软件,2007-12-31,2007,2007-12-31,CNY,556614000.0,123690000.0,142794000.0,12658000.0,1211000.0,144005000.0,0.088645,1,131239650.68560304,1133657000.0,1111207000.0,22450000.0,0.0,1246077000.0,1234944720.0,,31027000.0,24349000.0,345474000.0,1381814510.0,0.0,0.0,buybacks=cashflow:回购股份;capex=cashflow:购建固定资产;cash=balance:现金及等价物;cfo=cashflow:经营业务现金净额;dep_amort=cashflow:加:折旧及摊销;income_tax=income:税项;interest_expense=income:融资成本;lt_loan=balance:长期贷款;minority_equity=balance:少数股东权益;operating_income=income:经营溢利;parent_equity=balance:股东权益;pretax=income:除税前溢利;revenue=income:营业额;st_loan=balance:短期贷款;total_equity=balance:总权益,"eastmoney HK F10 (RPT_HKF10_FN_*_PC, DATE_TYPE_CODE=001)",annual,年报（FY2007，截至 2007-12-31）,
HK,03888,金山软件,2008-12-31,2008,2008-12-31,CNY,820944000.0,306913000.0,363920000.0,,0.0,363920000.0,0.165,0,303873200.0,1328365000.0,1315517000.0,12848000.0,0.0,1007115000.0,990696120.0,337668880.0,0.0,32366000.0,,1381814510.0,0.0,95997000.0,buybacks=cashflow:回购股份;capex=cashflow:购建固定资产;cash=balance:现金及等价物;cfo=cashflow:经营业务现金净额;dep_amort=cashflow:加:折旧及摊销;dividends_paid=cashflow:已付股息(融资);income_tax=income:税项;interest_expense=income:融资成本;lt_loan=balance:长期贷款;minority_equity=balance:少数股东权益;operating_income=income:经营溢利;parent_equity=balance:股东权益;pretax=income:除税前溢利;revenue=income:营业额;st_loan=balance:短期贷款;total_equity=balance:总权益,"eastmoney HK F10 (RPT_HKF10_FN_*_PC, DATE_TYPE_CODE=001)",annual,年报（FY2008，截至 2008-12-31）,
HK,03888,金山软件,2009-12-31,2009,2009-12-31,CNY,1013438000.0,404027000.0,448313000.0,59459000.0,0.0,448313000.0,0.132628,1,388854000.0,1604310000.0,1588692000.0,15618000.0,0.0,1268098000.0,1247829240.0,356480760.0,78655000.0,56566000.0,446874000.0,1381814510.0,0.0,140791000.0,buybacks=cashflow:回购股份;capex=cashflow:购建固定资产;cash=balance:现金及等价物;cfo=cashflow:经营业务现金净额;dep_amort=cashflow:加:折旧及摊销;dividends_paid=cashflow:已付股息(融资);income_tax=income:税项;interest_expense=income:融资成本;lt_loan=balance:长期贷款;minority_equity=balance:少数股东权益;operating_income=income:经营溢利;parent_equity=balance:股东权益;pretax=income:除税前溢利;revenue=income:营业额;st_loan=balance:短期贷款;total_equity=balance:总权益,"eastmoney HK F10 (RPT_HKF10_FN_*_PC, DATE_TYPE_CODE=001)",annual,年报（FY2009，截至 2009-12-31）,
HK,03888,金山软件,2010-12-31,2010,2010-12-31,CNY,971397000.0,280200000.0,439688000.0,65155000.0,721000.0,440409000.0,0.148185,1,375147158.8876658,1934061000.0,1909878000.0,24183000.0,102108000.0,1656157000.0,1636729060.0,399439940.0,58394000.0,84116000.0,391336000.0,1381814510.0,0.0,143153000.0,buybacks=cashflow:回购股份;capex=cashflow:购建固定资产;cash=balance:现金及等价物;cfo=cashflow:经营业务现金净额;dep_amort=cashflow:加:折旧及摊销;dividends_paid=cashflow:已付股息(融资);income_tax=income:税项;interest_expense=income:融资成本;lt_loan=balance:长期贷款;minority_equity=balance:少数股东权益;operating_income=income:经营溢利;parent_equity=balance:股东权益;pretax=income:除税前溢利;revenue=income:营业额;st_loan=balance:短期贷款;total_equity=balance:总权益,"eastmoney HK F10 (RPT_HKF10_FN_*_PC, DATE_TYPE_CODE=001)",annual,年报（FY2010，截至 2010-12-31）,
HK,03888,金山软件,2011-12-31,2011,2011-12-31,CNY,1020508000.0,331515000.0,385196000.0,50162000.0,3461000.0,388657000.0,0.130225,1,338044292.6146689,2213120000.0,2119833000.0,93287000.0,346655000.0,1953770000.0,1933359840.0,626415160.0,69596000.0,92568000.0,451768000.0,1381814510.0,47420000.0,374957000.0,buybacks=cashflow:回购股份;capex=cashflow:购建固定资产;cash=balance:现金及等价物;cfo=cashflow:经营业务现金净额;dep_amort=cashflow:加:折旧及摊销;dividends_paid=cashflow:已付股息(融资);income_tax=income:税项;interest_expense=income:融资成本;lt_loan=balance:长期贷款;minority_equity=balance:少数股东权益;operating_income=income:经营溢利;parent_equity=balance:股东权益;pretax=income:除税前溢利;revenue=income:营业额;st_loan=balance:短期贷款;total_equity=balance:总权益,"eastmoney HK F10 (RPT_HKF10_FN_*_PC, DATE_TYPE_CODE=001)",annual,年报（FY2011，截至 2011-12-31）,
HK,03888,金山软件,2012-12-31,2012,2012-12-31,CNY,1411161000.0,413910000.0,527793000.0,61359000.0,8702000.0,536495000.0,0.116256,1,474124341.98634696,2674932000.0,2514829000.0,160103000.0,413559000.0,2416259000.0,2388035780.0,700455220.0,59244000.0,88364000.0,555946000.0,1381814510.0,5836000.0,105985000.0,buybacks=cashflow:回购股份;capex=cashflow:购建固定资产;cash=balance:现金及等价物;cfo=cashflow:经营业务现金净额;dep_amort=cashflow:加:折旧及摊销;dividends_paid=cashflow:已付股息(融资);income_tax=income:税项;interest_expense=income:融资成本;lt_loan=balance:长期贷款;minority_equity=balance:少数股东权益;operating_income=income:经营溢利;parent_equity=balance:股东权益;pretax=income:除税前溢利;revenue=income:营业额;st_loan=balance:短期贷款;total_equity=balance:总权益,"eastmoney HK F10 (RPT_HKF10_FN_*_PC, DATE_TYPE_CODE=001)",annual,年报（FY2012，截至 2012-12-31）,
HK,03888,金山软件,2013-12-31,2013,2013-12-31,CNY,2173269000.0,681880000.0,825052000.0,71178000.0,24466000.0,849518000.0,0.086271,1,776229295.5256153,3830691000.0,3380221000.0,450470000.0,15724000.0,4481188000.0,4437722620.0,,82980000.0,98872000.0,938124000.0,1381814510.0,0.0,121762000.0,buybacks=cashflow:回购股份;capex=cashflow:购建固定资产;cash=balance:现金及等价物;cfo=cashflow:经营业务现金净额;dep_amort=cashflow:加:折旧及摊销;dividends_paid=cashflow:已付股息(融资);income_tax=income:税项;interest_expense=income:融资成本;lt_loan=balance:长期贷款;minority_equity=balance:少数股东权益;operating_income=income:经营溢利;parent_equity=balance:股东权益;pretax=income:除税前溢利;revenue=income:营业额;st_loan=balance:短期贷款;total_equity=balance:总权益,"eastmoney HK F10 (RPT_HKF10_FN_*_PC, DATE_TYPE_CODE=001)",annual,年报（FY2013，截至 2013-12-31）,
HK,03888,金山软件,2014-12-31,2014,2014-12-31,CNY,3350133000.0,507957000.0,961755000.0,95188000.0,75944000.0,1037699000.0,0.098973,1,934994576.927596,6116544000.0,4561375000.0,1555169000.0,15778000.0,6983699000.0,6916696340.0,,237281000.0,164186000.0,952264000.0,1381814510.0,45163000.0,189210000.0,buybacks=cashflow:回购股份;capex=cashflow:购建固定资产;cash=balance:现金及等价物;cfo=cashflow:经营业务现金净额;dep_amort=cashflow:加:折旧及摊销;dividends_paid=cashflow:已付股息(融资);income_tax=income:税项;interest_expense=income:融资成本;lt_loan=balance:长期贷款;minority_equity=balance:少数股东权益;operating_income=income:经营溢利;parent_equity=balance:股东权益;pretax=income:除税前溢利;revenue=income:营业额;st_loan=balance:短期贷款;total_equity=balance:总权益,"eastmoney HK F10 (RPT_HKF10_FN_*_PC, DATE_TYPE_CODE=001)",annual,年报（FY2014，截至 2014-12-31）,
HK,03888,金山软件,2015-12-31,2015,2015-12-31,CNY,5676106000.0,543039000.0,542360000.0,200656000.0,78067000.0,620427000.0,0.369968,1,390888685.75853676,9911355000.0,7870640000.0,2040715000.0,157552000.0,8606434000.0,8492911880.0,1575995120.0,0.0,326223000.0,1435334000.0,1381814510.0,0.0,133127000.0,buybacks=cashflow:回购股份;capex=cashflow:购建固定资产;cash=balance:现金及等价物;cfo=cashflow:经营业务现金净额;dep_amort=cashflow:加:折旧及摊销;dividends_paid=cashflow:已付股息(融资);income_tax=income:税项;interest_expense=income:融资成本;lt_loan=balance:长期贷款;minority_equity=balance:少数股东权益;operating_income=income:经营溢利;parent_equity=balance:股东权益;pretax=income:除税前溢利;revenue=income:营业额;st_loan=balance:短期贷款;total_equity=balance:总权益,"eastmoney HK F10 (RPT_HKF10_FN_*_PC, DATE_TYPE_CODE=001)",annual,年报（FY2015，截至 2015-12-31）,
HK,03888,金山软件,2016-12-31,2016,2016-12-31,CNY,3833537000.0,925133000.0,-81556000.0,177156000.0,107105000.0,25549000.0,0.165,0,21333415.0,10001724000.0,7887207000.0,2114517000.0,817874000.0,9825494000.0,9748823260.0,1070774740.0,613230000.0,450753000.0,1393218000.0,1381814510.0,0.0,110111000.0,buybacks=cashflow:回购股份;capex=cashflow:购建固定资产;cash=balance:现金及等价物;cfo=cashflow:经营业务现金净额;dep_amort=cashflow:加:折旧及摊销;dividends_paid=cashflow:已付股息(融资);income_tax=income:税项;interest_expense=income:融资成本;lt_loan=balance:长期贷款;minority_equity=balance:少数股东权益;operating_income=income:经营溢利;parent_equity=balance:股东权益;pretax=income:除税前溢利;revenue=income:营业额;st_loan=balance:短期贷款;total_equity=balance:总权益,"eastmoney HK F10 (RPT_HKF10_FN_*_PC, DATE_TYPE_CODE=001)",annual,年报（FY2016，截至 2016-12-31）,
HK,03888,金山软件,2017-12-31,2017,2017-12-31,CNY,5181290000.0,813912000.0,912114000.0,133834000.0,112391000.0,1024505000.0,0.146729,1,874179928.6054156,12552971000.0,12088590000.0,464381000.0,661847000.0,8505984000.0,8402358200.0,4812459800.0,667590000.0,467589000.0,1890385000.0,1381814510.0,0.0,271187000.0,buybacks=cashflow:回购股份;capex=cashflow:购建固定资产;cash=balance:现金及等价物;cfo=cashflow:经营业务现金净额;dep_amort=cashflow:加:折旧及摊销;dividends_paid=cashflow:已付股息(融资);income_tax=income:税项;interest_expense=income:融资成本;lt_loan=balance:长期贷款;minority_equity=balance:少数股东权益;operating_income=income:经营溢利;parent_equity=balance:股东权益;pretax=income:除税前溢利;revenue=income:营业额;st_loan=balance:短期贷款;total_equity=balance:总权益,"eastmoney HK F10 (RPT_HKF10_FN_*_PC, DATE_TYPE_CODE=001)",annual,年报（FY2017，截至 2017-12-31）,
