扫描标签,策略,期末资产,滚动3年Calmar中位,滚动3年Calmar_P10,滚动3年Calmar_P90,滚动3年回撤中位,滚动3年年化中位,滚动3年为负的窗口占比,滚动窗口数,滚动5年年化中位,滚动5年年化P10,滚动5年回撤中位,滚动5年Calmar中位,滚动5年为负的窗口占比,滚动5年窗口数,滚动10年年化中位,滚动10年年化P10,滚动10年回撤中位,滚动10年为负的窗口占比,滚动10年窗口数,逐年收益中位,逐年收益均值,逐年最差,逐年最好,逐年为正比例,完整自然年数,总收益,年化,年化波动,最大回撤,回撤区间,Calmar,Sharpe,平均仓位,周期数,胜率,盈亏比,平均持有天数,买入笔数,卖出笔数,年均换手,累计手续费,手续费占初始本金,基准年化,强平次数,最低担保比例,滚动3年Sharpe中位,滚动3年年化P25,滚动5年年化P25,滚动5年年化最差,滚动5年Sharpe中位,持仓数中位,持仓数P25,单票权重中位,单票权重P90,单票权重最大,前三权重中位,前三权重P90,前三权重最大,单票超60%天数占比,单票超100%天数占比,前五赢家,前五赢家盈亏,前五赢家占正贡献,互不重叠5年块中位,互不重叠5年块数,前五赢家贡献
V1FINAL,trend_x1.5_w0.0037_x1c_sma20_swap_corr0.85_tranche_sl2.8091_addma_swk20_cap0.2_sp_lot100_lrcV1FINAL,51157631.244251,0.8591008569313391,0.31857733448521525,1.328380908743895,0.29657851897261,0.2539219842614393,0.0,143,0.2595836250345773,0.15706191684308224,0.29657851897261,0.8503195180723121,0.0,119,0.25368602663201456,0.21385053414853794,0.4421902081252127,0.0,58,0.22104403494571456,0.24263581187982172,-0.12673449516217627,0.8065677637625368,0.8571428571428571,14,16.052543748083664,0.21273847655539946,0.26511222871816686,0.4421902081252127,2015-06-09~2016-01-28,0.48110173551188046,0.6794802132988805,0.9287984193460587,795,0.28176100628930817,13.819569648277154,52.79245283018868,2775,1095,3.507998840481523,330958.5682290008,0.11031952274300026,3.84%（同期超额 +17.43%）,,,,,,,,,,,,,,,,,,,,,,,
V304BASE,trend_x1_w0_x1c_sma20_swap_corr0.85_tranche_sl2.5_addma_nvs_swk20_cap0.15_sp_lot100_lrcV304BASE,49252032.8072496,0.8486905521306083,0.4663276596629441,1.5060209386008931,0.23778786676373997,0.24043155510497471,0.0,143,0.2495707350086689,0.18382469903901,0.32403211024505885,0.8279140266313575,0.0,119,0.25138218372447374,0.2193656419986878,0.4190322008071228,0.0,58,0.20782268388490366,0.24928146907093485,-0.19709739584195862,0.8413303475987981,0.9285714285714286,14,15.417344269083198,0.20961180604518748,0.24769804112753419,0.4190322008071228,2015-06-12~2016-01-28,0.500228396866498,0.7146275457067914,0.9354944388700365,639,0.3004694835680751,10.965348203843083,88.59780907668231,3261,1034,3.235488091368338,361086.87894039997,0.12036229298013332,3.84%（同期超额 +17.12%）,,,,,,,,,,,,,,,,,,,,,,,
V304ROIC,trend_x1_w0.0037_x1c_sma20_swap_corr0.85_tranche_sl2.8091_addma_nvs_swk20_cap0.15_sp_lot100_lrcV304ROIC,39177469.404495,0.8627474469132871,0.31554599931697414,1.2948450175968076,0.26020431612052963,0.22185419637987946,0.0,143,0.23621379122979613,0.16102813416756723,0.26020431612052963,0.8465324879862426,0.0,119,0.2333109919104166,0.1994056851822401,0.43869003544296437,0.0,58,0.1937843958324471,0.22016718293159768,-0.12703545281253026,0.7443129547540444,0.9285714285714286,14,12.059156468165,0.19093265800539894,0.24753188082276106,0.43869003544296437,2015-06-12~2016-01-28,0.43523363327048437,0.6396456676258652,0.9257320663806515,532,0.3082706766917293,12.583911902544248,100.81203007518798,2817,863,2.2543834368365507,192773.85386500013,0.06425795128833338,3.84%（同期超额 +15.25%）,,,,,,,,,,,,,,,,,,,,,,,
V304ROIC2,trend_x1_w0.0543_x1c_sma20_swap_corr0.85_tranche_sl2.5786_addma_nvs_swk20_cap0.15_sp_lot100_lrcV304ROIC2,66175018.3541974,0.9388445639875964,0.5537994201987196,1.3170545433494714,0.275556714020486,0.2567834524144448,0.0,143,0.2780230090986737,0.21314825247218305,0.29862553608351217,0.8471026120266543,0.0,119,0.27050633741719954,0.23834007507511523,0.3765473024981987,0.0,58,0.19211691622964466,0.2625427800283124,-0.12313643964168808,0.7666474560189465,0.9285714285714286,14,21.05833945139913,0.23415282844473806,0.24859954846478952,0.3765473024981987,2015-06-12~2016-01-28,0.6218417364598122,0.8107531443704421,0.9362508050498921,575,0.3060869565217391,14.362518586188374,99.56347826086956,3007,920,2.4878890258463238,306339.0567426003,0.10211301891420009,3.84%（同期超额 +19.58%）,,,,,,,,,,,,,,,,,,,,,,,
00520091101,trend_x1_w-0.5853_x1c_sma20_swap_corr0.85_tranche_sl1.1_cap0.05_sp_lot100_lrc_00520091101,16463962.326796995,0.6159147183569085,0.22734352579613362,1.8643905195771515,0.15874388586010568,0.10348806957263734,0.017857142857142856,168,,,,,,,,,,,,,,,,,,4.487987442265665,0.10735004712019758,0.13751089785418594,0.19623629614504146,2018-02-05~2019-01-02,0.547044808881092,0.543593892911843,0.6134521754090418,2896,0.3235497237569061,4.184051821633778,28.889157458563535,10438,5588,9.768313150372855,460157.4861230013,0.1533858287076671,1.96%（同期超额 +8.77%）,,,,,,,,,,,,,,,,,,,,,,,
00520100501,trend_x1_w-0.5853_x1c_sma20_swap_corr0.85_tranche_sl1.1_cap0.05_sp_lot100_lrc_00520100501,16947977.279612504,0.6544419162593819,0.27906426127834655,1.8187105425556975,0.15860082497081507,0.11089501887539854,0.0,161,,,,,,,,,,,,,,,,,,4.649325759870835,0.11286040881330295,0.14007223884834977,0.19636687080323212,2018-02-05~2019-01-02,0.5747426149413657,0.5729932400263814,0.629546556371059,2840,0.323943661971831,4.324990587897502,29.529225352112675,10364,5526,9.674749631911114,447674.74938749755,0.1492249164624992,2.76%（同期超额 +8.52%）,,,,,,,,,,,,,,,,,,,,,,,
00520101101,trend_x1_w-0.5853_x1c_sma20_swap_corr0.85_tranche_sl1.1_cap0.05_sp_lot100_lrc_00520101101,15924568.594429,0.6812197425569124,0.2495168519157938,1.886739188202155,0.16195537167100704,0.11123740706825513,0.0,156,,,,,,,,,,,,,,,,,,4.308189531476333,0.11211174815397307,0.1414268933416327,0.1964264523691137,2018-02-05~2019-01-02,0.5707568751651579,0.5622112134222272,0.6431739866926686,2840,0.3200704225352113,4.248609215211223,28.998591549295774,10343,5458,9.931133567198328,438972.50612099865,0.14632416870699955,1.94%（同期超额 +9.27%）,,,,,,,,,,,,,,,,,,,,,,,
00520110501,trend_x1_w-0.5853_x1c_sma20_swap_corr0.85_tranche_sl1.1_cap0.05_sp_lot100_lrc_00520110501,16372269.950846985,0.6857630948818886,0.3112240617109983,1.9138465150041164,0.1626458909301095,0.11869256981674803,0.0,149,,,,,,,,,,,,,,,,,,4.457423316948995,0.11803985447737486,0.14346601516866508,0.19641476732304441,2018-02-05~2019-01-02,0.6009724018522196,0.5955409825740964,0.6593015805223648,2874,0.32045929018789143,4.333680594746962,28.50417536534447,10227,5455,9.997350322326803,444272.66221300105,0.14809088740433368,2.53%（同期超额 +9.28%）,,,,,,,,,,,,,,,,,,,,,,,
00520111101,trend_x1_w-0.5853_x1c_sma20_swap_corr0.85_tranche_sl1.1_cap0.05_sp_lot100_lrc_00520111101,16983782.2400465,0.7105163922213421,0.33950424916741995,1.886005535804844,0.17134952537387627,0.12082847603632763,0.0,143,,,,,,,,,,,,,,,,,,4.661260746682167,0.1251267552350266,0.14621793208411138,0.19643758365100927,2018-02-05~2019-01-02,0.6369797108547548,0.6328005811487132,0.6801691715906099,2812,0.3225462304409673,4.334877658575878,28.903271692745378,10158,5377,10.074269632062553,450982.1385335002,0.15032737951116673,3.84%（同期超额 +8.67%）,,,,,,,,,,,,,,,,,,,,,,,
00520120501,trend_x1_w-0.5853_x1c_sma20_swap_corr0.85_tranche_sl1.1_cap0.05_sp_lot100_lrc_00520120501,17252635.984206997,0.6911594063615573,0.3236146441112404,1.8858084024674873,0.17549125875940585,0.11638209505075459,0.0,137,,,,,,,,,,,,,,,,,,4.750878661402332,0.13093496714387487,0.14724186185185886,0.1963409131477727,2018-02-05~2019-01-02,0.6668756146882584,0.6678467867037202,0.6928074330197062,2720,0.3290441176470588,4.3074994589425755,29.506617647058825,9847,5221,9.968139019577885,445039.53741299914,0.14834651247099973,4.01%（同期超额 +9.08%）,,,,,,,,,,,,,,,,,,,,,,,
