period_type,period,return_pct
annual,2010,0.003445
annual,2011,-0.002100
annual,2012,0.004712
annual,2013,0.001523
annual,2014,0.047163
annual,2015,0.035283
annual,2016,0.040318
annual,2017,0.085737
annual,2018,-0.005880
annual,2019,0.058444
annual,2020,0.031589
annual,2021,0.011414
annual,2022,-0.012942
annual,2023,-0.006446
annual,2024,0.037055
annual,2025,0.084243
annual,2026,0.012760
monthly,2010-05,-0.000426
monthly,2010-06,0.000000
monthly,2010-07,0.000487
monthly,2010-08,0.002689
monthly,2010-09,0.000387
monthly,2010-10,0.003645
monthly,2010-11,-0.008054
monthly,2010-12,-0.000871
monthly,2011-01,-0.003603
monthly,2011-02,0.005439
monthly,2011-03,0.001799
monthly,2011-04,0.000019
monthly,2011-05,-0.002157
monthly,2011-06,0.002608
monthly,2011-07,0.000765
monthly,2011-08,-0.002977
monthly,2011-09,-0.002505
monthly,2011-10,0.000495
monthly,2011-11,-0.002498
monthly,2011-12,0.000008
monthly,2012-01,-0.000991
monthly,2012-02,0.002809
monthly,2012-03,-0.004847
monthly,2012-04,0.001063
monthly,2012-05,-0.001313
monthly,2012-06,-0.002758
monthly,2012-07,-0.000783
monthly,2012-08,-0.002211
monthly,2012-09,0.000722
monthly,2012-10,0.000921
monthly,2012-11,-0.003508
monthly,2012-12,0.011752
monthly,2013-01,0.005987
monthly,2013-02,-0.004196
monthly,2013-03,-0.007337
monthly,2013-04,-0.003806
monthly,2013-05,0.006036
monthly,2013-06,-0.006472
monthly,2013-07,0.000529
monthly,2013-08,0.000905
monthly,2013-09,0.007505
monthly,2013-10,-0.000920
monthly,2013-11,0.001749
monthly,2013-12,-0.002087
monthly,2014-01,-0.003056
monthly,2014-02,-0.000404
monthly,2014-03,-0.003392
monthly,2014-04,0.001035
monthly,2014-05,-0.001893
monthly,2014-06,0.000306
monthly,2014-07,0.012136
monthly,2014-08,0.000609
monthly,2014-09,0.001366
monthly,2014-10,-0.001433
monthly,2014-11,0.005981
monthly,2014-12,0.028891
monthly,2015-01,-0.011066
monthly,2015-02,0.010195
monthly,2015-03,0.018402
monthly,2015-04,0.026169
monthly,2015-05,0.004028
monthly,2015-06,-0.001816
monthly,2015-07,-0.021939
monthly,2015-08,-0.019141
monthly,2015-09,-0.004903
monthly,2015-10,0.006318
monthly,2015-11,-0.000352
monthly,2015-12,0.011951
monthly,2016-01,-0.014508
monthly,2016-02,-0.001208
monthly,2016-03,0.015502
monthly,2016-04,0.002232
monthly,2016-05,-0.001031
monthly,2016-06,0.007316
monthly,2016-07,0.013423
monthly,2016-08,0.003787
monthly,2016-09,-0.001141
monthly,2016-10,0.005595
monthly,2016-11,0.009406
monthly,2016-12,-0.010577
monthly,2017-01,0.005117
monthly,2017-02,0.015901
monthly,2017-03,0.016761
monthly,2017-04,0.002507
monthly,2017-05,0.013344
monthly,2017-06,0.017514
monthly,2017-07,0.000622
monthly,2017-08,-0.000649
monthly,2017-09,0.003503
monthly,2017-10,0.005099
monthly,2017-11,0.004059
monthly,2017-12,0.002252
monthly,2018-01,0.006482
monthly,2018-02,-0.003083
monthly,2018-03,-0.002308
monthly,2018-04,-0.000522
monthly,2018-05,-0.000253
monthly,2018-06,-0.000835
monthly,2018-07,0.003390
monthly,2018-08,-0.002177
monthly,2018-09,0.002925
monthly,2018-10,0.000843
monthly,2018-11,-0.002122
monthly,2018-12,-0.006810
monthly,2019-01,0.008373
monthly,2019-02,0.015709
monthly,2019-03,0.003529
monthly,2019-04,-0.001436
monthly,2019-05,0.000726
monthly,2019-06,0.005818
monthly,2019-07,-0.001591
monthly,2019-08,-0.000169
monthly,2019-09,-0.001575
monthly,2019-10,0.003335
monthly,2019-11,-0.002388
monthly,2019-12,0.014239
monthly,2020-01,-0.009511
monthly,2020-02,-0.000028
monthly,2020-03,-0.016317
monthly,2020-04,0.007399
monthly,2020-05,0.000417
monthly,2020-06,0.000466
monthly,2020-07,0.016722
monthly,2020-08,0.010631
monthly,2020-09,-0.003202
monthly,2020-10,0.009509
monthly,2020-11,0.013489
monthly,2020-12,-0.006867
monthly,2021-01,0.003125
monthly,2021-02,0.001557
monthly,2021-03,0.000990
monthly,2021-04,0.002202
monthly,2021-05,0.001992
monthly,2021-06,-0.006578
monthly,2021-07,-0.011666
monthly,2021-08,0.005396
monthly,2021-09,0.005879
monthly,2021-10,-0.000911
monthly,2021-11,-0.004732
monthly,2021-12,0.003010
monthly,2022-01,0.000344
monthly,2022-02,-0.000685
monthly,2022-03,-0.000214
monthly,2022-04,-0.008957
monthly,2022-05,0.000179
monthly,2022-06,0.007119
monthly,2022-07,-0.015963
monthly,2022-08,0.002082
monthly,2022-09,-0.000629
monthly,2022-10,-0.012306
monthly,2022-11,0.012799
monthly,2022-12,-0.000534
monthly,2023-01,0.008892
monthly,2023-02,-0.002792
monthly,2023-03,-0.003250
monthly,2023-04,-0.001750
monthly,2023-05,-0.013345
monthly,2023-06,0.005693
