period_type,period,return_pct
annual,2016,0.074025
annual,2017,0.527019
annual,2018,-0.092365
annual,2019,0.497059
annual,2020,0.199785
annual,2021,0.113863
annual,2022,-0.111115
annual,2023,-0.031586
annual,2024,0.207686
annual,2025,0.165936
annual,2026,0.051642
monthly,2016-05,0.004627
monthly,2016-06,0.017905
monthly,2016-07,0.028163
monthly,2016-08,0.020243
monthly,2016-09,-0.006403
monthly,2016-10,0.014216
monthly,2016-11,0.043136
monthly,2016-12,-0.065709
monthly,2017-01,0.029972
monthly,2017-02,0.053730
monthly,2017-03,0.077441
monthly,2017-04,0.009569
monthly,2017-05,0.073810
monthly,2017-06,0.102964
monthly,2017-07,0.027275
monthly,2017-08,0.003791
monthly,2017-09,0.022706
monthly,2017-10,0.017754
monthly,2017-11,0.025616
monthly,2017-12,0.008798
monthly,2018-01,0.027290
monthly,2018-02,-0.012931
monthly,2018-03,-0.012951
monthly,2018-04,-0.004069
monthly,2018-05,0.002887
monthly,2018-06,0.008748
monthly,2018-07,0.004053
monthly,2018-08,-0.025985
monthly,2018-09,0.033050
monthly,2018-10,-0.001611
monthly,2018-11,-0.014622
monthly,2018-12,-0.075759
monthly,2019-01,0.088957
monthly,2019-02,0.128952
monthly,2019-03,0.026740
monthly,2019-04,-0.018661
monthly,2019-05,0.017921
monthly,2019-06,0.033704
monthly,2019-07,-0.022106
monthly,2019-08,0.006885
monthly,2019-09,-0.002678
monthly,2019-10,0.019743
monthly,2019-11,-0.014446
monthly,2019-12,0.088287
monthly,2020-01,-0.034715
monthly,2020-02,0.015560
monthly,2020-03,-0.100109
monthly,2020-04,0.045768
monthly,2020-05,0.009693
monthly,2020-06,0.025100
monthly,2020-07,0.089389
monthly,2020-08,0.053923
monthly,2020-09,-0.022452
monthly,2020-10,0.049425
monthly,2020-11,0.055570
monthly,2020-12,-0.045864
monthly,2021-01,0.010399
monthly,2021-02,0.000419
monthly,2021-03,0.006282
monthly,2021-04,0.004008
monthly,2021-05,0.007316
monthly,2021-06,-0.031177
monthly,2021-07,-0.052778
monthly,2021-08,0.059256
monthly,2021-09,0.035829
monthly,2021-10,-0.042128
monthly,2021-11,-0.026390
monthly,2021-12,0.079157
monthly,2022-01,-0.034663
monthly,2022-02,-0.002150
monthly,2022-03,-0.019126
monthly,2022-04,-0.052864
monthly,2022-05,0.016269
monthly,2022-06,0.056866
monthly,2022-07,-0.101985
monthly,2022-08,0.016246
monthly,2022-09,-0.025428
monthly,2022-10,-0.098179
monthly,2022-11,0.122132
monthly,2022-12,-0.005287
monthly,2023-01,0.048342
monthly,2023-02,0.002452
monthly,2023-03,-0.012938
monthly,2023-04,-0.018091
monthly,2023-05,-0.058450
monthly,2023-06,0.034022
monthly,2023-07,0.067076
monthly,2023-08,-0.030189
monthly,2023-09,-0.011597
monthly,2023-10,-0.045208
monthly,2023-11,-0.012847
monthly,2023-12,-0.030095
monthly,2024-01,0.012923
monthly,2024-02,0.076442
monthly,2024-03,0.010629
monthly,2024-04,0.070175
monthly,2024-05,-0.000930
monthly,2024-06,-0.027976
monthly,2024-07,-0.063849
monthly,2024-08,-0.022757
monthly,2024-09,0.157202
monthly,2024-10,-0.073155
monthly,2024-11,-0.024448
monthly,2024-12,0.012528
monthly,2025-01,0.007012
monthly,2025-02,-0.022175
monthly,2025-03,0.039988
monthly,2025-04,-0.057311
monthly,2025-05,0.029276
monthly,2025-06,0.013624
monthly,2025-07,0.032682
monthly,2025-08,0.040412
monthly,2025-09,0.006033
monthly,2025-10,0.019039
monthly,2025-11,-0.002849
monthly,2025-12,0.020700
monthly,2026-01,0.047655
monthly,2026-02,0.080837
monthly,2026-03,-0.049128
monthly,2026-04,0.035762
monthly,2026-05,-0.041070
monthly,2026-06,-0.101221
monthly,2026-07,0.097257
monthly,2026-08,-0.006933
