period_type,period,return_pct
annual,2010,0.052652
annual,2011,-0.049779
annual,2012,0.106128
annual,2013,0.019720
annual,2014,0.338375
annual,2015,0.106438
annual,2016,0.192838
annual,2017,0.708228
annual,2018,-0.148240
annual,2019,0.670051
annual,2020,0.208423
annual,2021,0.156779
annual,2022,-0.131801
annual,2023,-0.177579
annual,2024,0.424834
annual,2025,0.153419
annual,2026,0.027793
monthly,2010-05,-0.000444
monthly,2010-06,-0.000305
monthly,2010-07,0.001478
monthly,2010-08,0.022504
monthly,2010-09,-0.000952
monthly,2010-10,0.060514
monthly,2010-11,-0.051444
monthly,2010-12,-0.006022
monthly,2011-01,-0.016596
monthly,2011-02,0.054784
monthly,2011-03,0.019539
monthly,2011-04,-0.008095
monthly,2011-05,-0.025233
monthly,2011-06,0.024096
monthly,2011-07,-0.005514
monthly,2011-08,-0.023581
monthly,2011-09,-0.032470
monthly,2011-10,0.013142
monthly,2011-11,-0.043464
monthly,2011-12,-0.014505
monthly,2012-01,0.030702
monthly,2012-02,0.033346
monthly,2012-03,-0.050256
monthly,2012-04,0.031417
monthly,2012-05,0.011103
monthly,2012-06,-0.058276
monthly,2012-07,-0.048355
monthly,2012-08,-0.081367
monthly,2012-09,0.034620
monthly,2012-10,0.016249
monthly,2012-11,-0.049886
monthly,2012-12,0.182573
monthly,2013-01,0.055889
monthly,2013-02,-0.040341
monthly,2013-03,-0.067293
monthly,2013-04,-0.055369
monthly,2013-05,0.047708
monthly,2013-06,-0.117755
monthly,2013-07,0.011023
monthly,2013-08,0.040606
monthly,2013-09,0.129760
monthly,2013-10,-0.014521
monthly,2013-11,0.052225
monthly,2013-12,0.001237
monthly,2014-01,-0.040086
monthly,2014-02,-0.040659
monthly,2014-03,-0.040330
monthly,2014-04,0.027093
monthly,2014-05,0.014024
monthly,2014-06,0.005817
monthly,2014-07,0.114954
monthly,2014-08,-0.027844
monthly,2014-09,-0.012451
monthly,2014-10,0.008751
monthly,2014-11,0.069515
monthly,2014-12,0.197270
monthly,2015-01,-0.042784
monthly,2015-02,0.048740
monthly,2015-03,0.072805
monthly,2015-04,0.140603
monthly,2015-05,0.044074
monthly,2015-06,-0.042824
monthly,2015-07,-0.127743
monthly,2015-08,-0.119425
monthly,2015-09,-0.038732
monthly,2015-10,0.020651
monthly,2015-11,-0.001148
monthly,2015-12,0.086505
monthly,2016-01,-0.104039
monthly,2016-02,0.019569
monthly,2016-03,0.070387
monthly,2016-04,0.023544
monthly,2016-05,-0.004099
monthly,2016-06,0.001168
monthly,2016-07,0.066385
monthly,2016-08,0.035644
monthly,2016-09,0.036499
monthly,2016-10,0.003209
monthly,2016-11,0.110263
monthly,2016-12,-0.107129
monthly,2017-01,0.040548
monthly,2017-02,0.060093
monthly,2017-03,0.090451
monthly,2017-04,0.023674
monthly,2017-05,0.097529
monthly,2017-06,0.130390
monthly,2017-07,0.032426
monthly,2017-08,0.002778
monthly,2017-09,-0.010046
monthly,2017-10,0.047633
monthly,2017-11,0.063579
monthly,2017-12,0.014304
monthly,2018-01,0.111741
monthly,2018-02,-0.080901
monthly,2018-03,-0.049930
monthly,2018-04,-0.006532
monthly,2018-05,-0.029017
monthly,2018-06,-0.066972
monthly,2018-07,0.123996
monthly,2018-08,-0.001722
monthly,2018-09,0.072231
monthly,2018-10,-0.016703
monthly,2018-11,-0.021611
monthly,2018-12,-0.119585
monthly,2019-01,0.159747
monthly,2019-02,0.101604
monthly,2019-03,0.046067
monthly,2019-04,0.011198
monthly,2019-05,0.024726
monthly,2019-06,0.055195
monthly,2019-07,0.000629
monthly,2019-08,-0.036892
monthly,2019-09,0.030415
monthly,2019-10,0.022533
monthly,2019-11,-0.028033
monthly,2019-12,0.059827
monthly,2020-01,-0.060425
monthly,2020-02,-0.019687
monthly,2020-03,-0.099930
monthly,2020-04,0.104248
monthly,2020-05,-0.013734
monthly,2020-06,-0.019409
monthly,2020-07,0.069139
monthly,2020-08,0.111340
monthly,2020-09,-0.053710
monthly,2020-10,0.085582
monthly,2020-11,0.106226
monthly,2020-12,-0.054580
monthly,2021-01,0.132888
monthly,2021-02,-0.004772
monthly,2021-03,0.002073
monthly,2021-04,0.034960
monthly,2021-05,0.049595
monthly,2021-06,-0.061625
monthly,2021-07,-0.144861
monthly,2021-08,0.024227
monthly,2021-09,0.027592
monthly,2021-10,0.037891
monthly,2021-11,-0.062286
monthly,2021-12,-0.002193
monthly,2022-01,0.020007
monthly,2022-02,-0.027725
monthly,2022-03,-0.033365
monthly,2022-04,-0.103161
monthly,2022-05,-0.010095
monthly,2022-06,0.060788
monthly,2022-07,-0.109833
monthly,2022-08,0.020072
monthly,2022-09,0.000571
monthly,2022-10,-0.166159
monthly,2022-11,0.213652
monthly,2022-12,0.023271
monthly,2023-01,0.062401
monthly,2023-02,-0.066163
monthly,2023-03,-0.079835
monthly,2023-04,-0.002361
monthly,2023-05,-0.067970
monthly,2023-06,0.037589
monthly,2023-07,0.096369
monthly,2023-08,-0.072004
monthly,2023-09,0.013214
monthly,2023-10,-0.057352
monthly,2023-11,-0.037110
monthly,2023-12,-0.034719
monthly,2024-01,0.102369
monthly,2024-02,0.063930
monthly,2024-03,-0.005414
monthly,2024-04,0.063183
monthly,2024-05,0.018581
monthly,2024-06,-0.023857
monthly,2024-07,-0.028138
monthly,2024-08,-0.014605
monthly,2024-09,0.181351
monthly,2024-10,-0.074275
monthly,2024-11,-0.037984
monthly,2024-12,0.052354
monthly,2025-01,0.041037
monthly,2025-02,-0.007748
monthly,2025-03,0.051510
monthly,2025-04,-0.045686
monthly,2025-05,0.062807
monthly,2025-06,0.028460
monthly,2025-07,0.011042
monthly,2025-08,-0.015364
monthly,2025-09,-0.030465
monthly,2025-10,0.034177
monthly,2025-11,0.008793
monthly,2025-12,-0.015627
monthly,2026-01,-0.001368
monthly,2026-02,0.029654
monthly,2026-03,-0.014041
monthly,2026-04,0.021467
monthly,2026-05,-0.027444
monthly,2026-06,-0.100717
monthly,2026-07,0.127403
monthly,2026-08,-0.021434
