period_type,period,return_pct
annual,2010,0.123622
annual,2011,-0.037335
annual,2012,0.067550
annual,2013,-0.105854
annual,2014,0.344737
annual,2015,0.105693
annual,2016,0.131604
annual,2017,0.530052
annual,2018,-0.091396
annual,2019,0.429390
annual,2020,0.198186
annual,2021,0.101498
annual,2022,-0.103454
annual,2023,0.006592
annual,2024,0.193141
annual,2025,0.291456
annual,2026,0.039195
monthly,2010-05,-0.017758
monthly,2010-06,-0.012438
monthly,2010-07,0.028947
monthly,2010-08,0.039736
monthly,2010-09,0.004559
monthly,2010-10,0.119411
monthly,2010-11,-0.096011
monthly,2010-12,-0.006882
monthly,2011-01,-0.030711
monthly,2011-02,0.109918
monthly,2011-03,0.021243
monthly,2011-04,-0.005903
monthly,2011-05,-0.024045
monthly,2011-06,0.019855
monthly,2011-07,0.014359
monthly,2011-08,-0.029543
monthly,2011-09,-0.052975
monthly,2011-10,0.025335
monthly,2011-11,-0.049236
monthly,2011-12,-0.028851
monthly,2012-01,0.013230
monthly,2012-02,0.044660
monthly,2012-03,-0.046457
monthly,2012-04,0.029528
monthly,2012-05,0.007544
monthly,2012-06,-0.054469
monthly,2012-07,-0.071319
monthly,2012-08,-0.044615
monthly,2012-09,0.013675
monthly,2012-10,0.012485
monthly,2012-11,-0.034313
monthly,2012-12,0.155877
monthly,2013-01,0.039371
monthly,2013-02,-0.031032
monthly,2013-03,-0.017660
monthly,2013-04,-0.051469
monthly,2013-05,0.065036
monthly,2013-06,-0.100830
monthly,2013-07,-0.018759
monthly,2013-08,0.011065
monthly,2013-09,0.014365
monthly,2013-10,-0.039120
monthly,2013-11,0.034960
monthly,2013-12,-0.012232
monthly,2014-01,-0.055882
monthly,2014-02,-0.000643
monthly,2014-03,-0.017981
monthly,2014-04,0.018778
monthly,2014-05,-0.002342
monthly,2014-06,0.005143
monthly,2014-07,0.112841
monthly,2014-08,-0.007235
monthly,2014-09,0.007180
monthly,2014-10,0.004145
monthly,2014-11,0.049446
monthly,2014-12,0.166610
monthly,2015-01,-0.051370
monthly,2015-02,0.032604
monthly,2015-03,0.062904
monthly,2015-04,0.123454
monthly,2015-05,0.016073
monthly,2015-06,-0.022619
monthly,2015-07,-0.088547
monthly,2015-08,-0.078150
monthly,2015-09,-0.025249
monthly,2015-10,0.020830
monthly,2015-11,0.007133
monthly,2015-12,0.043504
monthly,2016-01,-0.075433
monthly,2016-02,0.002249
monthly,2016-03,0.070116
monthly,2016-04,0.007868
monthly,2016-05,-0.012026
monthly,2016-06,0.025027
monthly,2016-07,0.052832
monthly,2016-08,0.020287
monthly,2016-09,0.009418
monthly,2016-10,0.006651
monthly,2016-11,0.047353
monthly,2016-12,-0.065824
monthly,2017-01,0.024332
monthly,2017-02,0.069997
monthly,2017-03,0.075584
monthly,2017-04,0.005485
monthly,2017-05,0.068211
monthly,2017-06,0.102770
monthly,2017-07,0.025595
monthly,2017-08,0.003813
monthly,2017-09,0.024410
monthly,2017-10,0.017225
monthly,2017-11,0.024729
monthly,2017-12,0.008616
monthly,2018-01,0.025877
monthly,2018-02,-0.012262
monthly,2018-03,-0.012153
monthly,2018-04,-0.003784
monthly,2018-05,0.003328
monthly,2018-06,0.009697
monthly,2018-07,0.002875
monthly,2018-08,-0.026055
monthly,2018-09,0.032024
monthly,2018-10,-0.001978
monthly,2018-11,-0.014308
monthly,2018-12,-0.074700
monthly,2019-01,0.087489
monthly,2019-02,0.142286
monthly,2019-03,0.014346
monthly,2019-04,-0.018073
monthly,2019-05,0.000908
