period_type,period,return_pct
annual,2012,-0.010613
annual,2013,0.274682
annual,2014,0.892904
annual,2015,0.047618
annual,2016,0.046050
annual,2017,0.586729
annual,2018,-0.113659
annual,2019,0.498109
annual,2020,0.312522
annual,2021,0.800139
annual,2022,0.172355
annual,2023,0.153279
annual,2024,0.283109
annual,2025,0.070290
annual,2026,0.027683
monthly,2012-07,-0.006907
monthly,2012-08,-0.016217
monthly,2012-09,-0.025755
monthly,2012-10,-0.008706
monthly,2012-11,-0.073783
monthly,2012-12,0.116441
monthly,2013-01,0.027632
monthly,2013-02,0.014119
monthly,2013-03,-0.108190
monthly,2013-04,0.005266
monthly,2013-05,0.166355
monthly,2013-06,-0.015223
monthly,2013-07,0.096501
monthly,2013-08,-0.045705
monthly,2013-09,0.120990
monthly,2013-10,-0.129707
monthly,2013-11,0.062605
monthly,2013-12,0.035252
monthly,2014-01,0.080387
monthly,2014-02,-0.083532
monthly,2014-03,0.002127
monthly,2014-04,0.017379
monthly,2014-05,0.037082
monthly,2014-06,-0.001156
monthly,2014-07,0.099556
monthly,2014-08,0.017838
monthly,2014-09,0.054315
monthly,2014-10,-0.002913
monthly,2014-11,0.098031
monthly,2014-12,0.240414
monthly,2015-01,-0.111229
monthly,2015-02,0.081240
monthly,2015-03,0.106983
monthly,2015-04,0.039817
monthly,2015-05,-0.028187
monthly,2015-06,-0.009032
monthly,2015-07,-0.116024
monthly,2015-08,0.016394
monthly,2015-09,0.060109
monthly,2015-10,0.002369
monthly,2015-11,-0.022641
monthly,2015-12,0.054081
monthly,2016-01,-0.113995
monthly,2016-02,-0.002606
monthly,2016-03,0.028865
monthly,2016-04,0.018208
monthly,2016-05,0.007543
monthly,2016-06,-0.005167
monthly,2016-07,0.040328
monthly,2016-08,0.050019
monthly,2016-09,-0.003315
monthly,2016-10,0.013705
monthly,2016-11,0.033904
monthly,2016-12,-0.035029
monthly,2017-01,0.059947
monthly,2017-02,0.062786
monthly,2017-03,0.004001
monthly,2017-04,-0.022970
monthly,2017-05,0.092983
monthly,2017-06,0.093918
monthly,2017-07,0.065118
monthly,2017-08,0.003214
monthly,2017-09,-0.031893
monthly,2017-10,0.030566
monthly,2017-11,0.060083
monthly,2017-12,0.058783
monthly,2018-01,0.098378
monthly,2018-02,-0.016321
monthly,2018-03,-0.029959
monthly,2018-04,0.004051
monthly,2018-05,-0.000847
monthly,2018-06,-0.002012
monthly,2018-07,0.010855
monthly,2018-08,-0.014148
monthly,2018-09,-0.019784
monthly,2018-10,-0.073193
monthly,2018-11,-0.025137
monthly,2018-12,-0.030840
monthly,2019-01,-0.015845
monthly,2019-02,0.176157
monthly,2019-03,0.087160
monthly,2019-04,-0.029765
monthly,2019-05,0.000088
monthly,2019-06,0.049776
monthly,2019-07,0.019895
monthly,2019-08,-0.068542
monthly,2019-09,0.001204
monthly,2019-10,0.004750
monthly,2019-11,-0.012948
monthly,2019-12,0.144141
monthly,2020-01,-0.083114
monthly,2020-02,0.129039
monthly,2020-03,-0.121389
monthly,2020-04,0.065944
monthly,2020-05,0.065212
monthly,2020-06,0.024137
monthly,2020-07,0.161304
monthly,2020-08,-0.001933
monthly,2020-09,-0.045523
monthly,2020-10,-0.007239
monthly,2020-11,0.100916
monthly,2020-12,-0.085240
monthly,2021-01,-0.040400
monthly,2021-02,0.052484
monthly,2021-03,0.014197
monthly,2021-04,0.008151
monthly,2021-05,-0.005730
monthly,2021-06,-0.019301
monthly,2021-07,0.024959
monthly,2021-08,0.736492
monthly,2021-09,0.086443
monthly,2021-10,-0.118898
monthly,2021-11,-0.042431
monthly,2021-12,0.076674
monthly,2022-01,-0.001953
monthly,2022-02,0.074719
monthly,2022-03,0.066872
monthly,2022-04,-0.036406
monthly,2022-05,0.090914
monthly,2022-06,0.053283
monthly,2022-07,-0.006696
monthly,2022-08,-0.021756
monthly,2022-09,-0.089582
monthly,2022-10,0.028261
monthly,2022-11,0.007374
monthly,2022-12,-0.062778
monthly,2023-01,0.060636
monthly,2023-02,-0.017245
monthly,2023-03,-0.028968
monthly,2023-04,0.001131
monthly,2023-05,-0.027055
monthly,2023-06,0.032780
monthly,2023-07,0.024309
monthly,2023-08,-0.037012
monthly,2023-09,0.025906
monthly,2023-10,0.000780
monthly,2023-11,0.047086
monthly,2023-12,-0.006295
monthly,2024-01,0.019280
monthly,2024-02,0.131656
monthly,2024-03,0.002826
monthly,2024-04,0.149946
monthly,2024-05,0.069352
monthly,2024-06,-0.063828
monthly,2024-07,-0.140471
monthly,2024-08,-0.054587
monthly,2024-09,0.165217
monthly,2024-10,-0.021974
monthly,2024-11,-0.014091
monthly,2024-12,-0.035344
monthly,2025-01,-0.001805
monthly,2025-02,0.012666
monthly,2025-03,0.026990
monthly,2025-04,-0.062932
monthly,2025-05,0.033945
monthly,2025-06,0.029819
monthly,2025-07,0.019568
monthly,2025-08,-0.006992
monthly,2025-09,-0.033803
monthly,2025-10,0.018312
monthly,2025-11,0.013159
monthly,2025-12,-0.011798
monthly,2026-01,0.004598
monthly,2026-02,0.019197
monthly,2026-03,-0.022168
monthly,2026-04,0.024237
monthly,2026-05,-0.027618
monthly,2026-06,-0.057739
monthly,2026-07,0.115085
monthly,2026-08,-0.029465
