period_type,period,return_pct
annual,2002,0.000000
annual,2003,-0.009449
annual,2004,-0.059000
annual,2005,0.077164
annual,2006,1.452455
annual,2007,1.139386
annual,2008,-0.273065
annual,2009,1.290807
annual,2010,0.312805
annual,2011,-0.255268
annual,2012,-0.064935
annual,2013,0.232084
annual,2014,0.872167
annual,2015,0.004171
annual,2016,0.043322
annual,2017,0.607570
annual,2018,-0.108975
annual,2019,0.453509
annual,2020,0.353852
annual,2021,0.824948
annual,2022,0.182161
annual,2023,0.160992
annual,2024,0.277197
annual,2025,0.068766
annual,2026,0.022331
monthly,2002-02,0.000000
monthly,2002-03,0.000000
monthly,2002-04,0.000000
monthly,2002-05,0.000000
monthly,2002-06,0.000000
monthly,2002-07,0.000000
monthly,2002-08,0.000000
monthly,2002-09,0.000000
monthly,2002-10,0.000000
monthly,2002-11,0.000000
monthly,2002-12,0.000000
monthly,2003-01,0.000000
monthly,2003-02,0.000000
monthly,2003-03,-0.000056
monthly,2003-04,0.000315
monthly,2003-05,0.023306
monthly,2003-06,-0.013095
monthly,2003-07,0.027369
monthly,2003-08,-0.012272
monthly,2003-09,-0.014856
monthly,2003-10,-0.004525
monthly,2003-11,-0.029248
monthly,2003-12,-0.002069
monthly,2004-01,0.027816
monthly,2004-02,0.007032
monthly,2004-03,0.023601
monthly,2004-04,0.006995
monthly,2004-05,-0.004381
monthly,2004-06,-0.069383
monthly,2004-07,0.000000
monthly,2004-08,-0.000438
monthly,2004-09,0.006066
monthly,2004-10,-0.005244
monthly,2004-11,-0.042411
monthly,2004-12,-0.019912
monthly,2005-01,0.024597
monthly,2005-02,0.030298
monthly,2005-03,-0.016019
monthly,2005-04,0.010829
monthly,2005-05,-0.028464
monthly,2005-06,0.024526
monthly,2005-07,0.017349
monthly,2005-08,-0.004773
monthly,2005-09,0.038168
monthly,2005-10,0.035421
monthly,2005-11,-0.044703
monthly,2005-12,-0.027294
monthly,2006-01,0.052541
monthly,2006-02,-0.042756
monthly,2006-03,0.121313
monthly,2006-04,0.107306
monthly,2006-05,0.171914
monthly,2006-06,0.038243
monthly,2006-07,-0.082728
monthly,2006-08,0.029879
monthly,2006-09,0.076190
monthly,2006-10,0.011194
monthly,2006-11,0.192039
monthly,2006-12,0.132185
monthly,2007-01,0.243781
monthly,2007-02,0.053781
monthly,2007-03,0.266306
monthly,2007-04,0.149675
monthly,2007-05,0.124751
monthly,2007-06,-0.127292
monthly,2007-07,0.066059
monthly,2007-08,0.066724
monthly,2007-09,0.036193
monthly,2007-10,-0.031836
monthly,2007-11,-0.008990
monthly,2007-12,0.043632
monthly,2008-01,-0.036787
monthly,2008-02,0.045964
monthly,2008-03,0.001569
monthly,2008-04,-0.004845
monthly,2008-05,-0.039552
monthly,2008-06,-0.089727
monthly,2008-07,0.026100
monthly,2008-08,-0.078906
monthly,2008-09,-0.030978
monthly,2008-10,-0.054390
monthly,2008-11,-0.000682
monthly,2008-12,-0.024181
monthly,2009-01,0.042110
monthly,2009-02,-0.011354
monthly,2009-03,0.227569
monthly,2009-04,0.075317
monthly,2009-05,0.054510
monthly,2009-06,0.005240
monthly,2009-07,0.184000
