period_type,period,return_pct
annual,2014,0.534603
annual,2015,0.015102
annual,2016,0.025577
annual,2017,0.558723
annual,2018,-0.248332
annual,2019,0.582682
annual,2020,0.405994
annual,2021,0.753397
annual,2022,0.234851
annual,2023,0.177935
annual,2024,0.217671
annual,2025,0.075446
annual,2026,0.010942
monthly,2014-01,0.008153
monthly,2014-02,-0.051345
monthly,2014-03,-0.044887
monthly,2014-04,-0.010539
monthly,2014-05,0.020257
monthly,2014-06,-0.005711
monthly,2014-07,0.120362
monthly,2014-08,0.017271
monthly,2014-09,0.042404
monthly,2014-10,-0.010252
monthly,2014-11,0.084865
monthly,2014-12,0.229896
monthly,2015-01,-0.116301
monthly,2015-02,0.085442
monthly,2015-03,0.105584
monthly,2015-04,0.038965
monthly,2015-05,-0.025860
monthly,2015-06,-0.016495
monthly,2015-07,-0.120286
monthly,2015-08,0.019465
monthly,2015-09,0.060416
monthly,2015-10,0.002588
monthly,2015-11,-0.035978
monthly,2015-12,0.052394
monthly,2016-01,-0.111652
monthly,2016-02,-0.008473
monthly,2016-03,0.029247
monthly,2016-04,0.009749
monthly,2016-05,0.006549
monthly,2016-06,0.001832
monthly,2016-07,0.035839
monthly,2016-08,0.054485
monthly,2016-09,-0.027013
monthly,2016-10,0.020465
monthly,2016-11,0.030976
monthly,2016-12,-0.031672
monthly,2017-01,0.065989
monthly,2017-02,0.061868
monthly,2017-03,0.005550
monthly,2017-04,-0.017464
monthly,2017-05,0.112429
monthly,2017-06,0.094861
monthly,2017-07,0.073841
monthly,2017-08,0.006949
monthly,2017-09,-0.042880
monthly,2017-10,0.028875
monthly,2017-11,0.016450
monthly,2017-12,0.051310
monthly,2018-01,0.048022
monthly,2018-02,-0.051744
monthly,2018-03,-0.054273
monthly,2018-04,0.009364
monthly,2018-05,-0.006449
monthly,2018-06,-0.027291
monthly,2018-07,0.016896
monthly,2018-08,-0.015778
monthly,2018-09,-0.025873
monthly,2018-10,-0.091162
monthly,2018-11,-0.021890
monthly,2018-12,-0.046635
monthly,2019-01,-0.005757
monthly,2019-02,0.170383
monthly,2019-03,0.104743
monthly,2019-04,-0.016992
monthly,2019-05,0.003495
monthly,2019-06,0.054997
monthly,2019-07,0.023036
monthly,2019-08,-0.077530
monthly,2019-09,-0.007239
monthly,2019-10,0.013018
monthly,2019-11,-0.001190
monthly,2019-12,0.156543
monthly,2020-01,-0.090987
monthly,2020-02,0.134070
monthly,2020-03,-0.118695
monthly,2020-04,0.075283
monthly,2020-05,0.084718
monthly,2020-06,0.019748
monthly,2020-07,0.146462
monthly,2020-08,0.011813
monthly,2020-09,-0.030746
monthly,2020-10,-0.009467
monthly,2020-11,0.104143
monthly,2020-12,-0.081435
monthly,2021-01,-0.039318
monthly,2021-02,0.056181
monthly,2021-03,0.012458
monthly,2021-04,0.008463
monthly,2021-05,-0.005805
monthly,2021-06,-0.020132
monthly,2021-07,0.027575
monthly,2021-08,0.677195
monthly,2021-09,0.086089
monthly,2021-10,-0.122661
monthly,2021-11,-0.047692
monthly,2021-12,0.088295
monthly,2022-01,0.002065
monthly,2022-02,0.087547
monthly,2022-03,0.089879
monthly,2022-04,-0.031711
monthly,2022-05,0.090251
monthly,2022-06,0.050293
monthly,2022-07,-0.004122
monthly,2022-08,-0.015421
monthly,2022-09,-0.083053
monthly,2022-10,0.022702
monthly,2022-11,0.010719
monthly,2022-12,-0.062352
monthly,2023-01,0.061602
monthly,2023-02,-0.001855
monthly,2023-03,-0.018542
monthly,2023-04,-0.006273
monthly,2023-05,-0.034651
monthly,2023-06,0.035996
monthly,2023-07,0.018725
monthly,2023-08,-0.034379
monthly,2023-09,0.023568
monthly,2023-10,0.004977
monthly,2023-11,0.049041
monthly,2023-12,-0.005569
monthly,2024-01,0.013164
monthly,2024-02,0.131842
monthly,2024-03,0.003761
monthly,2024-04,0.121303
monthly,2024-05,0.003648
monthly,2024-06,-0.056653
monthly,2024-07,-0.071219
monthly,2024-08,-0.068466
monthly,2024-09,0.118777
monthly,2024-10,-0.074449
monthly,2024-11,0.009720
monthly,2024-12,-0.012573
monthly,2025-01,0.011624
monthly,2025-02,0.010348
monthly,2025-03,0.030273
monthly,2025-04,-0.065854
monthly,2025-05,0.040347
monthly,2025-06,0.028659
monthly,2025-07,0.019822
monthly,2025-08,-0.012889
monthly,2025-09,-0.034753
monthly,2025-10,0.022082
monthly,2025-11,0.016538
monthly,2025-12,-0.017861
monthly,2026-01,-0.013743
monthly,2026-02,0.010754
monthly,2026-03,-0.004898
monthly,2026-04,0.017893
monthly,2026-05,-0.026758
monthly,2026-06,-0.056623
monthly,2026-07,0.119819
monthly,2026-08,-0.029057
