period_type,period,return_pct
annual,2002,0.000000
annual,2003,-0.006824
annual,2004,-0.079543
annual,2005,0.071874
annual,2006,1.534103
annual,2007,1.153462
annual,2008,-0.204397
annual,2009,1.270005
annual,2010,0.206700
annual,2011,-0.242396
annual,2012,-0.040942
annual,2013,0.235542
annual,2014,0.876134
annual,2015,0.003332
annual,2016,0.040600
annual,2017,0.619926
annual,2018,-0.104336
annual,2019,0.540878
annual,2020,0.289373
annual,2021,0.850166
annual,2022,0.199998
annual,2023,0.150673
annual,2024,0.294987
annual,2025,0.071110
annual,2026,0.009889
monthly,2002-02,0.000000
monthly,2002-03,0.000000
monthly,2002-04,0.000000
monthly,2002-05,0.000000
monthly,2002-06,0.000000
monthly,2002-07,0.000000
monthly,2002-08,0.000000
monthly,2002-09,0.000000
monthly,2002-10,0.000000
monthly,2002-11,0.000000
monthly,2002-12,0.000000
monthly,2003-01,0.000000
monthly,2003-02,0.000000
monthly,2003-03,-0.000056
monthly,2003-04,0.000777
monthly,2003-05,0.021455
monthly,2003-06,-0.011458
monthly,2003-07,0.023551
monthly,2003-08,-0.010660
monthly,2003-09,-0.013018
monthly,2003-10,-0.003939
monthly,2003-11,-0.024452
monthly,2003-12,-0.003285
monthly,2004-01,0.019859
monthly,2004-02,-0.003346
monthly,2004-03,0.025382
monthly,2004-04,0.004347
monthly,2004-05,-0.004306
monthly,2004-06,-0.066128
monthly,2004-07,0.000000
monthly,2004-08,-0.000434
monthly,2004-09,0.006157
monthly,2004-10,-0.005501
monthly,2004-11,-0.042355
monthly,2004-12,-0.023332
monthly,2005-01,0.018513
monthly,2005-02,0.020833
monthly,2005-03,-0.005103
monthly,2005-04,0.007933
monthly,2005-05,-0.028550
monthly,2005-06,0.024686
monthly,2005-07,0.017549
monthly,2005-08,-0.002668
monthly,2005-09,0.039243
monthly,2005-10,0.036134
monthly,2005-11,-0.043546
monthly,2005-12,-0.025891
monthly,2006-01,0.053718
monthly,2006-02,-0.045526
monthly,2006-03,0.120168
monthly,2006-04,0.145799
monthly,2006-05,0.182820
monthly,2006-06,0.032363
monthly,2006-07,-0.087401
monthly,2006-08,0.026870
monthly,2006-09,0.080015
monthly,2006-10,0.013459
monthly,2006-11,0.185996
monthly,2006-12,0.135649
monthly,2007-01,0.245711
monthly,2007-02,0.058251
monthly,2007-03,0.267679
monthly,2007-04,0.169146
monthly,2007-05,0.129777
monthly,2007-06,-0.105955
monthly,2007-07,0.051603
monthly,2007-08,0.044786
monthly,2007-09,0.020062
monthly,2007-10,-0.030408
monthly,2007-11,-0.007437
monthly,2007-12,0.036123
monthly,2008-01,-0.036832
monthly,2008-02,0.038061
monthly,2008-03,0.000929
monthly,2008-04,-0.003337
monthly,2008-05,-0.027512
monthly,2008-06,-0.061708
monthly,2008-07,0.017387
monthly,2008-08,-0.052937
monthly,2008-09,-0.020218
monthly,2008-10,-0.034982
monthly,2008-11,-0.000680
monthly,2008-12,-0.025371
monthly,2009-01,0.042127
monthly,2009-02,-0.010203
monthly,2009-03,0.223821
monthly,2009-04,0.084322
monthly,2009-05,0.037829
monthly,2009-06,0.011885
monthly,2009-07,0.166415
monthly,2009-08,-0.183027
monthly,2009-09,0.083420
monthly,2009-10,0.045975
monthly,2009-11,0.144871
monthly,2009-12,0.032654
monthly,2010-01,-0.009654
monthly,2010-02,0.083781
monthly,2010-03,0.018128
monthly,2010-04,-0.019768
monthly,2010-05,-0.035180
monthly,2010-06,-0.004863
monthly,2010-07,0.051695
monthly,2010-08,0.053127
monthly,2010-09,-0.007862
monthly,2010-10,0.138211
