period_type,period,return_pct
annual,2016,0.070600
annual,2017,0.596049
annual,2018,-0.123476
annual,2019,0.681323
annual,2020,0.204902
annual,2021,0.140234
annual,2022,-0.153162
annual,2023,-0.249609
annual,2024,0.405891
annual,2025,0.185010
annual,2026,0.047592
monthly,2016-05,0.004578
monthly,2016-06,0.013427
monthly,2016-07,0.043797
monthly,2016-08,0.030517
monthly,2016-09,-0.032283
monthly,2016-10,0.031331
monthly,2016-11,0.027623
monthly,2016-12,-0.053445
monthly,2017-01,0.035448
monthly,2017-02,0.061134
monthly,2017-03,0.042559
monthly,2017-04,-0.003843
monthly,2017-05,0.100688
monthly,2017-06,0.073489
monthly,2017-07,0.062882
monthly,2017-08,0.004318
monthly,2017-09,-0.017367
monthly,2017-10,0.058770
monthly,2017-11,0.087423
monthly,2017-12,0.012810
monthly,2018-01,0.117819
monthly,2018-02,-0.065203
monthly,2018-03,-0.059583
monthly,2018-04,-0.017225
monthly,2018-05,-0.034583
monthly,2018-06,-0.067201
monthly,2018-07,0.131918
monthly,2018-08,0.001022
monthly,2018-09,0.072660
monthly,2018-10,-0.007024
monthly,2018-11,-0.025162
monthly,2018-12,-0.106833
monthly,2019-01,0.143902
monthly,2019-02,0.091400
monthly,2019-03,0.052848
monthly,2019-04,0.019272
monthly,2019-05,0.040994
monthly,2019-06,0.055614
monthly,2019-07,-0.006814
monthly,2019-08,-0.036908
monthly,2019-09,0.045849
monthly,2019-10,0.024548
monthly,2019-11,-0.039245
monthly,2019-12,0.060195
monthly,2020-01,-0.064040
monthly,2020-02,-0.018546
monthly,2020-03,-0.106584
monthly,2020-04,0.114888
monthly,2020-05,-0.015727
monthly,2020-06,-0.019261
monthly,2020-07,0.063831
monthly,2020-08,0.135096
monthly,2020-09,-0.065263
monthly,2020-10,0.088053
monthly,2020-11,0.101624
monthly,2020-12,-0.053134
monthly,2021-01,0.134022
monthly,2021-02,-0.000647
monthly,2021-03,-0.015462
monthly,2021-04,0.044451
monthly,2021-05,0.039177
monthly,2021-06,-0.067920
monthly,2021-07,-0.156396
monthly,2021-08,0.008847
monthly,2021-09,0.027296
monthly,2021-10,0.046682
monthly,2021-11,-0.054300
monthly,2021-12,-0.010389
monthly,2022-01,0.025700
monthly,2022-02,-0.041982
monthly,2022-03,-0.041912
monthly,2022-04,-0.102907
monthly,2022-05,-0.040979
monthly,2022-06,0.078038
monthly,2022-07,-0.113686
monthly,2022-08,0.014066
monthly,2022-09,0.012614
monthly,2022-10,-0.185220
monthly,2022-11,0.244684
monthly,2022-12,0.029291
monthly,2023-01,0.055942
monthly,2023-02,-0.076071
monthly,2023-03,-0.091330
monthly,2023-04,-0.003830
monthly,2023-05,-0.080862
monthly,2023-06,0.029601
monthly,2023-07,0.119088
monthly,2023-08,-0.076912
monthly,2023-09,-0.001111
monthly,2023-10,-0.064413
monthly,2023-11,-0.053448
monthly,2023-12,-0.053967
monthly,2024-01,0.097372
monthly,2024-02,0.060997
monthly,2024-03,-0.020155
monthly,2024-04,0.066880
monthly,2024-05,0.021035
monthly,2024-06,-0.043680
monthly,2024-07,-0.021506
monthly,2024-08,-0.025361
monthly,2024-09,0.216135
monthly,2024-10,-0.079294
monthly,2024-11,-0.038454
monthly,2024-12,0.039129
monthly,2025-01,0.064054
monthly,2025-02,-0.009215
monthly,2025-03,0.051442
monthly,2025-04,-0.050891
monthly,2025-05,0.073355
monthly,2025-06,0.024343
monthly,2025-07,0.018434
monthly,2025-08,-0.016243
monthly,2025-09,-0.039937
monthly,2025-10,0.037749
monthly,2025-11,0.008723
monthly,2025-12,-0.016235
monthly,2026-01,0.007735
monthly,2026-02,0.025483
monthly,2026-03,-0.022991
monthly,2026-04,0.039689
monthly,2026-05,-0.031679
monthly,2026-06,-0.080728
monthly,2026-07,0.118897
monthly,2026-08,-0.025011
