period_type,period,return_pct
annual,2018,-0.135756
annual,2019,0.625514
annual,2020,0.043907
annual,2021,1.338505
annual,2022,-0.102130
annual,2023,0.176256
annual,2024,0.175253
annual,2025,0.078875
annual,2026,0.016569
monthly,2018-01,0.009024
monthly,2018-02,-0.022505
monthly,2018-03,-0.022152
monthly,2018-04,-0.012493
monthly,2018-05,-0.003696
monthly,2018-06,-0.004281
monthly,2018-07,0.003039
monthly,2018-08,-0.007291
monthly,2018-09,-0.007196
monthly,2018-10,-0.028746
monthly,2018-11,-0.023370
monthly,2018-12,-0.031435
monthly,2019-01,0.021019
monthly,2019-02,0.141068
monthly,2019-03,0.102239
monthly,2019-04,-0.023038
monthly,2019-05,0.034479
monthly,2019-06,0.099252
monthly,2019-07,0.028504
monthly,2019-08,-0.054418
monthly,2019-09,0.013328
monthly,2019-10,-0.011224
monthly,2019-11,-0.006449
monthly,2019-12,0.073484
monthly,2020-01,-0.060722
monthly,2020-02,0.053130
monthly,2020-03,-0.093144
monthly,2020-04,-0.011093
monthly,2020-05,-0.012442
monthly,2020-06,0.020572
monthly,2020-07,0.115681
monthly,2020-08,0.002209
monthly,2020-09,-0.005806
monthly,2020-10,-0.010575
monthly,2020-11,0.086254
monthly,2020-12,-0.078295
monthly,2021-01,-0.038386
monthly,2021-02,0.052053
monthly,2021-03,0.035731
monthly,2021-04,-0.002719
monthly,2021-05,-0.012174
monthly,2021-06,-0.027610
monthly,2021-07,0.014759
monthly,2021-08,1.152562
monthly,2021-09,0.048028
monthly,2021-10,-0.067588
monthly,2021-11,0.028345
monthly,2021-12,0.070528
monthly,2022-01,-0.031406
monthly,2022-02,0.050603
monthly,2022-03,0.031574
monthly,2022-04,-0.083321
monthly,2022-05,0.065731
monthly,2022-06,0.005132
monthly,2022-07,-0.049249
monthly,2022-08,0.001281
monthly,2022-09,-0.089069
monthly,2022-10,0.002422
monthly,2022-11,0.026038
monthly,2022-12,-0.073973
monthly,2023-01,0.061486
monthly,2023-02,-0.004998
monthly,2023-03,-0.027528
monthly,2023-04,-0.001723
monthly,2023-05,-0.023213
monthly,2023-06,0.026167
monthly,2023-07,0.027733
monthly,2023-08,-0.037934
monthly,2023-09,0.026063
monthly,2023-10,-0.004817
monthly,2023-11,0.056040
monthly,2023-12,-0.008148
monthly,2024-01,0.014476
monthly,2024-02,0.132553
monthly,2024-03,0.005346
monthly,2024-04,0.056224
monthly,2024-05,0.006315
monthly,2024-06,-0.053031
monthly,2024-07,-0.076277
monthly,2024-08,-0.052397
monthly,2024-09,0.130319
monthly,2024-10,-0.076705
monthly,2024-11,0.002869
monthly,2024-12,-0.010953
monthly,2025-01,0.014812
monthly,2025-02,0.013221
monthly,2025-03,0.030510
monthly,2025-04,-0.065047
monthly,2025-05,0.042785
monthly,2025-06,0.031322
monthly,2025-07,0.018823
monthly,2025-08,-0.016536
monthly,2025-09,-0.036174
monthly,2025-10,0.021861
monthly,2025-11,0.014914
monthly,2025-12,-0.017637
monthly,2026-01,-0.008983
monthly,2026-02,0.010763
monthly,2026-03,-0.009187
monthly,2026-04,0.020100
monthly,2026-05,-0.026742
monthly,2026-06,-0.056884
monthly,2026-07,0.120030
monthly,2026-08,-0.029061
