period_type,period,return_pct
annual,2002,0.000000
annual,2003,-0.006824
annual,2004,-0.084305
annual,2005,0.052176
annual,2006,1.573588
annual,2007,1.754160
annual,2008,-0.125036
annual,2009,1.201225
annual,2010,0.126598
annual,2011,-0.167165
annual,2012,0.018809
annual,2013,0.269889
annual,2014,0.856500
annual,2015,0.023229
annual,2016,0.172294
annual,2017,0.573505
annual,2018,-0.170107
annual,2019,0.616936
annual,2020,0.325427
annual,2021,0.920060
annual,2022,0.150432
annual,2023,0.180953
annual,2024,0.279640
annual,2025,0.302546
annual,2026,-0.005211
monthly,2002-02,0.000000
monthly,2002-03,0.000000
monthly,2002-04,0.000000
monthly,2002-05,0.000000
monthly,2002-06,0.000000
monthly,2002-07,0.000000
monthly,2002-08,0.000000
monthly,2002-09,0.000000
monthly,2002-10,0.000000
monthly,2002-11,0.000000
monthly,2002-12,0.000000
monthly,2003-01,0.000000
monthly,2003-02,0.000000
monthly,2003-03,-0.000056
monthly,2003-04,0.000777
monthly,2003-05,0.021455
monthly,2003-06,-0.011458
monthly,2003-07,0.023551
monthly,2003-08,-0.010660
monthly,2003-09,-0.013018
monthly,2003-10,-0.003939
monthly,2003-11,-0.024452
monthly,2003-12,-0.003285
monthly,2004-01,0.019859
monthly,2004-02,-0.006699
monthly,2004-03,0.027164
monthly,2004-04,0.000921
monthly,2004-05,-0.004604
monthly,2004-06,-0.066424
monthly,2004-07,0.000000
monthly,2004-08,-0.000436
monthly,2004-09,0.006156
monthly,2004-10,-0.005506
monthly,2004-11,-0.042602
monthly,2004-12,-0.023470
monthly,2005-01,0.018537
monthly,2005-02,0.020867
monthly,2005-03,-0.003512
monthly,2005-04,0.012477
monthly,2005-05,-0.035157
monthly,2005-06,0.026511
monthly,2005-07,0.017328
monthly,2005-08,-0.000683
monthly,2005-09,0.013754
monthly,2005-10,0.024955
monthly,2005-11,-0.041417
monthly,2005-12,-0.019608
monthly,2006-01,0.041990
monthly,2006-02,-0.025546
monthly,2006-03,0.124698
monthly,2006-04,0.093393
monthly,2006-05,0.178400
monthly,2006-06,0.034897
monthly,2006-07,-0.108508
monthly,2006-08,0.031984
monthly,2006-09,0.074720
monthly,2006-10,0.036208
monthly,2006-11,0.175017
monthly,2006-12,0.203010
monthly,2007-01,0.206620
monthly,2007-02,0.076571
monthly,2007-03,0.210924
monthly,2007-04,0.249991
monthly,2007-05,0.090496
monthly,2007-06,-0.016934
monthly,2007-07,0.089782
monthly,2007-08,0.022946
monthly,2007-09,0.040963
monthly,2007-10,0.079852
monthly,2007-11,-0.003529
monthly,2007-12,0.072735
monthly,2008-01,-0.068213
monthly,2008-02,0.081255
monthly,2008-03,-0.039896
monthly,2008-04,0.026936
monthly,2008-05,0.008334
monthly,2008-06,-0.067641
monthly,2008-07,0.006774
monthly,2008-08,-0.020804
monthly,2008-09,-0.007687
monthly,2008-10,-0.013080
monthly,2008-11,-0.000682
monthly,2008-12,-0.025455
monthly,2009-01,0.042219
monthly,2009-02,-0.014939
monthly,2009-03,0.223456
monthly,2009-04,0.078658
monthly,2009-05,0.054407
monthly,2009-06,0.004996
monthly,2009-07,0.175224
monthly,2009-08,-0.181645
monthly,2009-09,0.098468
monthly,2009-10,0.036161
monthly,2009-11,0.147157
monthly,2009-12,-0.018988
monthly,2010-01,-0.029319
monthly,2010-02,0.069224
monthly,2010-03,0.139573
monthly,2010-04,-0.103493
monthly,2010-05,-0.042300
monthly,2010-06,0.002288
monthly,2010-07,0.033381
monthly,2010-08,0.032047
monthly,2010-09,-0.037677
monthly,2010-10,0.170205
