period_type,period,return_pct
annual,2013,0.470859
annual,2014,0.917229
annual,2015,0.015631
annual,2016,0.191746
annual,2017,0.560975
annual,2018,-0.186188
annual,2019,0.608944
annual,2020,0.429503
annual,2021,0.824913
annual,2022,0.150934
annual,2023,0.221898
annual,2024,0.256499
annual,2025,0.232907
annual,2026,0.044250
monthly,2013-01,0.011737
monthly,2013-02,0.006380
monthly,2013-03,-0.095347
monthly,2013-04,0.002470
monthly,2013-05,0.174278
monthly,2013-06,-0.006208
monthly,2013-07,0.103508
monthly,2013-08,-0.005269
monthly,2013-09,0.187203
monthly,2013-10,-0.118269
monthly,2013-11,0.057766
monthly,2013-12,0.033495
monthly,2014-01,0.077658
monthly,2014-02,-0.108575
monthly,2014-03,-0.000981
monthly,2014-04,0.044489
monthly,2014-05,0.043756
monthly,2014-06,0.038013
monthly,2014-07,0.121884
monthly,2014-08,-0.006373
monthly,2014-09,0.045247
monthly,2014-10,0.029088
monthly,2014-11,0.120410
monthly,2014-12,0.202087
monthly,2015-01,-0.107530
monthly,2015-02,0.085670
monthly,2015-03,0.114906
monthly,2015-04,0.033102
monthly,2015-05,-0.028117
monthly,2015-06,-0.014228
monthly,2015-07,-0.153662
monthly,2015-08,0.004912
monthly,2015-09,0.054036
monthly,2015-10,0.023747
monthly,2015-11,-0.030001
monthly,2015-12,0.073633
monthly,2016-01,-0.118515
monthly,2016-02,-0.009058
monthly,2016-03,0.095348
monthly,2016-04,0.005072
monthly,2016-05,0.013932
monthly,2016-06,0.060200
monthly,2016-07,0.050491
monthly,2016-08,0.049773
monthly,2016-09,-0.024580
monthly,2016-10,0.045970
monthly,2016-11,0.027286
monthly,2016-12,-0.033092
monthly,2017-01,0.058144
monthly,2017-02,0.056423
monthly,2017-03,0.013742
monthly,2017-04,-0.022331
monthly,2017-05,0.087099
monthly,2017-06,0.084619
monthly,2017-07,0.058442
monthly,2017-08,-0.005487
monthly,2017-09,-0.021285
monthly,2017-10,0.041852
monthly,2017-11,0.054997
monthly,2017-12,0.065340
monthly,2018-01,0.071085
monthly,2018-02,-0.070201
monthly,2018-03,-0.060929
monthly,2018-04,-0.002659
monthly,2018-05,-0.018128
monthly,2018-06,-0.045001
monthly,2018-07,0.100251
monthly,2018-08,-0.002976
monthly,2018-09,0.045582
monthly,2018-10,-0.040808
monthly,2018-11,-0.016441
monthly,2018-12,-0.099218
monthly,2019-01,0.100858
monthly,2019-02,0.124576
monthly,2019-03,0.070384
monthly,2019-04,-0.013058
monthly,2019-05,0.000987
monthly,2019-06,0.062872
monthly,2019-07,0.014771
monthly,2019-08,-0.060324
monthly,2019-09,0.009758
monthly,2019-10,0.007038
monthly,2019-11,-0.008111
monthly,2019-12,0.127018
monthly,2020-01,-0.070552
monthly,2020-02,0.105792
monthly,2020-03,-0.129556
monthly,2020-04,0.057850
monthly,2020-05,0.068684
monthly,2020-06,0.024443
monthly,2020-07,0.132788
monthly,2020-08,0.042808
monthly,2020-09,0.018886
monthly,2020-10,0.007369
monthly,2020-11,0.094196
monthly,2020-12,-0.089134
monthly,2021-01,0.019320
monthly,2021-02,0.049679
monthly,2021-03,-0.005236
monthly,2021-04,-0.017501
monthly,2021-05,0.004110
monthly,2021-06,-0.023794
monthly,2021-07,0.045294
monthly,2021-08,0.696761
monthly,2021-09,0.033601
monthly,2021-10,-0.112725
monthly,2021-11,-0.020183
monthly,2021-12,0.055209
monthly,2022-01,-0.013920
monthly,2022-02,0.061343
monthly,2022-03,0.056263
monthly,2022-04,-0.038345
monthly,2022-05,0.091312
monthly,2022-06,0.055709
monthly,2022-07,-0.010931
monthly,2022-08,-0.010166
monthly,2022-09,-0.078415
monthly,2022-10,0.005157
monthly,2022-11,0.029221
monthly,2022-12,-0.071728
monthly,2023-01,0.055317
monthly,2023-02,-0.010541
monthly,2023-03,-0.005755
monthly,2023-04,0.019078
monthly,2023-05,-0.039469
monthly,2023-06,0.042548
monthly,2023-07,0.021014
monthly,2023-08,-0.032284
monthly,2023-09,0.047384
monthly,2023-10,-0.005930
monthly,2023-11,0.046839
monthly,2023-12,-0.001016
monthly,2024-01,0.038127
monthly,2024-02,0.124999
monthly,2024-03,0.025963
monthly,2024-04,0.109397
monthly,2024-05,0.035215
monthly,2024-06,-0.041236
monthly,2024-07,-0.131932
monthly,2024-08,-0.046425
monthly,2024-09,0.183135
monthly,2024-10,-0.052278
monthly,2024-11,-0.030145
monthly,2024-12,-0.005805
monthly,2025-01,0.038835
monthly,2025-02,-0.014304
monthly,2025-03,0.038318
monthly,2025-04,-0.075144
monthly,2025-05,0.068199
monthly,2025-06,0.025542
monthly,2025-07,0.035120
monthly,2025-08,0.003805
monthly,2025-09,0.013469
monthly,2025-10,0.037795
monthly,2025-11,0.009183
monthly,2025-12,-0.012605
monthly,2026-01,0.050989
monthly,2026-02,0.055588
monthly,2026-03,-0.047155
monthly,2026-04,0.039855
monthly,2026-05,-0.046984
monthly,2026-06,-0.071890
monthly,2026-07,0.100835
monthly,2026-08,-0.023353
