period_type,period,return_pct
annual,2012,-0.085963
annual,2013,0.346206
annual,2014,0.743315
annual,2015,0.050674
annual,2016,0.174499
annual,2017,0.498899
annual,2018,-0.145443
annual,2019,0.740655
annual,2020,0.198774
annual,2021,0.818647
annual,2022,0.079388
annual,2023,0.172006
annual,2024,0.234470
annual,2025,0.283139
annual,2026,0.025226
monthly,2012-01,-0.000446
monthly,2012-02,0.003707
monthly,2012-03,-0.072437
monthly,2012-04,0.002716
monthly,2012-05,-0.034898
monthly,2012-06,-0.040587
monthly,2012-07,-0.003919
monthly,2012-08,-0.032517
monthly,2012-09,-0.014236
monthly,2012-10,0.021848
monthly,2012-11,-0.053725
monthly,2012-12,0.113938
monthly,2013-01,0.023475
monthly,2013-02,0.009070
monthly,2013-03,-0.084444
monthly,2013-04,0.011078
monthly,2013-05,0.131651
monthly,2013-06,-0.040956
monthly,2013-07,0.089898
monthly,2013-08,-0.005550
monthly,2013-09,0.139755
monthly,2013-10,-0.100241
monthly,2013-11,0.057220
monthly,2013-12,0.034383
monthly,2014-01,0.055343
monthly,2014-02,-0.104643
monthly,2014-03,0.001670
monthly,2014-04,0.004282
monthly,2014-05,0.025920
monthly,2014-06,0.039186
monthly,2014-07,0.072263
monthly,2014-08,-0.003939
monthly,2014-09,0.046569
monthly,2014-10,0.009312
monthly,2014-11,0.105995
monthly,2014-12,0.239216
monthly,2015-01,-0.121488
monthly,2015-02,0.077060
monthly,2015-03,0.121380
monthly,2015-04,0.059059
monthly,2015-05,-0.010397
monthly,2015-06,0.000350
monthly,2015-07,-0.161619
monthly,2015-08,-0.009954
monthly,2015-09,0.038012
monthly,2015-10,0.030474
monthly,2015-11,0.003255
monthly,2015-12,0.072946
monthly,2016-01,-0.102167
monthly,2016-02,0.019792
monthly,2016-03,0.063863
monthly,2016-04,0.003847
monthly,2016-05,-0.011183
monthly,2016-06,0.028215
monthly,2016-07,0.058299
monthly,2016-08,0.059310
monthly,2016-09,-0.029867
monthly,2016-10,0.066187
monthly,2016-11,0.030732
monthly,2016-12,-0.048681
monthly,2017-01,0.065042
monthly,2017-02,0.073603
monthly,2017-03,-0.011309
monthly,2017-04,-0.038970
monthly,2017-05,0.068123
monthly,2017-06,0.077607
monthly,2017-07,0.059563
monthly,2017-08,-0.007695
monthly,2017-09,-0.017795
monthly,2017-10,0.047915
monthly,2017-11,0.061654
monthly,2017-12,0.055607
monthly,2018-01,0.071708
monthly,2018-02,-0.051877
monthly,2018-03,-0.064798
monthly,2018-04,-0.013154
monthly,2018-05,-0.024198
monthly,2018-06,-0.047360
monthly,2018-07,0.098116
monthly,2018-08,-0.006794
monthly,2018-09,0.045415
monthly,2018-10,-0.026629
monthly,2018-11,-0.021686
monthly,2018-12,-0.057164
monthly,2019-01,0.038016
monthly,2019-02,0.130498
monthly,2019-03,0.086164
monthly,2019-04,0.024761
monthly,2019-05,0.054717
monthly,2019-06,0.076905
monthly,2019-07,0.004056
monthly,2019-08,-0.059497
monthly,2019-09,0.040381
monthly,2019-10,0.012378
monthly,2019-11,-0.018549
monthly,2019-12,0.117513
monthly,2020-01,-0.075200
monthly,2020-02,0.111476
monthly,2020-03,-0.140428
monthly,2020-04,0.037669
monthly,2020-05,-0.001612
monthly,2020-06,0.024071
monthly,2020-07,0.129240
monthly,2020-08,0.021031
monthly,2020-09,-0.002497
monthly,2020-10,0.006657
monthly,2020-11,0.070792
monthly,2020-12,-0.072605
monthly,2021-01,-0.001661
monthly,2021-02,0.020902
monthly,2021-03,0.010590
monthly,2021-04,-0.015139
monthly,2021-05,0.013113
monthly,2021-06,-0.027888
monthly,2021-07,0.014305
monthly,2021-08,0.693338
monthly,2021-09,0.048887
monthly,2021-10,-0.082507
monthly,2021-11,-0.000431
monthly,2021-12,0.049322
monthly,2022-01,-0.017051
monthly,2022-02,0.047266
monthly,2022-03,0.053440
monthly,2022-04,-0.044795
monthly,2022-05,0.074837
monthly,2022-06,0.043004
monthly,2022-07,-0.040297
monthly,2022-08,-0.004021
monthly,2022-09,-0.061949
monthly,2022-10,-0.023635
monthly,2022-11,0.042492
monthly,2022-12,-0.060494
monthly,2023-01,0.049554
monthly,2023-02,-0.013088
monthly,2023-03,-0.014104
monthly,2023-04,0.005474
monthly,2023-05,-0.038793
monthly,2023-06,0.051930
monthly,2023-07,0.017623
monthly,2023-08,-0.034544
monthly,2023-09,0.043362
monthly,2023-10,-0.008257
monthly,2023-11,0.044535
monthly,2023-12,-0.008733
monthly,2024-01,0.034707
monthly,2024-02,0.117594
monthly,2024-03,0.012291
monthly,2024-04,0.112066
monthly,2024-05,0.034760
monthly,2024-06,-0.040309
monthly,2024-07,-0.127662
monthly,2024-08,-0.047848
monthly,2024-09,0.180760
monthly,2024-10,-0.047336
monthly,2024-11,-0.026813
monthly,2024-12,-0.010500
monthly,2025-01,0.036281
monthly,2025-02,-0.016554
monthly,2025-03,0.034637
monthly,2025-04,-0.075645
monthly,2025-05,0.071800
monthly,2025-06,0.024405
monthly,2025-07,0.043580
monthly,2025-08,0.012265
monthly,2025-09,0.030085
monthly,2025-10,0.038539
monthly,2025-11,0.010808
monthly,2025-12,-0.009353
monthly,2026-01,0.042154
monthly,2026-02,0.060662
monthly,2026-03,-0.045622
monthly,2026-04,0.040764
monthly,2026-05,-0.046972
monthly,2026-06,-0.077991
monthly,2026-07,0.093735
monthly,2026-08,-0.021658
