period_type,period,return_pct
annual,2012,-0.080789
annual,2013,0.306283
annual,2014,0.922171
annual,2015,0.038329
annual,2016,0.154827
annual,2017,0.568971
annual,2018,-0.120071
annual,2019,0.612151
annual,2020,0.371420
annual,2021,0.851487
annual,2022,0.139725
annual,2023,0.216997
annual,2024,0.288461
annual,2025,0.231287
annual,2026,0.014232
monthly,2012-01,-0.000446
monthly,2012-02,0.003707
monthly,2012-03,-0.072437
monthly,2012-04,0.002716
monthly,2012-05,-0.034898
monthly,2012-06,-0.040587
monthly,2012-07,-0.003919
monthly,2012-08,-0.032517
monthly,2012-09,-0.014236
monthly,2012-10,0.021848
monthly,2012-11,-0.053573
monthly,2012-12,0.119938
monthly,2013-01,0.020131
monthly,2013-02,0.010056
monthly,2013-03,-0.083844
monthly,2013-04,0.011521
monthly,2013-05,0.134171
monthly,2013-06,-0.025849
monthly,2013-07,0.073481
monthly,2013-08,-0.011587
monthly,2013-09,0.122910
monthly,2013-10,-0.106736
monthly,2013-11,0.063937
monthly,2013-12,0.044095
monthly,2014-01,0.067035
monthly,2014-02,-0.112249
monthly,2014-03,0.002415
monthly,2014-04,0.041035
monthly,2014-05,0.047329
monthly,2014-06,0.029252
monthly,2014-07,0.101638
monthly,2014-08,0.006205
monthly,2014-09,0.051174
monthly,2014-10,-0.003315
monthly,2014-11,0.101971
monthly,2014-12,0.231847
monthly,2015-01,-0.101861
monthly,2015-02,0.076893
monthly,2015-03,0.103891
monthly,2015-04,0.043787
monthly,2015-05,-0.023227
monthly,2015-06,-0.015962
monthly,2015-07,-0.133506
monthly,2015-08,-0.000300
monthly,2015-09,0.058352
monthly,2015-10,0.021593
monthly,2015-11,-0.032924
monthly,2015-12,0.072145
monthly,2016-01,-0.125350
monthly,2016-02,-0.011679
monthly,2016-03,0.096355
monthly,2016-04,0.015257
monthly,2016-05,0.014403
monthly,2016-06,0.044360
monthly,2016-07,0.043054
monthly,2016-08,0.059947
monthly,2016-09,-0.029642
monthly,2016-10,0.033821
monthly,2016-11,0.027620
monthly,2016-12,-0.033482
monthly,2017-01,0.058840
monthly,2017-02,0.053952
monthly,2017-03,0.008610
monthly,2017-04,-0.022375
monthly,2017-05,0.098649
monthly,2017-06,0.087499
monthly,2017-07,0.064742
monthly,2017-08,-0.000789
monthly,2017-09,-0.027110
monthly,2017-10,0.040346
monthly,2017-11,0.059678
monthly,2017-12,0.056694
monthly,2018-01,0.086252
monthly,2018-02,-0.080498
monthly,2018-03,-0.058346
monthly,2018-04,0.000233
monthly,2018-05,-0.019482
monthly,2018-06,-0.050349
monthly,2018-07,0.109295
monthly,2018-08,0.000116
monthly,2018-09,0.052852
monthly,2018-10,-0.037884
monthly,2018-11,-0.016183
monthly,2018-12,-0.048196
monthly,2019-01,0.042847
monthly,2019-02,0.137594
monthly,2019-03,0.089317
monthly,2019-04,-0.009071
monthly,2019-05,-0.005606
monthly,2019-06,0.056866
monthly,2019-07,0.019015
monthly,2019-08,-0.069667
monthly,2019-09,0.015809
monthly,2019-10,0.014450
monthly,2019-11,-0.008116
monthly,2019-12,0.140902
monthly,2020-01,-0.073441
monthly,2020-02,0.102163
monthly,2020-03,-0.132165
monthly,2020-04,0.057547
monthly,2020-05,0.081577
monthly,2020-06,0.025082
monthly,2020-07,0.131849
monthly,2020-08,0.033241
monthly,2020-09,-0.006592
monthly,2020-10,0.001069
monthly,2020-11,0.095930
monthly,2020-12,-0.088540
monthly,2021-01,0.018954
monthly,2021-02,0.048749
monthly,2021-03,-0.004142
monthly,2021-04,-0.017372
monthly,2021-05,0.004033
monthly,2021-06,-0.023903
monthly,2021-07,0.045461
monthly,2021-08,0.688926
monthly,2021-09,0.047389
monthly,2021-10,-0.107140
monthly,2021-11,-0.014099
monthly,2021-12,0.052320
monthly,2022-01,-0.015748
monthly,2022-02,0.059078
monthly,2022-03,0.056273
monthly,2022-04,-0.040973
monthly,2022-05,0.090300
monthly,2022-06,0.056164
monthly,2022-07,-0.012857
monthly,2022-08,-0.011569
monthly,2022-09,-0.079518
monthly,2022-10,0.003600
monthly,2022-11,0.030600
monthly,2022-12,-0.070006
monthly,2023-01,0.052829
monthly,2023-02,-0.011825
monthly,2023-03,0.002013
monthly,2023-04,0.016551
monthly,2023-05,-0.037725
monthly,2023-06,0.046928
monthly,2023-07,0.016711
monthly,2023-08,-0.029866
monthly,2023-09,0.051823
monthly,2023-10,-0.011747
monthly,2023-11,0.044321
monthly,2023-12,0.000625
monthly,2024-01,0.051721
monthly,2024-02,0.128100
monthly,2024-03,0.028242
monthly,2024-04,0.107249
monthly,2024-05,0.040611
monthly,2024-06,-0.048123
monthly,2024-07,-0.129744
monthly,2024-08,-0.047480
monthly,2024-09,0.181757
monthly,2024-10,-0.051232
monthly,2024-11,-0.029879
monthly,2024-12,-0.004600
monthly,2025-01,0.036874
monthly,2025-02,-0.019413
monthly,2025-03,0.041061
monthly,2025-04,-0.070693
monthly,2025-05,0.069128
monthly,2025-06,0.025617
monthly,2025-07,0.033377
monthly,2025-08,0.001637
monthly,2025-09,0.014913
monthly,2025-10,0.039006
monthly,2025-11,0.009049
monthly,2025-12,-0.012932
monthly,2026-01,0.027526
monthly,2026-02,0.037477
monthly,2026-03,-0.044915
monthly,2026-04,0.035514
monthly,2026-05,-0.048726
monthly,2026-06,-0.061111
monthly,2026-07,0.108155
monthly,2026-08,-0.023952
