period_type,period,return_pct
annual,2012,-0.069221
annual,2013,0.247284
annual,2014,0.869420
annual,2015,0.033798
annual,2016,0.043911
annual,2017,0.618016
annual,2018,-0.100662
annual,2019,0.580829
annual,2020,0.355473
annual,2021,0.824168
annual,2022,0.200814
annual,2023,0.129983
annual,2024,0.309255
annual,2025,0.069839
annual,2026,0.026168
monthly,2012-01,-0.000446
monthly,2012-02,0.003655
monthly,2012-03,-0.074830
monthly,2012-04,0.004096
monthly,2012-05,-0.034819
monthly,2012-06,-0.041191
monthly,2012-07,-0.003814
monthly,2012-08,-0.032661
monthly,2012-09,-0.014163
monthly,2012-10,0.022239
monthly,2012-11,-0.049590
monthly,2012-12,0.130889
monthly,2013-01,0.033033
monthly,2013-02,0.006767
monthly,2013-03,-0.087673
monthly,2013-04,0.017649
monthly,2013-05,0.136717
monthly,2013-06,-0.035622
monthly,2013-07,0.070733
monthly,2013-08,-0.045667
monthly,2013-09,0.128238
monthly,2013-10,-0.124498
monthly,2013-11,0.063599
monthly,2013-12,0.035712
monthly,2014-01,0.084420
monthly,2014-02,-0.081184
monthly,2014-03,-0.000763
monthly,2014-04,0.016111
monthly,2014-05,0.041507
monthly,2014-06,-0.011885
monthly,2014-07,0.102630
monthly,2014-08,0.020903
monthly,2014-09,0.053910
monthly,2014-10,-0.009328
monthly,2014-11,0.089588
monthly,2014-12,0.252513
monthly,2015-01,-0.116764
monthly,2015-02,0.085915
monthly,2015-03,0.106075
monthly,2015-04,0.038376
monthly,2015-05,-0.027847
monthly,2015-06,-0.013236
monthly,2015-07,-0.115872
monthly,2015-08,0.017751
monthly,2015-09,0.063463
monthly,2015-10,0.002395
monthly,2015-11,-0.026025
monthly,2015-12,0.053861
monthly,2016-01,-0.105128
monthly,2016-02,-0.008215
monthly,2016-03,0.029013
monthly,2016-04,0.009876
monthly,2016-05,0.007518
monthly,2016-06,0.002015
monthly,2016-07,0.037134
monthly,2016-08,0.050670
monthly,2016-09,-0.026983
monthly,2016-10,0.024875
monthly,2016-11,0.029894
monthly,2016-12,-0.028586
monthly,2017-01,0.066529
monthly,2017-02,0.061097
monthly,2017-03,0.008264
monthly,2017-04,-0.020387
monthly,2017-05,0.102033
monthly,2017-06,0.095626
monthly,2017-07,0.061664
monthly,2017-08,0.003135
monthly,2017-09,-0.027104
monthly,2017-10,0.032119
monthly,2017-11,0.063861
monthly,2017-12,0.050084
monthly,2018-01,0.104263
monthly,2018-02,-0.014750
monthly,2018-03,-0.031066
monthly,2018-04,0.003697
monthly,2018-05,-0.001218
monthly,2018-06,-0.001323
monthly,2018-07,0.010739
monthly,2018-08,-0.013531
monthly,2018-09,-0.020399
monthly,2018-10,-0.069710
monthly,2018-11,-0.023388
monthly,2018-12,-0.031368
monthly,2019-01,-0.021435
monthly,2019-02,0.169869
monthly,2019-03,0.107460
monthly,2019-04,-0.007227
monthly,2019-05,0.014383
monthly,2019-06,0.042381
monthly,2019-07,0.018731
monthly,2019-08,-0.070566
monthly,2019-09,0.011693
monthly,2019-10,0.006267
monthly,2019-11,-0.008131
monthly,2019-12,0.132780
monthly,2020-01,-0.078920
monthly,2020-02,0.106138
monthly,2020-03,-0.118270
monthly,2020-04,0.062030
monthly,2020-05,0.073487
monthly,2020-06,0.024789
monthly,2020-07,0.156291
monthly,2020-08,0.001282
monthly,2020-09,-0.028640
monthly,2020-10,-0.009180
monthly,2020-11,0.101485
monthly,2020-12,-0.080585
monthly,2021-01,-0.038215
monthly,2021-02,0.051926
monthly,2021-03,0.011967
monthly,2021-04,0.007982
monthly,2021-05,-0.005564
monthly,2021-06,-0.019624
monthly,2021-07,0.026546
monthly,2021-08,0.763957
monthly,2021-09,0.072508
monthly,2021-10,-0.123056
monthly,2021-11,-0.037828
monthly,2021-12,0.079008
monthly,2022-01,0.007024
monthly,2022-02,0.070469
monthly,2022-03,0.078656
monthly,2022-04,-0.029667
monthly,2022-05,0.091084
monthly,2022-06,0.052808
monthly,2022-07,-0.003236
monthly,2022-08,-0.019820
monthly,2022-09,-0.088583
monthly,2022-10,0.026204
monthly,2022-11,0.007796
monthly,2022-12,-0.063060
monthly,2023-01,0.065464
monthly,2023-02,-0.007230
monthly,2023-03,-0.020920
monthly,2023-04,0.010150
monthly,2023-05,-0.038305
monthly,2023-06,0.039977
monthly,2023-07,0.030189
monthly,2023-08,-0.040503
monthly,2023-09,0.019384
monthly,2023-10,-0.011945
monthly,2023-11,0.038401
monthly,2023-12,-0.012680
monthly,2024-01,0.024252
monthly,2024-02,0.126364
monthly,2024-03,0.015960
monthly,2024-04,0.146962
monthly,2024-05,0.065274
monthly,2024-06,-0.062540
monthly,2024-07,-0.134800
monthly,2024-08,-0.047164
monthly,2024-09,0.167835
monthly,2024-10,-0.029490
monthly,2024-11,-0.025942
monthly,2024-12,-0.014430
monthly,2025-01,0.007226
monthly,2025-02,0.008740
monthly,2025-03,0.035819
monthly,2025-04,-0.056755
monthly,2025-05,0.034346
monthly,2025-06,0.031998
monthly,2025-07,0.015154
monthly,2025-08,-0.011026
monthly,2025-09,-0.039053
monthly,2025-10,0.017278
monthly,2025-11,0.015888
monthly,2025-12,-0.013831
monthly,2026-01,0.001355
monthly,2026-02,0.016888
monthly,2026-03,-0.020793
monthly,2026-04,0.020226
monthly,2026-05,-0.026241
monthly,2026-06,-0.058501
monthly,2026-07,0.119178
monthly,2026-08,-0.029922
