period_type,period,return_pct
annual,2020,0.402391
annual,2021,0.492320
annual,2022,0.274076
annual,2023,0.193849
annual,2024,0.268179
annual,2025,0.220953
annual,2026,0.039361
monthly,2020-01,-0.046185
monthly,2020-02,0.087795
monthly,2020-03,-0.100532
monthly,2020-04,0.038616
monthly,2020-05,0.011474
monthly,2020-06,0.035729
monthly,2020-07,0.159843
monthly,2020-08,0.043916
monthly,2020-09,0.004893
monthly,2020-10,-0.012404
monthly,2020-11,0.098415
monthly,2020-12,-0.097895
monthly,2021-01,0.020618
monthly,2021-02,0.048747
monthly,2021-03,-0.005332
monthly,2021-04,-0.024606
monthly,2021-05,0.004810
monthly,2021-06,-0.027704
monthly,2021-07,0.049537
monthly,2021-08,0.300471
monthly,2021-09,0.101823
monthly,2021-10,-0.100114
monthly,2021-11,-0.017502
monthly,2021-12,0.058906
monthly,2022-01,0.001193
monthly,2022-02,0.072587
monthly,2022-03,0.075195
monthly,2022-04,-0.023520
monthly,2022-05,0.094496
monthly,2022-06,0.063203
monthly,2022-07,-0.057385
monthly,2022-08,0.076179
monthly,2022-09,-0.050307
monthly,2022-10,-0.088798
monthly,2022-11,0.041226
monthly,2022-12,-0.049201
monthly,2023-01,0.058180
monthly,2023-02,0.012489
monthly,2023-03,-0.003414
monthly,2023-04,-0.021245
monthly,2023-05,-0.093201
monthly,2023-06,0.056755
monthly,2023-07,0.012012
monthly,2023-08,-0.012041
monthly,2023-09,0.030801
monthly,2023-10,-0.021887
monthly,2023-11,0.066246
monthly,2023-12,0.028849
monthly,2024-01,0.052077
monthly,2024-02,0.108544
monthly,2024-03,0.012089
monthly,2024-04,0.106407
monthly,2024-05,0.028719
monthly,2024-06,-0.046061
monthly,2024-07,-0.113007
monthly,2024-08,-0.051121
monthly,2024-09,0.183672
monthly,2024-10,-0.055438
monthly,2024-11,-0.029839
monthly,2024-12,-0.001608
monthly,2025-01,0.037453
monthly,2025-02,-0.016743
monthly,2025-03,0.041425
monthly,2025-04,-0.068622
monthly,2025-05,0.067643
monthly,2025-06,0.025970
monthly,2025-07,0.031835
monthly,2025-08,0.001185
monthly,2025-09,0.011019
monthly,2025-10,0.036320
monthly,2025-11,0.009122
monthly,2025-12,-0.015296
monthly,2026-01,0.043447
monthly,2026-02,0.045000
monthly,2026-03,-0.041212
monthly,2026-04,0.026465
monthly,2026-05,-0.046679
monthly,2026-06,-0.059090
monthly,2026-07,0.109911
monthly,2026-08,-0.026903
