period_type,period,return_pct
annual,2016,0.133218
annual,2017,0.512712
annual,2018,-0.162178
annual,2019,0.624681
annual,2020,0.411978
annual,2021,0.906897
annual,2022,0.120189
annual,2023,0.211037
annual,2024,0.293306
annual,2025,0.288028
annual,2026,-0.003212
monthly,2016-01,0.000976
monthly,2016-02,-0.003989
monthly,2016-03,-0.007229
monthly,2016-04,-0.026325
monthly,2016-05,-0.003304
monthly,2016-06,0.027714
monthly,2016-07,0.053616
monthly,2016-08,0.046241
monthly,2016-09,-0.032659
monthly,2016-10,0.054522
monthly,2016-11,0.030006
monthly,2016-12,-0.033414
monthly,2017-01,0.043860
monthly,2017-02,0.059051
monthly,2017-03,0.017705
monthly,2017-04,-0.025145
monthly,2017-05,0.070599
monthly,2017-06,0.078003
monthly,2017-07,0.052964
monthly,2017-08,-0.008319
monthly,2017-09,-0.014363
monthly,2017-10,0.046639
monthly,2017-11,0.054005
monthly,2017-12,0.064919
monthly,2018-01,0.064323
monthly,2018-02,-0.052744
monthly,2018-03,-0.063373
monthly,2018-04,-0.010658
monthly,2018-05,-0.021729
monthly,2018-06,-0.041903
monthly,2018-07,0.090273
monthly,2018-08,-0.008521
monthly,2018-09,0.036994
monthly,2018-10,-0.035829
monthly,2018-11,-0.019508
monthly,2018-12,-0.056935
monthly,2019-01,0.033730
monthly,2019-02,0.142410
monthly,2019-03,0.083843
monthly,2019-04,0.023466
monthly,2019-05,0.003082
monthly,2019-06,0.059180
monthly,2019-07,0.010258
monthly,2019-08,-0.055439
monthly,2019-09,0.012565
monthly,2019-10,0.011637
monthly,2019-11,-0.009695
monthly,2019-12,0.124210
monthly,2020-01,-0.065586
monthly,2020-02,0.108935
monthly,2020-03,-0.133408
monthly,2020-04,0.055399
monthly,2020-05,0.067717
monthly,2020-06,0.023098
monthly,2020-07,0.126750
monthly,2020-08,0.032679
monthly,2020-09,0.012870
monthly,2020-10,0.006297
monthly,2020-11,0.096906
monthly,2020-12,-0.087312
monthly,2021-01,0.014256
monthly,2021-02,0.050138
monthly,2021-03,-0.006973
monthly,2021-04,-0.016177
monthly,2021-05,0.004102
monthly,2021-06,-0.023288
monthly,2021-07,0.045154
monthly,2021-08,0.740471
monthly,2021-09,0.043979
monthly,2021-10,-0.108965
monthly,2021-11,-0.014804
monthly,2021-12,0.056636
monthly,2022-01,-0.017532
monthly,2022-02,0.058114
monthly,2022-03,0.051940
monthly,2022-04,-0.045210
monthly,2022-05,0.088211
monthly,2022-06,0.053802
monthly,2022-07,-0.014664
monthly,2022-08,-0.009842
monthly,2022-09,-0.078365
monthly,2022-10,0.002826
monthly,2022-11,0.030956
monthly,2022-12,-0.071325
monthly,2023-01,0.054434
monthly,2023-02,-0.010381
monthly,2023-03,0.002678
monthly,2023-04,0.015689
monthly,2023-05,-0.037270
monthly,2023-06,0.039179
monthly,2023-07,0.019102
monthly,2023-08,-0.031849
monthly,2023-09,0.048996
monthly,2023-10,-0.010529
monthly,2023-11,0.047183
monthly,2023-12,-0.001150
monthly,2024-01,0.049189
monthly,2024-02,0.128691
monthly,2024-03,0.027795
monthly,2024-04,0.114514
monthly,2024-05,0.037468
monthly,2024-06,-0.041033
monthly,2024-07,-0.127298
monthly,2024-08,-0.049172
monthly,2024-09,0.181905
monthly,2024-10,-0.046958
monthly,2024-11,-0.028802
monthly,2024-12,-0.005951
monthly,2025-01,0.042316
monthly,2025-02,-0.014870
monthly,2025-03,0.037887
monthly,2025-04,-0.073492
monthly,2025-05,0.070728
monthly,2025-06,0.026085
monthly,2025-07,0.036009
monthly,2025-08,0.003868
monthly,2025-09,0.016526
monthly,2025-10,0.039043
monthly,2025-11,0.009065
monthly,2025-12,0.015267
monthly,2026-01,0.001421
monthly,2026-02,0.068126
monthly,2026-03,-0.037591
monthly,2026-04,0.045836
monthly,2026-05,-0.031930
monthly,2026-06,-0.163360
monthly,2026-07,0.139491
monthly,2026-08,-0.019576
