period_type,period,return_pct
annual,2014,0.509541
annual,2015,0.002933
annual,2016,0.036772
annual,2017,0.612809
annual,2018,-0.191148
annual,2019,0.542403
annual,2020,0.276478
annual,2021,0.798025
annual,2022,-0.004276
annual,2023,0.202162
annual,2024,0.183599
annual,2025,0.127000
annual,2026,0.013059
monthly,2014-01,0.011491
monthly,2014-02,-0.037522
monthly,2014-03,-0.033022
monthly,2014-04,-0.000447
monthly,2014-05,0.016517
monthly,2014-06,-0.003759
monthly,2014-07,0.102506
monthly,2014-08,0.024633
monthly,2014-09,0.029902
monthly,2014-10,-0.013797
monthly,2014-11,0.072944
monthly,2014-12,0.224087
monthly,2015-01,-0.112831
monthly,2015-02,0.081849
monthly,2015-03,0.107731
monthly,2015-04,0.037090
monthly,2015-05,-0.026656
monthly,2015-06,-0.015282
monthly,2015-07,-0.132064
monthly,2015-08,0.022464
monthly,2015-09,0.053957
monthly,2015-10,0.002504
monthly,2015-11,-0.026212
monthly,2015-12,0.048812
monthly,2016-01,-0.108036
monthly,2016-02,-0.008276
monthly,2016-03,0.027701
monthly,2016-04,0.013150
monthly,2016-05,0.005531
monthly,2016-06,0.003392
monthly,2016-07,0.036864
monthly,2016-08,0.051035
monthly,2016-09,-0.028007
monthly,2016-10,0.023768
monthly,2016-11,0.030940
monthly,2016-12,-0.029839
monthly,2017-01,0.065712
monthly,2017-02,0.062852
monthly,2017-03,0.006740
monthly,2017-04,-0.023290
monthly,2017-05,0.104848
monthly,2017-06,0.096751
monthly,2017-07,0.060661
monthly,2017-08,0.003170
monthly,2017-09,-0.025021
monthly,2017-10,0.032194
monthly,2017-11,0.062015
monthly,2017-12,0.050508
monthly,2018-01,0.104652
monthly,2018-02,-0.105337
monthly,2018-03,-0.050945
monthly,2018-04,0.011673
monthly,2018-05,0.004307
monthly,2018-06,-0.001392
monthly,2018-07,0.010078
monthly,2018-08,-0.013091
monthly,2018-09,-0.019449
monthly,2018-10,-0.067087
monthly,2018-11,-0.024462
monthly,2018-12,-0.052514
monthly,2019-01,-0.014544
monthly,2019-02,0.165417
monthly,2019-03,0.111475
monthly,2019-04,-0.011444
monthly,2019-05,0.011372
monthly,2019-06,0.036643
monthly,2019-07,0.029375
monthly,2019-08,-0.067658
monthly,2019-09,-0.021145
monthly,2019-10,-0.000876
monthly,2019-11,-0.000504
monthly,2019-12,0.131769
monthly,2020-01,-0.086434
monthly,2020-02,0.104121
monthly,2020-03,-0.112946
monthly,2020-04,0.061725
monthly,2020-05,0.070520
monthly,2020-06,0.013945
monthly,2020-07,0.108462
monthly,2020-08,0.011382
monthly,2020-09,-0.015351
monthly,2020-10,-0.011321
monthly,2020-11,0.111976
monthly,2020-12,-0.089430
monthly,2021-01,-0.043434
monthly,2021-02,0.058808
monthly,2021-03,0.012895
monthly,2021-04,0.010391
monthly,2021-05,-0.008627
monthly,2021-06,-0.027735
monthly,2021-07,0.014961
monthly,2021-08,0.700673
monthly,2021-09,0.049061
monthly,2021-10,-0.107784
monthly,2021-11,-0.031212
monthly,2021-12,0.114592
monthly,2022-01,-0.023470
monthly,2022-02,0.060129
monthly,2022-03,0.005437
monthly,2022-04,-0.003273
monthly,2022-05,0.056216
monthly,2022-06,0.021996
monthly,2022-07,-0.048240
monthly,2022-08,0.003117
monthly,2022-09,-0.040450
monthly,2022-10,-0.040853
monthly,2022-11,0.034761
monthly,2022-12,-0.069252
monthly,2023-01,0.038384
monthly,2023-02,-0.012244
monthly,2023-03,-0.019205
monthly,2023-04,0.020119
monthly,2023-05,0.015286
monthly,2023-06,0.036775
monthly,2023-07,0.005890
monthly,2023-08,-0.021559
monthly,2023-09,0.049595
monthly,2023-10,0.004732
monthly,2023-11,0.026427
monthly,2023-12,0.015866
monthly,2024-01,0.050318
monthly,2024-02,0.101526
monthly,2024-03,0.030285
monthly,2024-04,0.062977
monthly,2024-05,0.022184
monthly,2024-06,-0.061785
monthly,2024-07,-0.100258
monthly,2024-08,-0.051615
monthly,2024-09,0.149502
monthly,2024-10,-0.055898
monthly,2024-11,0.000720
monthly,2024-12,-0.047468
monthly,2025-01,0.018329
monthly,2025-02,0.048491
monthly,2025-03,-0.004512
monthly,2025-04,-0.088461
monthly,2025-05,0.034466
monthly,2025-06,0.041948
monthly,2025-07,0.020858
monthly,2025-08,-0.005999
monthly,2025-09,-0.027116
monthly,2025-10,0.025542
monthly,2025-11,0.012462
monthly,2025-12,-0.013232
monthly,2026-01,0.013957
monthly,2026-02,0.032873
monthly,2026-03,-0.041002
monthly,2026-04,0.010362
monthly,2026-05,-0.028497
monthly,2026-06,-0.063862
monthly,2026-07,0.105854
monthly,2026-08,-0.031971
